Warranty Category;First year warranty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Global Product Hierarchy;Fabric Care;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Service Type;Service call;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reference Market Global Options;Reference Markets Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Markets;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plants;Electrolux Plants;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Components;All;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Qty Sold;;;;;;;;;;;;;;QTY Service Calls;;;;;;;;;;;;;;Total Qty Sold;Total QTY Service Calls;;;
;-1;Year 1;;;;;;;;;;;;;-1;Year 1;;;;;;;;;;;;;;;;;
Row Labels;;0;1;2;3;4;5;6;7;8;9;10;11;12;;0;1;2;3;4;5;6;7;8;9;10;11;12;;;;12658;#REF!
201609;323759;323759;323759;323759;323759;323759;323759;323759;323759;323759;323759;323759;323759;323759;96;1472;1583;1097;861;829;882;850;927;957;901;910;944;445;323759;12754;;12380;#REF!
201610;336241;336241;336241;336241;336241;336241;336241;336241;336241;336241;336241;336241;336241;336241;119;1614;1542;1102;937;818;714;775;737;880;906;913;932;510;336241;12499;;;
201611;376353;376353;376353;376353;376353;376353;376353;376353;376353;376353;376353;376353;376353;376353;92;1765;1878;1228;1034;930;832;791;816;867;934;1035;1117;564;376353;13883;;;
201612;271326;271326;271326;271326;271326;271326;271326;271326;271326;271326;271326;271326;271326;271326;119;1738;1922;1302;958;859;885;805;693;803;808;893;1022;535;271326;13342;;;
201701;243674;243674;243674;243674;243674;243674;243674;243674;243674;243674;243674;243674;243674;243674;78;1784;2000;1458;1109;948;860;819;782;704;785;894;957;645;243674;13823;;;
201702;230055;230055;230055;230055;230055;230055;230055;230055;230055;230055;230055;230055;230055;230055;94;1806;1767;1356;1184;980;856;812;771;702;685;795;896;491;230055;13195;;;
201703;247087;247087;247087;247087;247087;247087;247087;247087;247087;247087;247087;247087;247087;247087;123;1783;1714;1470;1344;1161;1091;938;851;773;751;819;894;480;247087;14192;;;
201704;195564;195564;195564;195564;195564;195564;195564;195564;195564;195564;195564;195564;195564;195564;100;1277;1325;932;923;928;863;792;673;685;624;635;665;350;195564;10772;;;
201705;216659;216659;216659;216659;216659;216659;216659;216659;216659;216659;216659;216659;216659;216659;73;1395;1361;987;880;993;992;976;956;791;717;692;744;378;216659;11935;;;
201706;214003;214003;214003;214003;214003;214003;214003;214003;214003;214003;214003;214003;214003;214003;73;1288;1247;860;762;795;867;893;988;958;848;819;763;392;214003;11553;;;
201707;208495;208495;208495;208495;208495;208495;208495;208495;208495;208495;208495;208495;208495;208495;59;1243;1173;840;733;716;700;863;905;947;909;843;809;462;208495;11202;;;
