period;actual_qty_sold;pred_qty_sold;%differnce
201909;1825688;9406;99.48479696421295
201910;2096370;2452540;-16.98984434999547
201911;2193974;2645778;-20.5929514205729
201912;1515845;1755553;-15.813490165551228
202001;1585068;1863843;-17.58757352996843
202002;1521985;1767780;-16.149633537781252
202003;1499270;2010819;-34.119871670879824
202004;858112;1035346;-20.653947270286395
202005;1239114;1132924;8.569832961293312
202006;1738881;1553820;10.642533905425386
202007;1871155;1924923;-2.8735192969048526
202008;1632898;1999565;-22.45498494088424
202009;1988908;2405215;-20.93143574262862
202010;2210070;2677754;-21.161501671892747
202011;2141075;2830690;-32.20882033557909
202012;1640594;1882861;-14.76702950272889
202101;1534347;2044971;-33.2795645313609
202102;1691598;2060349;-21.79897351498406
202103;1897140;2276179;-19.979495451047367
202104;1672940;2056867;-22.94923906416249
202105;1656148;2022264;-22.106478406519226
202106;1722627;2018840;-17.195423037024266
202107;1623066;1886343;-16.220966984706724
202108;1604005;1877951;-17.07887444241134
202109;1958346;2262330;-15.522486833276652
202110;2012085;2516576;-25.073046118826987
202111;2259823;2670074;-18.15412092008976
202112;1709599;1892475;-10.697011404428757
202201;1488190;1939294;-30.312258515377742
202202;1415232;1837178;-29.81461696739475
202203;1532544;1763794;-15.08928944291322
202204;1381023;1699460;-23.058051893415243
202205;1389683;1626765;-17.060149688813926
202206;1234993;1465215;-18.641563150560366
202207;1144961;1474759;-28.804299884450213
202208;1187915;1286599;-8.307328386290266
202209;1376859;1514477;-9.995068485589302
202210;1433190;1716411;-19.761580809243714
202211;1508620;1713038;-13.549999337142554
202212;1052453;1230109;-16.880183723168635
202301;1139091;1299835;-14.111603023814604
202302;1129050;1272863;-12.737522696071919
202303;1224868;1360856;-11.102257549384912
202304;995197;1239147;-24.512734664594046
202305;1069224;1245804;-16.514780813000833
202306;1116184;1234843;-10.630774137597387
202307;942986;1108335;-17.534618753618826
202308;997779;1115623;-11.810631412366867
202309;1165397;1350613;-15.892953216800798
