Warranty Category;First year warranty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Global Product Hierarchy;7219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Service Type;Service call;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reference Market Global Options;Reference Markets Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Markets;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plants;Electrolux Plants;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Components;All;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Qty Sold;;;;;;;;;;;;;;QTY Service Calls;;;;;;;;;;;;;;Total Qty Sold;Total QTY Service Calls;;;
;-1;Year 1;;;;;;;;;;;;;-1;Year 1;;;;;;;;;;;;;;;;;
Row Labels;;0;1;2;3;4;5;6;7;8;9;10;11;12;;0;1;2;3;4;5;6;7;8;9;10;11;12;;;;1306;#REF!
201609;25713;25713;25713;25713;25713;25713;25713;25713;25713;25713;25713;25713;25713;25713;3;217;172;114;106;72;94;88;76;90;96;66;79;36;25713;1309;;1062;#REF!
201610;21458;21458;21458;21458;21458;21458;21458;21458;21458;21458;21458;21458;21458;21458;5;177;152;81;70;80;51;66;57;67;82;78;70;31;21458;1067;;;
201611;20171;20171;20171;20171;20171;20171;20171;20171;20171;20171;20171;20171;20171;20171;4;173;123;81;71;55;43;50;34;48;55;55;65;24;20171;881;;;
201612;19126;19126;19126;19126;19126;19126;19126;19126;19126;19126;19126;19126;19126;19126;6;201;105;72;84;65;55;60;45;45;37;57;48;31;19126;911;;;
201701;18316;18316;18316;18316;18316;18316;18316;18316;18316;18316;18316;18316;18316;18316;1;145;101;64;45;61;44;47;52;42;45;39;41;22;18316;749;;;
201702;13549;13549;13549;13549;13549;13549;13549;13549;13549;13549;13549;13549;13549;13549;2;137;86;50;47;45;41;41;26;26;36;48;40;17;13549;642;;;
201703;18117;18117;18117;18117;18117;18117;18117;18117;18117;18117;18117;18117;18117;18117;4;148;109;69;46;47;50;32;50;39;32;39;42;19;18117;726;;;
201704;16094;16094;16094;16094;16094;16094;16094;16094;16094;16094;16094;16094;16094;16094;4;102;68;38;47;25;31;38;28;32;38;21;39;14;16094;525;;;
201705;21870;21870;21870;21870;21870;21870;21870;21870;21870;21870;21870;21870;21870;21870;3;123;104;55;37;40;41;38;41;30;31;37;42;19;21870;641;;;
201706;26031;26031;26031;26031;26031;26031;26031;26031;26031;26031;26031;26031;26031;26031;2;164;102;57;52;32;51;24;42;42;42;47;51;16;26031;724;;;
201707;23729;23729;23729;23729;23729;23729;23729;23729;23729;23729;23729;23729;23729;23729;4;157;127;69;34;26;21;29;34;35;42;44;32;17;23729;671;;;
201708;25981;25981;25981;25981;25981;25981;25981;25981;25981;25981;25981;25981;25981;25981;3;232;134;86;49;43;43;36;46;60;41;48;48;26;25981;895;;;
