period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,41397,258,401,382,378,479,538,528,625,724,727,768,838,400,NaN
201502,50033,312,397,365,472,517,480,605,722,672,734,795,767,424,NaN
201503,52176,355,419,415,490,439,539,644,586,645,766,741,755,358,NaN
201504,53275,314,470,401,440,420,513,529,535,579,567,610,612,268,NaN
201505,52846,375,455,402,448,421,496,508,568,535,580,549,514,288,NaN
201506,62038,375,441,486,471,459,461,519,518,496,453,432,438,194,NaN
201507,64671,337,466,418,404,458,411,440,400,451,370,411,412,226,NaN
201508,54177,347,512,408,407,411,450,447,464,393,413,358,387,206,NaN
201509,64053,431,524,472,490,477,528,441,442,422,376,414,480,222,NaN
201510,69172,379,555,540,528,516,484,477,425,416,430,453,428,259,NaN
201511,69411,451,589,547,568,514,442,446,450,413,450,432,444,220,NaN
201512,53844,351,582,475,440,415,402,369,399,439,368,406,437,209,NaN
201601,59552,311,497,454,388,352,373,394,380,383,380,387,419,186,NaN
201602,76278,419,529,456,382,365,411,419,400,405,384,452,423,214,NaN
201603,77553,401,515,421,356,334,418,391,392,381,437,384,448,152,NaN
201604,74976,425,527,388,368,383,383,390,407,388,361,418,332,215,NaN
201605,69995,391,498,402,421,419,425,395,482,408,456,334,412,173,NaN
201606,79596,371,454,458,378,421,421,422,407,415,327,381,354,134,NaN
201607,63835,369,494,407,380,353,413,330,355,304,293,326,284,149,NaN
201608,65261,408,499,404,367,377,356,365,278,318,318,294,299,121,NaN
201609,79507,446,570,433,416,377,403,325,350,300,317,297,328,191,NaN
201610,81654,418,514,489,443,439,349,360,318,269,293,347,358,190,NaN
201611,84691,486,595,492,450,378,417,331,304,298,332,392,376,164,NaN
201612,66014,409,475,451,335,318,329,264,287,287,338,321,288,203,NaN
201701,67925,385,553,320,325,322,300,299,283,294,315,263,330,140,NaN
201702,76165,477,462,416,360,311,311,328,337,416,304,404,285,178,NaN
201703,91158,393,535,406,341,371,375,401,423,327,398,361,356,178,NaN
201704,75117,449,548,378,393,397,386,433,335,408,332,312,336,185,NaN
201705,91187,456,548,469,406,398,475,371,443,347,361,315,375,197,NaN
201706,97576,510,582,468,432,422,372,444,364,353,355,377,371,174,NaN
