period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,1333,3,10,8,7,8,17,12,8,17,21,24,25,17,NaN
201502,5300,4,15,7,16,11,15,20,21,17,18,22,31,15,NaN
201503,6557,14,16,12,15,12,24,19,30,19,24,32,42,18,NaN
201504,6458,16,35,20,25,23,26,30,26,29,29,40,37,27,NaN
201505,7206,21,24,28,25,25,38,25,27,26,43,35,37,10,NaN
201506,8007,17,30,32,24,22,21,27,35,40,28,28,35,20,NaN
201507,7714,23,35,24,24,29,24,25,27,33,16,27,34,25,NaN
201508,7682,17,31,27,29,17,18,28,26,22,17,27,36,13,NaN
201509,8763,21,34,42,44,31,38,16,30,19,23,42,24,16,NaN
201510,10359,20,42,45,26,25,34,23,26,25,30,36,32,21,NaN
201511,10796,19,39,33,33,31,30,28,27,41,38,35,33,15,NaN
201512,10126,16,46,34,31,31,36,24,38,32,35,41,22,19,NaN
201601,10380,23,36,27,37,27,21,33,20,37,31,35,38,15,NaN
201602,12037,22,37,34,31,32,30,24,37,28,34,40,43,21,NaN
201603,12590,20,34,36,31,28,37,30,31,29,38,44,40,18,NaN
201604,12121,24,36,32,43,24,28,28,36,23,22,41,31,10,NaN
201605,11250,15,30,40,34,33,51,36,29,34,23,23,35,14,NaN
201606,11924,25,42,30,41,34,38,36,28,28,32,30,23,14,NaN
201607,9450,29,35,26,20,22,23,26,27,31,28,31,32,9,NaN
201608,12222,30,41,30,22,24,28,28,20,26,39,33,30,10,NaN
201609,11497,21,34,39,25,28,36,28,32,20,29,24,22,13,NaN
201610,13199,25,30,32,26,39,30,23,31,27,21,20,34,9,NaN
201611,10966,33,39,27,39,37,28,24,30,35,30,28,40,24,NaN
201612,11422,22,32,30,29,20,35,27,26,25,34,27,29,18,NaN
201701,8552,22,36,27,25,20,19,23,29,32,19,30,31,11,NaN
201702,10605,33,35,35,32,25,25,32,34,38,34,35,34,19,NaN
201703,14183,33,44,31,30,29,23,29,28,16,21,22,34,16,NaN
201704,13574,25,46,31,34,36,32,27,27,33,29,22,26,13,NaN
201705,16585,23,46,34,21,28,39,20,37,22,33,29,33,9,NaN
201706,14237,25,40,31,23,34,28,25,21,24,39,36,35,17,NaN
201707,15072,31,52,53,32,24,40,39,25,32,35,40,31,13,NaN
201708,13439,36,45,37,36,29,36,20,29,28,33,24,29,13,NaN
201709,18019,35,57,32,40,29,26,28,34,36,35,24,31,19,NaN
201710,17666,48,51,49,26,46,41,24,32,27,41,37,31,12,NaN
201711,15824,47,75,37,35,25,42,21,27,27,37,32,32,13,NaN
201712,14869,49,59,47,39,34,34,33,30,30,37,38,34,14,NaN
201801,15302,37,51,43,27,36,40,29,32,38,26,29,37,24,NaN
201802,13159,44,48,39,28,30,21,29,41,25,29,31,30,17,NaN
201803,18958,32,49,36,26,44,30,32,32,36,36,37,36,14,NaN
201804,16608,36,46,39,30,20,37,34,23,38,23,40,36,19,NaN
201805,18046,36,50,41,37,29,25,22,41,28,30,29,32,5,NaN
201806,16165,41,55,37,34,31,28,29,46,30,40,32,29,15,NaN
201807,17797,40,45,52,19,22,39,35,35,39,37,34,37,17,NaN
201808,18377,30,65,37,27,38,25,22,32,22,23,44,30,16,NaN
201809,18311,36,68,31,37,40,25,24,35,20,27,32,33,20,NaN
201810,19009,43,59,47,34,32,36,45,27,39,33,41,45,21,NaN
201811,21389,34,62,44,48,31,30,24,33,40,34,42,36,23,NaN
201812,15990,30,56,36,32,32,24,33,37,31,34,27,34,13,NaN
201901,16061,36,51,40,38,31,27,26,24,25,24,28,26,10,6534
201902,18300,45,44,48,32,29,25,27,35,26,27,37,41,17,8579
201903,18034,27,54,34,32,39,28,34,26,29,45,30,29,10,8053
201904,18220,39,38,41,38,33,41,39,26,34,44,31,24,19,8532
201905,19324,31,54,42,40,33,31,36,39,28,34,20,24,14,9889
201906,18537,43,59,36,45,33,37,33,38,24,26,38,28,21,10194
201907,18505,59,48,33,28,38,31,34,24,20,29,35,39,13,8726
201908,18408,47,63,37,41,39,28,32,17,27,36,27,33,21,9193
201909,19234,50,38,39,47,35,21,23,36,37,30,34,33,15,8999
201910,23850,67,67,48,33,31,30,32,38,30,33,26,33,31,23575
201911,20097,33,65,51,29,28,38,34,37,38,35,34,30,19,20471
201912,14699,46,44,31,24,29,29,37,35,33,38,35,26,14,15767
202001,18446,41,71,23,26,29,40,30,34,38,31,34,29,22,18067
202002,19955,48,43,30,32,32,29,34,32,33,40,24,29,28,18096
202003,18582,32,38,37,28,24,35,29,30,17,25,25,27,12,20103
202004,9725,34,27,26,29,23,19,18,22,22,23,22,23,20,9155
202005,12981,35,40,28,28,36,19,26,26,24,34,25,30,18,11317
202006,14622,24,48,31,28,24,38,31,17,32,24,26,28,21,13219
202007,16390,41,45,39,24,38,31,29,26,20,25,30,39,15,20276
202008,19004,42,46,46,28,27,33,43,33,19,25,27,24,12,23925
202009,17681,40,67,57,48,49,43,26,35,34,35,38,27,21,23888
202010,19339,37,65,49,52,49,41,37,33,37,35,29,38,18,23813
202011,19030,74,67,51,48,37,43,24,35,26,24,40,27,20,20789
202012,13407,68,66,53,42,35,32,41,33,31,26,25,37,15,19813
202101,21111,58,70,70,43,37,37,24,35,28,35,24,39,17,12244
202102,18007,79,81,59,50,65,38,46,42,36,34,43,38,19,20325
202103,17224,66,71,61,68,26,50,29,31,28,35,36,41,12,21925
202104,17170,50,85,59,40,50,38,32,31,40,37,36,32,20,27414
202105,25795,76,72,59,45,44,34,36,37,33,41,32,38,25,26101
202106,22949,87,70,68,49,42,42,42,38,45,37,22,42,14,15857
202107,14031,62,59,57,45,39,40,40,34,26,31,30,27,17,13994
202108,17083,66,52,55,57,38,37,42,36,30,31,38,29,21,17237
202109,17463,43,71,52,47,38,36,35,38,26,25,30,40,15,19452
202110,25082,64,90,52,44,52,45,50,47,39,41,39,35,30,30650
202111,17426,46,81,58,62,47,40,30,37,39,45,27,37,12,23584
202112,17321,42,64,48,29,32,40,32,43,37,31,38,33,15,21015
202201,24391,52,57,25,41,27,28,32,29,37,39,34,33,18,22249
202202,20590,61,66,63,40,41,34,49,39,42,38,37,31,28,20593
202203,25647,40,69,51,51,52,45,57,61,44,46,34,42,24,24628
202204,26255,62,73,66,66,60,50,45,46,49,44,46,30,24,28545
202205,24766,43,71,54,65,59,56,39,62,48,48,29,48,15,29441
202206,18933,66,72,59,50,44,49,52,39,40,27,35,29,21,27997
202207,11502,55,62,42,71,56,42,36,35,38,31,33,40,16,13059
202208,16106,67,61,47,54,52,45,44,24,46,32,28,37,19,16313
202209,23671,44,85,56,60,34,48,30,41,36,25,39,37,16,24520
202210,20678,54,76,63,46,42,39,37,33,34,40,37,42,0,23824
202211,17789,58,70,62,57,43,41,43,35,54,40,37,0,0,19899
202212,13779,59,77,50,46,35,36,34,42,30,24,0,0,0,14846
202301,17224,36,66,35,39,27,28,36,30,27,0,0,0,0,16498
202302,16016,51,52,31,39,42,35,32,29,0,0,0,0,0,16653
202303,17339,35,54,50,33,42,29,38,0,0,0,0,0,0,18240
202304,13707,41,46,35,50,32,30,0,0,0,0,0,0,0,16097
202305,16363,28,49,39,41,33,0,0,0,0,0,0,0,0,17559
202306,16064,42,64,38,26,0,0,0,0,0,0,0,0,0,16050
202307,15730,33,44,36,0,0,0,0,0,0,0,0,0,0,16441
202308,15962,42,51,0,0,0,0,0,0,0,0,0,0,0,15565
202309,18933,43,0,0,0,0,0,0,0,0,0,0,0,0,19091
202310,20786,0,0,0,0,0,0,0,0,0,0,0,0,0,20081
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22939
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15302
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17063
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17668
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18599
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17729
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12088
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13031
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11869
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12324
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14239
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16434
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15551
