period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,36623,307,439,397,355,451,446,384,547,577,606,662,669,357,NaN
201502,34485,396,428,312,395,403,368,489,498,529,622,614,642,323,NaN
201503,35387,296,378,335,321,335,383,452,442,475,595,526,521,235,NaN
201504,29821,275,343,286,234,319,340,353,393,425,428,509,473,209,NaN
201505,28703,287,322,230,298,283,344,327,322,337,328,362,356,168,NaN
201506,28567,283,266,261,269,279,292,305,248,314,320,280,324,112,NaN
201507,21935,195,283,235,229,232,262,262,251,219,209,236,240,132,NaN
201508,21444,252,290,228,228,278,265,274,249,213,234,228,217,135,NaN
201509,31215,278,324,312,261,305,292,263,250,257,215,203,239,129,NaN
201510,31361,259,304,301,293,282,268,196,229,236,194,245,226,114,NaN
201511,28122,281,325,305,280,267,261,244,215,218,237,260,258,128,NaN
201512,19574,214,257,201,207,202,188,150,161,198,200,179,200,95,NaN
201601,17809,222,245,173,146,184,147,139,148,160,152,167,161,62,NaN
201602,20237,191,216,183,153,141,129,153,125,144,145,163,148,72,NaN
201603,17846,188,196,140,123,133,135,151,140,138,146,148,140,57,NaN
201604,16562,150,182,120,132,138,126,134,121,118,122,122,112,64,NaN
201605,17042,149,157,142,136,135,139,127,120,128,147,89,124,55,NaN
201606,17738,135,157,135,134,122,132,143,110,119,100,123,111,55,NaN
201607,14783,119,157,100,112,120,126,100,97,83,90,99,88,45,NaN
201608,12422,152,169,127,126,104,110,102,78,91,99,87,102,43,NaN
201609,17949,143,180,136,110,104,116,96,96,99,81,96,89,47,NaN
201610,17056,136,131,117,104,125,94,96,104,90,81,87,106,64,NaN
201611,16484,153,134,101,118,85,107,86,65,93,94,95,108,43,NaN
201612,11192,119,126,102,75,73,71,80,63,75,89,100,66,46,NaN
201701,11678,96,117,66,72,72,56,60,59,69,73,59,84,34,NaN
201702,11227,121,95,72,69,57,71,56,42,81,49,72,69,29,NaN
201703,9963,85,75,52,53,54,58,54,56,41,64,71,69,35,NaN
201704,8936,82,86,61,53,45,51,54,52,75,60,61,61,21,NaN
201705,10332,69,73,62,64,48,59,40,57,66,38,56,45,25,NaN
201706,7507,78,76,49,62,51,46,57,43,53,38,44,42,17,NaN
201707,4403,57,42,53,42,35,40,35,39,31,39,30,33,16,NaN
201708,2281,59,55,50,35,39,30,39,30,24,28,34,31,13,NaN
201709,4141,88,78,43,37,35,32,34,35,36,29,33,24,25,NaN
201710,3495,60,40,39,40,39,25,29,36,39,33,20,39,11,NaN
201711,3555,38,52,38,45,40,41,42,29,28,24,38,38,18,NaN
201712,2659,48,55,36,21,30,21,23,20,25,31,35,24,12,NaN
201801,1756,34,26,28,29,18,18,15,28,22,20,7,26,5,NaN
201802,916,41,38,25,16,29,15,17,24,18,19,19,12,5,NaN
201803,1041,35,36,24,23,19,16,22,26,17,7,12,14,8,NaN
201804,993,40,35,28,19,29,23,22,12,14,17,14,17,7,NaN
201805,1412,30,43,13,14,27,14,12,11,10,14,15,12,6,NaN
201806,1176,41,28,28,21,15,4,10,10,10,10,15,13,8,NaN
201807,1065,25,22,21,21,6,13,8,9,10,6,9,9,7,NaN
201808,1516,21,33,13,12,11,11,8,6,13,8,12,10,6,NaN
201809,1454,25,21,13,15,9,10,13,12,9,13,11,11,5,NaN
201810,1154,25,9,15,10,16,8,8,8,6,11,14,9,5,NaN
201811,1378,13,15,15,9,9,8,8,6,7,15,13,13,4,NaN
201812,1124,18,10,11,5,10,13,8,5,9,5,11,9,4,NaN
201901,1455,14,5,8,7,3,7,7,3,8,5,6,6,3,704
201902,1269,13,7,10,8,4,6,5,6,7,3,10,5,2,662
201903,1044,14,9,7,8,10,9,4,6,8,6,8,4,2,294
201904,918,18,10,8,11,4,5,9,4,11,11,2,4,3,216
201905,1743,20,12,6,4,10,3,5,7,3,5,7,11,5,986
201906,1330,18,15,5,8,6,1,6,5,6,4,7,5,3,710
201907,973,17,7,7,6,10,7,7,7,1,5,9,7,6,290
201908,994,10,10,4,4,7,5,6,4,8,8,13,8,2,332
201909,1582,8,5,9,7,7,7,4,4,6,4,5,5,3,810
201910,1761,10,9,4,9,7,5,11,5,4,6,4,7,1,1617
201911,1485,16,8,7,9,8,6,5,8,1,9,6,8,2,1497
201912,951,10,6,3,6,3,3,7,9,5,4,7,7,3,1054
202001,2193,10,7,5,4,1,3,4,5,5,9,5,9,1,1667
202002,1207,7,5,6,3,4,7,5,5,6,2,4,5,4,1062
202003,609,4,8,5,3,7,1,4,5,4,3,5,3,2,581
202004,485,3,9,7,4,5,5,4,5,5,3,5,3,2,337
202005,1020,4,7,3,2,2,5,6,6,0,4,3,7,1,1005
202006,1292,4,5,6,6,5,4,2,2,2,1,3,1,2,1163
202007,1402,9,14,7,9,2,3,4,4,1,4,4,7,4,1286
202008,937,8,9,7,1,4,3,3,2,3,2,2,4,2,1203
202009,1392,11,9,4,3,3,5,3,2,2,6,3,2,4,1606
202010,1541,11,7,4,9,3,3,6,5,4,6,4,3,1,1636
202011,1093,10,8,3,6,8,5,4,3,2,4,2,3,5,1283
202012,994,4,5,5,3,3,3,3,6,3,3,0,5,2,789
202101,725,2,11,3,2,5,2,1,0,1,3,2,2,2,22
202102,756,4,6,5,1,4,3,3,1,2,4,6,2,2,740
202103,569,4,4,3,10,4,3,3,3,2,2,3,5,3,775
202104,381,5,3,2,1,1,3,1,5,2,3,1,1,2,872
202105,435,3,4,3,1,3,2,1,1,4,0,2,1,0,760
202106,15,8,5,3,3,1,2,5,1,1,2,3,3,0,NaN
202107,5,1,1,2,3,1,1,0,2,2,3,0,2,1,NaN
202108,4,7,2,3,0,3,2,3,0,1,2,2,0,0,NaN
202109,4,1,1,0,1,3,2,2,3,2,1,0,2,3,NaN
202110,-2,3,3,1,3,1,0,2,2,0,2,0,1,0,NaN
202111,0,1,3,1,3,1,0,1,0,0,1,0,1,1,NaN
202112,2,1,3,1,1,1,0,1,2,3,2,2,1,0,NaN
202201,-1,0,1,2,0,0,0,0,4,2,2,4,0,1,NaN
202202,2,2,1,3,1,0,0,0,1,2,0,1,1,1,NaN
202203,2,3,1,0,1,0,0,1,0,1,2,0,0,1,NaN
202204,1,5,1,1,1,2,1,0,1,1,0,0,1,2,NaN
202205,0,6,0,0,3,1,0,0,0,2,0,0,2,4,NaN
202206,0,2,0,2,0,0,0,0,0,0,0,1,1,0,NaN
202207,0,0,2,0,0,0,0,2,1,1,0,1,0,1,NaN
