period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,10945,75,106,116,99,127,108,94,150,161,149,163,180,111,NaN
201502,10336,88,121,82,104,98,101,121,138,145,146,163,161,103,NaN
201503,11006,100,106,85,82,85,103,133,117,136,122,155,154,96,NaN
201504,8242,95,110,79,69,96,114,108,125,143,129,145,153,61,NaN
201505,12395,95,109,84,81,84,115,110,116,94,121,125,119,69,NaN
201506,14276,113,107,115,88,98,115,98,106,127,95,106,111,62,NaN
201507,14192,105,114,97,99,110,117,100,130,116,100,96,96,56,NaN
201508,12844,117,122,104,97,111,125,110,108,103,88,85,109,40,NaN
201509,15317,149,169,121,127,131,125,134,124,97,102,100,117,62,NaN
201510,17957,151,157,132,109,116,105,115,94,85,90,108,121,64,NaN
201511,14673,156,161,128,128,121,111,108,107,104,119,131,125,72,NaN
201512,13942,142,152,164,133,139,104,126,100,100,120,109,112,79,NaN
201601,16424,138,148,95,107,100,74,83,100,95,75,96,107,42,NaN
201602,16524,192,139,121,97,69,64,89,71,98,77,69,94,46,NaN
201603,16455,162,103,128,104,73,99,102,92,94,78,86,72,28,NaN
201604,17095,125,146,75,90,89,90,94,85,90,79,87,69,40,NaN
201605,16485,131,133,84,78,97,96,90,81,87,75,67,86,40,NaN
201606,16527,140,135,103,104,88,85,86,70,81,71,59,84,29,NaN
201607,15975,127,129,85,97,81,96,81,111,72,70,70,68,41,NaN
201608,15749,140,146,108,84,108,79,85,58,75,81,69,75,32,NaN
201609,17084,168,164,103,116,85,91,86,73,69,68,58,86,52,NaN
201610,20020,171,151,130,111,113,64,87,73,79,73,71,80,44,NaN
201611,22469,187,169,109,114,67,86,78,93,77,70,75,89,40,NaN
201612,19058,191,180,129,86,95,89,77,66,83,92,93,74,40,NaN
201701,20371,164,173,75,83,70,59,65,82,88,89,61,89,35,NaN
201702,17933,192,125,89,86,60,53,62,64,66,57,94,66,43,NaN
201703,20698,124,130,70,52,59,69,65,55,47,82,62,60,32,NaN
201704,15309,152,104,53,62,56,87,67,68,66,51,69,63,31,NaN
201705,18127,126,123,73,84,78,75,64,77,76,49,58,68,31,NaN
201706,19433,139,105,69,88,64,58,92,59,67,46,68,47,41,NaN
201707,16163,136,127,90,71,56,74,68,46,74,55,59,59,26,NaN
201708,18716,162,125,93,76,71,80,68,53,75,58,64,64,31,NaN
201709,18352,176,134,97,81,80,67,57,57,67,66,53,57,26,NaN
201710,21606,175,175,122,88,83,67,79,62,77,68,63,108,42,NaN
201711,24492,200,211,132,96,92,95,82,71,82,80,98,99,47,NaN
201712,17326,184,161,101,100,88,64,77,79,74,89,70,69,58,NaN
201801,25370,175,164,98,80,68,61,74,61,86,66,49,87,44,NaN
201802,20686,206,163,94,63,79,59,71,70,69,51,83,92,28,NaN
201803,18061,179,152,84,86,78,79,70,58,69,71,77,66,41,NaN
201804,18636,191,139,97,85,71,89,72,68,89,74,77,60,47,NaN
201805,18130,155,152,84,100,89,81,68,71,81,78,66,83,27,NaN
201806,17906,185,138,98,124,78,56,57,68,71,67,56,69,27,NaN
201807,18024,178,147,114,104,68,85,74,67,66,64,50,68,30,NaN
201808,18438,180,148,112,72,88,67,69,57,59,56,71,71,26,NaN
201809,19174,206,166,88,110,90,81,52,80,51,72,60,71,41,NaN
201810,24353,214,157,137,103,75,82,89,83,68,63,58,88,45,NaN
201811,28404,221,207,126,118,86,96,71,84,68,75,88,88,44,NaN
201812,21300,209,179,127,101,93,79,63,64,71,74,69,61,44,NaN
201901,25676,170,157,80,86,74,66,69,58,61,63,43,60,28,9402
201902,18597,155,125,84,66,60,59,62,68,63,59,82,61,20,4780
201903,18533,170,139,79,70,66,71,53,61,42,69,62,52,31,7680
201904,19870,202,120,88,69,72,76,59,36,70,63,48,50,37,9482
201905,20351,139,119,95,71,77,61,45,67,61,58,45,58,31,5869
201906,19741,162,147,96,66,73,54,56,64,57,46,60,78,35,3413
201907,17540,156,160,111,76,48,72,59,52,43,42,56,64,40,8050
201908,16870,182,161,100,69,78,66,44,41,62,49,52,69,42,6044
201909,20274,181,177,93,84,73,61,45,47,60,53,61,76,34,8522
201910,22281,189,154,128,82,77,46,65,67,52,67,75,65,31,28004
201911,23538,203,185,109,78,54,56,63,62,66,61,79,68,37,34202
201912,18843,208,152,92,39,58,71,56,75,58,69,62,72,32,23418
202001,25554,204,140,60,67,80,80,69,57,56,55,58,52,30,32586
202002,19482,152,96,73,65,65,85,57,42,65,55,55,65,29,30891
202003,17115,82,98,65,61,53,52,42,46,55,52,33,48,16,22580
202004,11646,122,99,61,58,62,61,63,41,39,44,47,47,24,13587
202005,18240,144,147,85,89,78,53,48,67,62,73,64,58,31,16543
202006,24677,203,158,90,81,74,58,69,60,59,59,53,56,33,24534
202007,22615,201,146,117,73,63,71,56,73,48,43,64,71,39,32056
202008,23388,174,157,90,69,62,58,64,51,46,39,46,44,38,39932
202009,20951,193,161,102,73,65,58,68,42,60,55,44,48,33,31550
202010,22725,209,170,123,87,81,57,45,56,68,41,45,57,30,34270
202011,30652,175,160,124,72,86,74,61,74,33,65,58,48,31,35249
202012,20932,166,149,89,62,67,70,58,58,42,56,51,39,23,22340
202101,18459,148,133,75,57,62,66,48,40,47,43,39,39,24,23849
202102,23078,137,124,73,69,60,57,46,51,44,43,49,41,27,28014
202103,31646,141,114,60,67,55,58,43,41,42,32,42,46,23,33646
202104,24977,123,114,76,47,51,49,49,38,31,27,46,32,24,28106
202105,20104,138,115,55,75,48,43,32,49,56,37,37,43,17,24722
202106,17331,158,113,94,53,34,39,42,40,32,34,35,39,15,20303
202107,15656,108,118,59,60,46,32,45,34,33,35,23,23,16,16123
202108,15601,128,84,65,54,46,47,36,18,30,36,16,23,23,18029
202109,16880,115,100,63,47,31,38,34,33,33,29,29,41,19,25958
202110,17180,108,105,76,48,64,30,53,25,33,26,29,42,21,22819
202111,18866,117,103,59,54,39,51,30,35,29,34,29,49,15,24338
202112,17678,96,111,47,47,41,31,22,21,32,24,31,30,21,17000
202201,18530,100,77,49,41,28,22,20,24,22,29,33,32,11,24902
202202,15873,93,76,55,41,32,23,28,29,31,30,40,19,15,25449
202203,22357,96,79,47,43,23,23,30,30,31,47,26,30,15,22660
202204,18041,79,74,33,38,46,30,38,30,35,26,26,18,20,22415
202205,20686,71,91,50,34,32,28,31,36,20,19,18,21,15,25124
202206,20485,79,85,57,35,41,17,33,30,19,24,36,29,13,31181
202207,14041,95,95,49,40,35,46,33,29,20,26,20,27,12,19034
202208,15260,112,94,61,48,44,35,33,31,36,23,23,25,18,16613
202209,15836,114,65,64,28,24,43,29,20,29,15,24,25,9,17646
202210,15684,95,98,89,61,55,38,27,30,20,18,33,27,0,22600
202211,17335,83,109,61,33,42,41,26,25,23,31,27,0,0,18219
202212,14778,94,84,51,42,39,23,18,20,27,28,0,0,0,12687
202301,16887,78,82,26,36,25,24,25,25,34,0,0,0,0,14501
202302,12145,108,70,27,36,13,25,22,19,0,0,0,0,0,13519
202303,15213,73,68,43,30,23,19,17,0,0,0,0,0,0,15209
202304,14205,81,63,25,24,34,31,0,0,0,0,0,0,0,14150
202305,17147,78,60,44,41,31,0,0,0,0,0,0,0,0,19552
202306,14170,67,55,33,27,0,0,0,0,0,0,0,0,0,14474
202307,10145,52,69,53,0,0,0,0,0,0,0,0,0,0,10958
202308,13138,63,55,0,0,0,0,0,0,0,0,0,0,0,15459
202309,15148,93,0,0,0,0,0,0,0,0,0,0,0,0,17299
202310,12815,0,0,0,0,0,0,0,0,0,0,0,0,0,17838
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18842
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13051
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16479
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16307
