period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,830,13,11,6,9,10,9,7,19,14,19,17,24,13,NaN
201502,1195,11,11,9,8,7,8,17,15,14,18,12,17,12,NaN
201503,752,13,13,10,9,9,10,9,18,15,12,15,11,11,NaN
201504,489,7,12,7,5,10,13,11,11,15,11,14,14,3,NaN
201505,1273,6,9,7,5,8,3,8,4,8,10,13,12,5,NaN
201506,1078,12,8,10,8,6,11,7,9,13,10,2,12,7,NaN
201507,1133,10,4,10,6,12,11,15,3,5,10,7,8,7,NaN
201508,858,6,12,11,9,6,4,10,7,6,10,9,10,5,NaN
201509,1820,5,12,4,4,9,3,11,2,4,3,11,5,4,NaN
201510,1094,12,13,8,9,7,6,10,8,14,10,10,14,8,NaN
201511,1221,22,8,8,10,9,8,10,15,8,7,13,9,3,NaN
201512,2128,9,14,18,13,6,8,10,11,13,10,4,11,6,NaN
201601,1053,13,14,13,8,10,9,14,5,7,10,9,9,3,NaN
201602,2407,11,13,7,10,12,9,17,8,12,9,8,15,6,NaN
201603,1971,10,11,17,13,6,10,8,9,10,17,5,6,0,NaN
201604,2118,12,9,3,6,7,6,3,6,6,7,4,4,2,NaN
201605,1587,8,8,4,8,8,4,9,9,10,6,7,4,2,NaN
201606,1483,7,10,3,5,8,8,4,6,6,4,7,6,4,NaN
201607,1801,8,12,4,5,4,7,5,9,9,4,6,5,2,NaN
201608,1685,13,10,6,10,8,6,14,5,9,5,2,8,3,NaN
201609,1627,11,11,8,14,11,2,7,8,6,8,11,4,4,NaN
201610,1880,7,7,7,7,4,7,5,5,5,6,5,5,4,NaN
201611,2314,11,13,7,9,10,10,2,7,10,7,5,2,3,NaN
201612,2054,8,8,12,7,5,5,3,5,8,10,9,5,4,NaN
201701,2131,16,15,5,2,7,3,2,8,6,4,7,3,3,NaN
201702,2648,30,7,3,9,4,7,10,6,7,8,4,5,3,NaN
201703,2706,11,7,8,7,4,11,9,10,6,8,4,5,9,NaN
201704,2075,13,15,10,6,7,6,8,7,7,5,10,6,2,NaN
201705,2227,12,9,7,7,7,6,2,6,5,8,1,4,4,NaN
201706,1956,14,12,9,6,7,5,1,5,5,10,8,4,2,NaN
201707,1546,12,6,9,6,6,7,4,4,8,9,7,6,4,NaN
201708,2461,12,16,7,4,6,4,5,9,4,5,5,6,1,NaN
201709,1928,11,12,4,10,7,7,4,3,7,2,11,1,4,NaN
201710,3476,16,10,15,12,5,6,6,8,7,6,8,5,7,NaN
201711,2717,15,14,6,7,12,7,8,7,7,4,10,8,4,NaN
201712,2225,20,9,9,9,6,7,7,9,7,5,5,9,4,NaN
201801,2646,8,16,7,5,8,4,2,3,5,7,5,6,4,NaN
201802,2926,14,16,8,5,7,10,5,14,6,4,10,12,4,NaN
201803,3079,19,8,15,5,8,7,13,4,4,9,4,9,3,NaN
201804,2716,12,16,6,6,9,8,8,4,6,2,5,5,4,NaN
201805,2842,11,14,6,1,6,8,8,3,7,3,5,8,2,NaN
201806,3254,17,10,7,10,5,6,5,2,7,4,5,3,6,NaN
201807,2861,14,6,9,7,7,2,6,4,9,6,7,3,2,NaN
201808,3137,17,21,6,9,10,9,4,4,7,6,10,4,1,NaN
201809,2976,14,6,10,4,7,6,8,8,7,8,6,4,2,NaN
201810,3809,18,17,20,7,5,6,10,6,5,9,6,9,6,NaN
201811,4072,18,18,6,6,8,5,7,13,6,7,10,9,2,NaN
201812,3278,23,23,14,3,10,4,4,12,13,6,2,5,6,NaN
201901,3541,19,17,10,10,10,7,6,7,8,7,7,6,3,NaN
201902,2909,18,18,6,12,14,3,7,7,12,7,10,9,3,NaN
201903,3533,18,8,11,8,10,10,3,9,9,8,6,10,1,NaN
201904,3157,22,18,10,11,8,7,4,7,7,12,9,2,6,NaN
201905,3361,18,12,8,5,5,7,11,10,8,6,6,5,1,NaN
201906,2952,17,13,6,6,6,4,7,3,4,4,4,4,2,NaN
201907,2967,24,19,18,7,2,5,6,3,3,8,2,4,4,NaN
201908,3224,19,19,4,7,8,13,5,5,6,4,5,9,2,NaN
201909,2795,20,24,9,15,9,6,6,3,8,4,9,5,4,1
201910,3313,38,18,15,11,10,2,7,5,3,5,7,7,3,3547
201911,2940,17,18,8,11,6,6,5,4,8,9,9,6,3,3379
201912,2396,17,8,10,10,12,11,6,4,8,11,6,6,3,2725
202001,3033,24,11,6,2,6,8,5,6,6,3,1,8,5,2736
202002,2633,19,10,9,6,5,6,6,6,7,2,3,2,3,3026
202003,2762,12,14,6,10,8,8,3,5,4,6,4,4,4,3716
202004,2170,16,14,11,6,12,5,6,3,2,7,11,4,4,1960
202005,2577,15,18,9,10,9,10,7,7,5,10,6,3,0,1874
202006,3113,24,16,15,14,8,7,0,6,3,7,7,7,3,2863
202007,2303,11,12,6,8,5,5,6,7,7,7,6,8,2,3784
202008,3425,25,27,10,2,11,1,10,3,2,2,8,8,1,3917
202009,2262,18,20,11,8,2,5,12,5,3,5,6,4,2,3177
202010,2813,22,23,8,7,12,4,7,5,4,5,2,4,2,5073
202011,3592,15,20,9,9,9,5,4,6,3,6,2,3,2,5030
202012,3032,33,16,10,7,8,9,3,4,3,10,5,4,2,4532
202101,3647,22,16,20,4,10,4,4,7,3,6,3,5,2,2613
202102,3038,21,13,10,3,4,3,8,8,7,9,5,4,3,2892
202103,2496,14,14,8,6,3,6,3,6,1,3,6,3,4,3084
202104,3256,20,11,10,9,8,10,6,7,4,5,6,5,2,5111
202105,3065,16,12,9,8,8,4,3,7,2,3,5,8,2,2661
202106,3135,20,10,13,9,4,5,6,3,6,5,4,4,2,3051
202107,1773,10,14,5,10,10,5,3,2,3,1,6,3,5,1645
202108,2007,14,17,9,11,4,3,2,3,8,1,2,6,5,2314
202109,2480,10,8,6,6,7,3,2,7,5,4,5,4,1,2974
202110,3218,11,11,5,11,7,1,5,3,2,3,7,6,3,2761
