period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,588,7,3,2,7,0,0,1,3,2,4,4,0,0,NaN
201502,731,4,5,2,2,5,1,2,7,3,8,0,4,1,NaN
201503,570,5,2,2,1,7,2,5,4,2,2,2,2,1,NaN
201504,769,5,2,1,0,4,5,5,1,3,4,4,6,1,NaN
201505,567,2,2,2,5,5,1,3,1,3,4,1,6,1,NaN
201506,751,3,5,4,4,3,1,4,6,6,3,5,4,1,NaN
201507,661,4,4,7,1,1,7,6,6,2,5,5,3,2,NaN
201508,548,7,6,2,5,1,7,2,5,1,2,4,5,4,NaN
201509,279,3,1,3,3,5,6,4,4,2,4,4,3,0,NaN
201510,189,4,4,2,4,1,5,5,3,1,4,2,7,2,NaN
201511,46,3,2,1,1,0,3,0,0,1,1,1,2,1,NaN
201512,20,5,0,2,1,2,0,2,1,1,1,1,3,1,NaN
201601,25,2,1,0,1,0,1,0,0,1,0,1,1,0,NaN
201602,16,2,1,1,0,0,1,1,0,1,0,2,1,1,NaN
201603,16,2,1,0,0,0,0,0,2,2,0,0,0,0,NaN
201604,17,0,0,0,1,1,0,0,0,0,0,1,0,0,NaN
201605,11,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN
201606,5,1,0,0,0,0,0,0,0,1,0,0,0,0,NaN
201607,5,0,1,0,0,0,1,0,0,2,0,1,2,1,NaN
201608,1,2,1,1,0,0,1,0,0,0,0,0,3,0,NaN
201609,-1,1,0,0,0,0,0,0,0,1,0,1,0,0,NaN
201610,0,1,0,1,1,1,0,1,0,0,0,1,0,0,NaN
201611,4,1,1,0,0,0,2,0,0,1,0,0,0,0,NaN
201612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201701,0,0,0,0,0,0,0,2,2,0,0,1,0,0,NaN
201702,1,0,0,0,0,0,0,0,0,1,0,0,1,0,NaN
201703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201704,-3,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
201705,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,NaN
201706,3,0,0,0,0,0,0,0,1,0,0,0,1,0,NaN
201707,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
201709,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201710,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201711,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,NaN
201801,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
201802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201804,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
201805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
201806,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
201811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
