period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,10561,180,186,122,127,145,169,173,228,239,234,261,286,156,NaN
201502,8390,153,141,127,108,124,136,163,190,193,211,215,227,136,NaN
201503,7652,127,100,77,86,104,115,166,166,187,178,198,180,104,NaN
201504,4813,102,114,97,73,87,133,131,123,145,153,155,165,80,NaN
201505,5093,118,108,73,68,93,96,119,124,104,122,121,115,72,NaN
201506,6650,82,93,93,81,80,91,101,103,104,108,104,117,62,NaN
201507,6146,83,93,89,59,93,95,75,92,104,81,76,90,52,NaN
201508,5367,110,106,66,66,90,101,89,102,94,77,77,83,42,NaN
201509,6273,125,95,80,64,74,87,88,73,89,71,94,81,43,NaN
201510,5643,74,80,73,69,62,78,83,96,58,56,97,90,38,NaN
201511,5070,81,95,73,90,76,86,85,71,80,86,96,108,60,NaN
201512,6528,88,85,63,70,51,60,52,42,73,68,75,64,37,NaN
201601,5346,79,74,63,55,46,41,34,53,51,41,55,56,20,NaN
201602,5029,85,63,49,45,32,45,46,40,53,37,30,42,23,NaN
201603,4361,59,60,33,43,35,36,51,44,50,48,48,43,15,NaN
201604,3137,45,34,31,30,42,29,51,32,35,35,40,23,17,NaN
201605,2770,51,43,25,38,32,32,31,46,26,44,26,29,18,NaN
201606,4045,49,42,35,34,27,34,31,31,33,24,32,24,13,NaN
201607,4447,46,52,33,26,26,28,22,27,29,19,18,27,5,NaN
201608,3570,52,52,32,28,32,30,27,33,15,29,23,21,6,NaN
201609,3367,69,37,33,25,28,34,25,19,26,18,17,15,15,NaN
201610,3554,48,35,31,30,22,17,20,23,24,23,17,33,15,NaN
201611,4049,54,42,32,38,28,20,29,18,25,33,24,37,16,NaN
201612,4633,54,37,24,19,26,20,20,30,18,22,28,26,8,NaN
201701,3366,48,31,19,16,14,16,9,19,17,13,15,24,15,NaN
201702,2149,34,23,16,11,10,12,14,25,12,13,20,14,5,NaN
201703,2476,27,15,23,9,8,6,9,10,5,12,12,13,6,NaN
201704,1915,28,18,11,11,7,5,12,13,10,9,9,13,4,NaN
201705,1185,12,11,14,8,14,7,11,6,8,3,9,8,6,NaN
201706,1091,18,13,9,10,9,11,10,2,10,13,12,4,5,NaN
201707,378,7,7,3,10,6,7,14,4,4,9,3,4,5,NaN
201708,476,20,15,7,8,4,5,8,3,8,5,2,5,2,NaN
201709,749,9,12,6,3,7,11,11,6,4,4,9,4,7,NaN
201710,210,13,9,10,11,2,8,4,5,7,6,7,9,2,NaN
201711,47,8,6,10,10,5,9,10,7,8,7,6,6,4,NaN
201712,54,14,7,6,7,3,3,4,3,8,6,7,6,3,NaN
201801,27,7,5,1,2,3,8,2,5,1,6,1,5,5,NaN
201802,42,3,3,2,5,4,2,2,2,6,4,4,5,4,NaN
201803,12,8,8,6,4,1,1,2,3,5,1,1,4,3,NaN
201804,16,8,3,1,0,3,3,1,0,3,2,4,2,1,NaN
201805,18,4,2,0,2,2,2,3,0,2,3,4,1,1,NaN
201806,15,8,1,2,2,2,5,5,3,6,5,3,0,1,NaN
201807,-4,5,4,4,4,3,4,0,1,0,2,1,2,2,NaN
201808,0,3,5,4,0,0,0,2,0,3,1,2,3,1,NaN
201809,10,5,5,0,2,0,1,2,0,1,2,0,3,2,NaN
201810,29,4,1,3,3,1,1,2,3,1,0,1,3,1,NaN
201811,2,0,0,3,0,0,3,0,1,0,1,0,0,1,NaN
201812,18,0,3,0,0,0,0,4,2,1,2,0,0,0,NaN
201901,-3,3,1,1,2,3,0,0,1,2,1,2,1,1,NaN
201902,1,1,2,5,2,0,0,1,0,1,0,2,0,1,NaN
201903,-1,1,3,0,0,2,3,0,1,2,1,0,1,0,NaN
201904,2,1,1,1,0,0,0,3,1,0,1,0,2,0,NaN
201905,-2,2,2,0,0,1,2,0,0,0,1,0,0,0,NaN
201906,0,3,2,0,3,0,0,0,1,1,0,0,0,0,NaN
201907,2,2,0,1,1,0,0,2,0,0,0,0,3,0,NaN
201908,-1,1,0,0,1,0,0,1,0,2,2,0,1,0,NaN
201909,4,1,3,0,0,1,0,0,0,1,0,1,0,0,NaN
201910,0,0,0,1,0,0,0,1,2,0,0,0,1,0,NaN
201911,7,0,1,0,1,2,1,0,0,1,1,0,0,1,21
201912,34,1,0,0,0,1,3,0,0,1,1,0,2,0,15
202001,3,0,0,0,0,0,0,0,0,0,0,2,1,0,18
202002,29,0,0,1,2,0,0,1,0,2,0,0,1,0,33
202003,30,1,0,0,1,0,0,0,0,0,0,1,1,0,30
202004,15,2,1,1,0,0,0,1,0,0,0,0,0,1,22
202005,28,1,0,0,0,0,1,0,0,0,1,0,0,1,14
202006,24,2,1,1,1,0,1,1,0,1,0,0,0,0,18
202007,17,0,2,0,0,1,0,0,0,1,0,0,3,1,11
202008,9,4,1,1,0,0,0,0,1,0,0,0,0,0,19
202009,38,1,1,1,1,1,1,0,0,1,0,0,0,0,23
202010,19,1,1,0,0,0,1,0,0,0,1,1,0,0,16
202011,2,0,0,1,0,0,2,1,0,0,0,0,0,0,NaN
202012,1,0,1,0,0,0,0,1,0,1,1,0,0,0,NaN
202101,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5
202102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
202103,0,1,0,0,0,0,0,1,0,1,0,0,0,1,NaN
202104,0,1,0,1,0,0,0,0,0,1,0,0,0,0,NaN
202105,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,NaN
202106,-1,0,0,0,0,0,1,0,1,0,2,0,0,0,NaN
202107,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NaN
202108,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NaN
202109,-2,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN
202110,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NaN
202111,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NaN
202112,0,0,1,0,0,0,0,0,0,1,0,0,1,0,NaN
202201,4,0,1,1,0,0,0,0,1,0,0,0,0,1,NaN
202203,0,1,1,0,0,1,0,0,0,0,0,1,0,0,NaN
202204,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN
202205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202206,1,1,1,0,0,0,0,0,1,0,0,0,0,0,NaN
202207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN
202209,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN
202210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202211,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202302,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
202303,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10
