period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,1063,13,12,11,5,10,12,5,10,13,8,7,15,8,NaN
201502,1274,20,10,7,10,5,10,4,12,6,16,12,11,5,NaN
201503,1321,19,13,5,4,5,10,11,10,7,10,15,12,5,NaN
201504,810,11,8,10,4,2,15,5,9,11,6,9,8,5,NaN
201505,1539,10,12,5,8,2,5,6,9,0,9,11,8,1,NaN
201506,1600,11,10,7,8,4,7,11,7,8,7,9,10,5,NaN
201507,1359,8,9,9,10,9,9,8,13,5,6,2,6,6,NaN
201508,1353,14,15,8,12,13,9,8,4,12,7,9,8,3,NaN
201509,1368,12,14,7,9,10,6,8,11,7,7,8,4,3,NaN
201510,1561,11,16,9,11,11,6,6,8,7,8,3,7,2,NaN
201511,1347,11,12,7,4,14,7,5,7,11,10,7,9,2,NaN
201512,1025,9,22,7,15,7,3,9,4,10,4,7,9,3,NaN
201601,1242,10,14,5,4,3,8,5,3,3,5,3,2,2,NaN
201602,1156,28,12,8,7,2,7,6,1,13,2,1,4,3,NaN
201603,1298,7,9,4,3,5,12,4,4,6,2,5,6,2,NaN
201604,1043,22,8,4,4,8,6,6,3,3,4,4,5,1,NaN
201605,1004,12,11,12,4,8,7,8,7,7,7,10,5,0,NaN
201606,1046,6,6,4,8,4,4,5,2,5,2,2,3,2,NaN
201607,652,7,11,5,5,5,2,3,6,4,4,10,4,2,NaN
201608,940,5,7,5,6,6,2,2,10,2,3,2,3,1,NaN
201609,1225,13,6,7,4,4,6,4,3,3,2,4,4,3,NaN
201610,894,8,7,5,6,7,1,4,2,5,4,6,7,2,NaN
201611,1206,3,8,5,7,1,6,3,9,2,5,2,4,3,NaN
201612,903,9,8,7,4,5,1,3,1,3,1,4,5,2,NaN
201701,588,2,1,4,3,0,2,2,3,3,4,0,2,1,NaN
201702,281,5,1,2,1,1,1,4,2,2,0,1,1,1,NaN
201703,440,2,0,0,3,1,0,1,2,0,2,2,2,3,NaN
201704,311,3,1,1,0,2,4,1,4,0,1,2,1,2,NaN
201705,375,2,1,0,4,1,1,1,1,1,4,2,3,0,NaN
