period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,38,1,4,1,1,1,1,2,1,1,0,1,0,1,NaN
201502,10,4,5,2,0,1,0,0,2,1,1,0,0,0,NaN
201503,116,3,1,0,2,0,0,1,1,3,1,1,1,0,NaN
201504,63,3,2,1,1,2,2,1,2,2,2,2,2,3,NaN
201505,38,4,2,4,0,2,1,2,0,1,3,2,5,1,NaN
201506,100,2,3,1,2,2,1,1,1,0,1,0,1,1,NaN
201507,83,2,2,0,0,1,3,2,1,0,3,1,2,0,NaN
201508,154,2,3,3,0,1,2,0,1,0,0,1,0,4,NaN
201509,242,4,5,1,0,5,1,3,1,4,1,1,1,2,NaN
201510,117,1,7,4,2,1,4,2,3,3,4,3,6,2,NaN
201511,330,0,0,1,3,1,3,0,1,0,3,2,4,1,NaN
201512,188,4,2,0,2,1,3,3,4,2,4,1,3,1,NaN
201601,89,2,3,2,1,3,1,1,0,4,3,2,2,1,NaN
201602,100,2,1,3,0,2,1,0,4,5,1,1,0,0,NaN
201603,109,6,2,1,0,1,3,1,1,1,0,1,2,1,NaN
201604,272,2,6,2,1,1,1,0,2,1,3,2,1,2,NaN
201605,122,3,0,0,0,0,1,0,0,3,1,1,4,0,NaN
201606,48,0,1,0,1,0,2,0,1,0,1,0,1,2,NaN
201607,74,0,1,0,1,2,1,1,1,1,1,1,1,2,NaN
201608,110,1,0,1,0,1,1,0,1,0,1,0,2,0,NaN
201609,90,5,0,1,2,1,1,3,1,0,1,0,0,1,NaN
201610,1,5,4,2,2,2,1,3,1,1,2,0,1,1,NaN
201611,271,1,0,1,1,3,1,2,1,0,2,0,0,1,NaN
201612,17,2,0,4,0,1,1,0,0,1,0,0,1,0,NaN
201701,55,0,1,1,1,0,0,1,0,2,3,0,3,0,NaN
201702,29,2,2,2,0,1,0,1,0,2,1,1,0,0,NaN
201703,21,0,0,1,1,1,0,0,0,0,1,0,0,0,NaN
201704,90,0,0,0,0,0,0,1,1,0,2,2,0,0,NaN
201705,72,2,2,1,0,0,2,0,0,0,0,1,0,0,NaN
201706,3,1,3,1,1,0,0,2,1,1,0,0,0,0,NaN
201707,1,2,0,3,0,0,2,1,0,1,0,0,0,0,NaN
201708,0,0,0,0,1,0,1,0,0,0,0,1,2,1,NaN
201709,-1,2,0,0,2,1,1,0,1,0,2,0,1,0,NaN
201710,2,0,0,0,1,0,0,0,1,0,0,1,0,0,NaN
201711,1,0,3,0,1,2,0,0,0,1,0,1,1,1,NaN
201712,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NaN
201801,1,2,1,0,0,1,0,0,0,0,2,0,0,0,NaN
201802,0,1,1,0,0,0,0,0,0,0,0,1,0,0,NaN
201803,0,0,0,1,1,1,1,0,1,0,1,0,0,0,NaN
201804,1,0,0,1,0,1,0,0,0,0,0,0,0,0,NaN
201805,0,1,0,1,0,2,0,0,0,1,0,0,0,0,NaN
201806,1,0,3,0,0,2,0,0,0,0,0,0,0,0,NaN
201807,0,1,0,1,1,1,0,0,0,1,0,0,0,0,NaN
201808,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NaN
201809,0,1,3,0,1,0,1,1,0,0,0,0,0,0,NaN
201810,0,0,0,0,0,0,0,0,1,1,1,1,0,1,NaN
201811,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NaN
201812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201901,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NaN
201902,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
201904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201905,1,1,0,0,0,1,0,0,0,0,1,0,0,2,NaN
201906,0,1,0,1,0,0,0,0,0,0,0,0,1,0,NaN
201907,0,1,0,0,1,0,1,0,0,1,1,0,0,1,NaN
201908,0,1,0,0,0,0,0,0,0,0,1,0,1,0,NaN
201909,0,2,0,0,0,0,0,0,0,2,1,2,0,0,NaN
201910,-1,1,0,1,1,0,0,0,1,0,1,1,1,0,491
201911,0,0,0,0,0,0,0,0,0,1,0,3,0,0,541
201912,0,0,0,0,0,0,0,1,2,0,0,0,1,0,333
202001,0,0,0,1,0,0,0,2,0,3,0,0,0,0,339
202002,1,1,0,0,1,0,0,2,0,0,0,0,1,0,298
202003,0,0,0,0,1,0,0,1,0,0,0,0,0,0,402
202005,0,0,1,0,1,0,0,0,0,0,0,0,0,0,274
202006,0,0,1,0,0,2,0,0,1,0,0,0,0,0,267
202007,0,1,3,1,2,0,0,0,0,0,0,0,0,0,264
202008,-1,1,0,2,0,0,0,0,0,0,0,1,1,0,351
202009,0,1,1,0,0,0,0,0,0,0,0,0,0,0,335
202010,0,1,0,1,0,1,1,0,0,0,0,0,0,0,375
202011,0,2,0,0,0,0,0,0,0,1,0,0,0,0,509
202012,0,2,0,0,0,0,0,0,0,0,0,0,0,0,233
202101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
202102,0,1,0,1,0,0,0,0,0,0,0,0,0,0,251
202104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,234
202105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
202106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,530
202107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,452
202108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515
202111,0,1,1,0,0,0,0,0,0,0,0,0,0,0,561
202112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,352
202202,0,1,1,1,0,0,0,0,0,0,0,0,0,0,264
202205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293
202206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
202209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,263
202301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
202004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,418
202103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,170
202109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,464
202110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,630
202201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,262
202203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,256
202204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,349
202207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,309
