period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,12250,201,205,136,140,156,182,181,242,255,246,273,301,165,NaN
201502,10405,181,161,138,120,135,147,169,211,203,236,227,242,142,NaN
201503,9659,154,116,84,93,116,127,183,181,199,191,216,195,110,NaN
201504,6455,121,126,109,78,95,155,142,135,161,165,170,181,89,NaN
201505,7237,134,124,84,81,102,103,130,134,108,138,135,134,75,NaN
201506,9101,98,111,105,95,89,100,117,117,118,119,118,132,69,NaN
201507,8249,97,108,105,70,104,114,91,112,111,95,84,101,60,NaN
201508,7422,133,130,79,83,105,119,99,112,107,86,91,96,53,NaN
201509,8162,144,115,91,76,94,100,103,89,102,83,107,89,48,NaN
201510,7510,90,107,88,86,75,93,96,110,69,72,105,110,44,NaN
201511,6793,95,109,82,98,91,99,90,79,92,100,106,123,64,NaN
201512,7761,106,109,72,88,61,66,66,51,86,77,84,79,42,NaN
201601,6702,93,92,70,61,52,51,40,56,59,49,61,61,23,NaN
201602,6301,117,77,61,52,36,54,53,45,72,40,34,47,27,NaN
201603,5784,74,72,38,46,41,51,56,51,59,50,54,51,18,NaN
201604,4469,69,48,37,36,52,36,57,37,39,42,47,29,20,NaN
201605,3907,66,54,37,42,40,40,39,53,36,52,37,39,18,NaN
201606,5144,56,49,39,43,31,40,36,34,39,27,34,28,17,NaN
201607,5178,53,65,38,32,33,32,26,34,36,24,30,34,9,NaN
201608,4621,60,60,39,34,39,34,29,44,17,33,25,26,8,NaN
201609,4681,88,43,41,31,33,41,32,23,30,21,21,22,19,NaN
201610,4449,62,46,39,39,32,19,28,26,30,29,24,41,18,NaN
201611,5530,59,51,38,46,32,29,34,28,27,40,27,41,20,NaN
201612,5553,65,45,35,23,32,22,23,31,23,23,32,32,10,NaN
201701,4009,50,33,24,20,14,18,12,22,22,20,15,29,16,NaN
201702,2460,41,26,20,12,12,13,21,29,16,14,22,15,6,NaN
201703,2937,29,15,24,13,10,6,10,12,5,15,15,15,9,NaN
201704,2313,31,19,13,11,9,9,14,18,11,12,13,14,6,NaN
201705,1631,16,15,15,12,15,10,12,7,9,7,12,12,6,NaN
201706,1239,21,16,11,15,10,13,13,5,12,15,12,4,6,NaN
201707,451,11,8,6,12,7,10,15,5,5,9,3,4,7,NaN
201708,615,22,16,8,9,5,7,9,5,8,6,6,7,3,NaN
201709,815,13,12,6,7,9,12,11,8,4,6,9,6,7,NaN
201710,225,14,10,12,15,4,8,4,6,7,6,9,10,2,NaN
201711,73,9,10,15,12,7,9,10,7,9,9,7,8,5,NaN
201712,56,14,8,7,7,5,3,4,3,9,6,8,7,3,NaN
201801,31,11,9,2,3,4,10,2,6,1,8,2,6,5,NaN
201802,44,4,6,2,5,4,2,2,2,7,4,5,6,4,NaN
201803,15,10,8,7,5,2,3,2,5,5,3,1,5,3,NaN
201804,17,8,4,2,0,4,3,1,0,3,3,4,2,1,NaN
201805,19,5,2,1,2,4,3,4,0,3,3,4,1,1,NaN
201806,16,8,4,3,3,4,5,7,3,6,5,3,0,1,NaN
201807,-3,7,4,5,5,5,4,0,1,0,2,1,2,2,NaN
201808,-1,4,6,4,0,0,1,2,0,4,1,2,4,2,NaN
201809,11,6,8,0,3,0,2,3,0,1,3,0,4,2,NaN
201810,29,6,1,4,4,1,2,4,3,1,0,1,3,1,NaN
201811,4,0,1,3,0,0,3,0,2,1,2,1,0,3,NaN
