period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,103434,858,1174,1045,989,1231,1300,1206,1591,1749,1770,1907,2038,1063,NaN
201502,111820,992,1133,913,1115,1171,1119,1422,1605,1580,1774,1833,1861,1020,NaN
201503,115627,933,1048,941,1010,996,1186,1440,1375,1489,1710,1686,1679,828,NaN
201504,104821,828,1096,903,851,965,1161,1173,1225,1352,1331,1490,1470,657,NaN
201505,109739,918,1043,837,938,923,1099,1108,1171,1108,1220,1220,1172,615,NaN
201506,123148,901,963,1010,955,955,1000,1074,1033,1109,1025,967,1052,464,NaN
201507,117969,767,1012,889,832,945,939,934,923,936,800,862,891,506,NaN
201508,104531,873,1097,857,854,928,981,968,966,845,848,798,856,452,NaN
201509,129362,1028,1178,1043,1003,1048,1087,969,938,902,803,878,954,481,NaN
201510,137473,912,1178,1114,1052,1021,990,918,894,845,826,957,933,511,NaN
201511,131029,1025,1232,1103,1119,1033,951,927,893,876,951,977,994,502,NaN
201512,107378,839,1161,964,912,855,804,745,760,869,811,823,862,450,NaN
201601,111920,800,1032,832,747,726,675,703,709,742,697,755,795,331,NaN
201602,133784,952,1011,862,725,655,697,755,687,759,689,766,770,386,NaN
201603,132199,855,931,781,673,615,750,738,716,711,766,721,757,273,NaN
201604,127341,808,948,655,675,693,669,706,693,664,633,719,578,351,NaN
201605,120266,760,880,709,719,732,755,696,774,703,759,557,700,302,NaN
201606,132413,734,847,768,705,704,724,727,655,688,562,634,606,253,NaN
201607,111023,705,892,660,646,613,697,568,634,535,510,562,511,255,NaN
201608,111960,803,926,714,643,661,613,623,484,537,575,510,540,219,NaN
201609,132345,877,1002,760,712,638,689,574,582,524,525,508,551,327,NaN
201610,138258,819,879,814,730,752,563,600,557,500,503,554,624,329,NaN
201611,142455,930,1001,774,776,610,677,555,527,541,573,622,656,294,NaN
201612,115293,815,866,759,555,543,551,474,478,501,586,582,494,321,NaN
201701,114666,733,927,517,527,505,455,461,483,511,520,435,566,239,NaN
201702,121038,894,750,635,568,469,480,509,512,624,466,631,474,278,NaN
201703,141645,675,806,591,496,527,542,568,584,442,588,535,539,279,NaN
201704,117323,752,819,546,559,550,571,603,507,600,489,487,506,258,NaN
201705,140090,702,815,660,594,574,664,509,627,525,496,471,538,272,NaN
201706,141948,787,831,637,626,588,523,632,497,514,503,545,503,257,NaN
201707,116757,690,793,646,579,463,557,474,444,499,451,466,436,208,NaN
201708,113929,723,902,648,514,530,505,510,449,461,453,459,446,217,NaN
201709,133586,841,990,654,660,552,524,487,504,515,488,428,480,309,NaN
201710,143929,924,915,809,614,602,531,545,541,504,513,514,652,257,NaN
201711,144174,828,1152,745,689,593,661,574,576,531,528,650,632,273,NaN
201712,114224,847,959,693,636,587,552,520,484,529,595,573,496,343,NaN
201801,132112,801,914,721,583,522,487,490,507,544,507,484,601,259,NaN
201802,127126,875,981,681,618,585,519,503,584,541,496,647,529,276,NaN
201803,139635,813,964,671,584,560,600,623,534,508,624,541,567,265,NaN
201804,131713,892,886,713,637,602,684,589,509,646,564,569,519,323,NaN
201805,136703,778,978,729,690,721,645,609,696,590,591,539,599,273,NaN
201806,140726,920,970,782,820,688,565,647,627,591,584,607,589,311,NaN
201807,129845,848,885,876,691,584,722,598,561,549,575,494,590,311,NaN
201808,121968,786,973,762,554,693,569,581,497,569,463,550,554,296,NaN
201809,144875,970,999,694,797,665,579,480,606,490,553,535,585,323,NaN
201810,157218,1002,932,863,675,625,577,589,499,547,542,563,674,291,NaN
201811,167475,915,1063,698,641,552,541,507,526,460,512,596,598,281,NaN
201812,118887,878,896,656,515,511,443,450,436,450,433,438,453,270,NaN
201901,144609,758,828,568,551,427,405,436,390,422,428,383,478,222,60111
201902,133124,742,800,641,529,479,404,426,482,474,471,503,434,193,59405
201903,142622,804,850,544,520,508,481,475,415,420,502,441,407,186,69171
201904,137846,900,749,644,560,510,508,455,381,518,468,413,375,246,59112
201905,148374,732,810,591,522,564,461,436,521,458,402,322,453,257,59497
201906,138814,828,822,651,633,493,407,477,481,366,315,477,486,287,56735
201907,134661,848,816,645,474,440,496,411,366,291,382,458,459,253,64250
201908,121703,809,847,603,452,473,442,391,279,386,399,423,495,264,53041
201909,145778,836,831,599,599,471,391,308,431,420,434,483,467,251,64327
201910,170493,902,868,753,541,449,327,456,456,443,461,435,497,289,186716
201911,159984,795,923,627,480,342,431,419,430,472,446,527,460,286,179738
201912,119055,810,729,500,375,429,441,403,471,408,441,475,445,230,137423
202001,150397,760,656,348,406,443,398,426,380,401,422,413,407,210,163114
202002,146089,650,534,470,426,420,444,391,359,406,392,365,388,228,164051
