period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,45629,361,344,204,162,165,161,132,128,135,128,148,158,114,NaN
201502,37309,352,324,200,174,137,127,141,145,129,130,156,178,90,NaN
201503,43828,293,249,196,147,140,150,131,128,134,142,162,171,68,NaN
201504,40851,259,257,196,150,142,161,137,139,140,141,144,146,69,NaN
201505,48034,273,292,177,177,179,143,154,149,156,136,146,158,71,NaN
201506,58604,290,327,237,223,185,182,184,152,167,172,157,173,110,NaN
201507,62941,330,431,218,234,188,196,201,182,172,156,190,171,90,NaN
201508,68452,411,426,275,254,224,261,196,214,177,191,157,181,112,NaN
201509,77648,428,466,249,246,240,228,194,198,209,180,206,221,94,NaN
201510,81613,407,405,274,254,242,184,203,160,164,157,180,170,102,NaN
201511,77191,412,475,340,298,247,228,221,191,200,204,201,236,122,NaN
201512,65535,412,469,332,277,252,218,181,170,193,183,205,211,145,NaN
201601,70905,440,475,347,297,283,207,211,215,196,204,192,222,131,NaN
201602,73026,468,465,261,258,201,198,217,161,195,179,215,219,114,NaN
201603,81174,412,389,257,234,189,218,179,201,181,199,181,193,88,NaN
201604,72340,360,366,249,193,208,167,196,176,171,181,199,162,97,NaN
201605,57450,365,332,248,223,164,210,194,183,186,189,145,163,95,NaN
201606,61308,320,362,305,230,244,217,206,200,208,151,181,161,112,NaN
201607,80567,374,443,313,264,234,216,227,193,165,191,200,199,90,NaN
201608,78554,434,442,319,270,259,223,216,173,197,184,206,190,109,NaN
201609,95332,454,434,315,268,243,254,192,219,193,165,188,221,141,NaN
201610,87396,489,459,346,266,269,187,230,201,163,197,179,224,129,NaN
201611,95694,443,506,344,326,210,241,206,210,183,214,196,233,107,NaN
201612,84076,538,490,372,229,249,206,205,209,197,190,204,195,151,NaN
201701,80174,593,510,251,249,239,194,189,224,202,194,168,262,99,NaN
201702,92295,647,416,321,251,214,213,208,185,228,169,234,227,116,NaN
201703,96448,493,445,283,228,197,231,213,207,162,218,207,202,114,NaN
201704,85514,580,422,284,257,238,219,211,185,217,204,182,234,97,NaN
201705,103384,508,419,287,269,241,249,168,232,186,202,207,219,86,NaN
201706,97793,451,504,325,280,233,218,279,235,198,215,226,238,125,NaN
201707,92526,517,501,307,348,224,276,252,257,199,223,238,227,105,NaN
201708,101237,584,543,359,239,277,232,254,232,257,208,180,207,115,NaN
201709,127672,606,555,320,341,275,314,248,255,217,222,209,233,150,NaN
201710,130279,640,547,449,356,336,278,289,280,247,257,251,327,147,NaN
201711,138781,524,651,401,372,294,290,273,259,234,234,283,239,135,NaN
201712,103526,698,576,408,320,279,267,236,251,254,255,285,226,165,NaN
201801,122002,705,539,380,285,283,226,248,228,233,235,210,272,120,NaN
201802,106478,642,555,361,306,281,242,222,263,262,219,261,249,130,NaN
201803,110938,579,528,315,281,247,259,250,262,204,256,227,241,130,NaN
201804,105971,562,427,322,269,232,282,244,196,254,251,247,207,126,NaN
201805,107012,539,512,349,299,282,242,219,248,263,214,246,242,130,NaN
201806,105232,527,502,303,281,262,210,226,209,213,194,243,230,124,NaN
201807,107132,497,442,333,313,228,294,262,263,231,222,230,234,98,NaN
201808,122956,494,491,344,253,284,250,236,221,203,190,228,225,118,NaN
201809,117711,572,528,303,377,275,265,275,254,212,256,247,233,144,NaN
201810,135395,598,484,457,330,345,272,292,216,259,225,259,308,155,NaN
201811,133392,482,591,370,314,333,267,261,269,232,243,265,264,132,NaN
201812,94786,617,573,384,326,319,268,293,244,259,259,248,209,144,NaN
201901,110727,580,499,342,283,227,256,229,231,205,199,225,227,115,3015
201902,101030,590,503,325,257,256,213,225,237,201,203,225,208,113,2494
201903,96807,595,475,285,248,235,194,231,206,207,194,188,165,81,6011
201904,97021,567,428,323,258,223,221,213,199,230,217,174,120,90,1696
201905,100911,536,455,314,288,277,214,191,258,218,185,130,173,103,3621
201906,101585,551,449,306,323,270,214,250,232,199,128,171,187,100,4283
201907,102895,555,452,346,258,256,288,257,253,174,191,218,231,138,3836
201908,98375,573,515,316,260,278,259,251,162,185,219,201,243,139,4395
201909,114582,616,542,330,307,287,239,179,180,250,235,265,270,177,3952
201910,130489,591,486,369,316,269,176,235,237,252,284,257,331,176,144991
