period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,4015,9,21,7,4,7,7,7,4,5,5,7,8,0,NaN
201502,3608,10,10,4,6,4,6,1,7,4,5,4,4,2,NaN
201503,2724,8,4,7,4,5,4,6,9,3,6,4,5,1,NaN
201504,2297,5,7,3,4,5,2,2,4,3,1,5,6,1,NaN
201505,2157,15,5,3,5,4,6,5,6,6,4,2,4,0,NaN
201506,2903,5,6,5,7,2,7,4,2,4,3,3,3,2,NaN
201507,3115,6,7,8,7,6,0,3,4,3,0,2,3,1,NaN
201508,3195,11,10,11,12,8,8,4,10,2,9,3,4,2,NaN
201509,4224,10,15,13,12,6,11,10,5,7,5,3,6,4,NaN
201510,5731,14,15,16,14,6,13,3,4,10,4,5,6,4,NaN
201511,6045,7,20,17,8,3,4,6,17,7,8,8,5,5,NaN
201512,4701,19,18,18,6,9,9,12,6,10,1,9,5,8,NaN
201601,5234,15,15,15,7,8,6,8,4,8,5,5,7,6,NaN
201602,5128,13,17,9,6,2,4,4,6,7,6,7,5,2,NaN
201603,4452,11,11,5,7,1,6,9,7,6,8,9,5,4,NaN
201604,3465,11,9,3,4,2,5,5,4,5,4,6,8,3,NaN
201605,2879,6,6,6,5,9,3,10,6,10,6,5,1,4,NaN
201606,3248,12,5,9,6,9,7,6,4,4,3,2,6,4,NaN
201607,4063,9,9,7,9,4,6,7,14,7,5,2,5,5,NaN
201608,4639,11,10,10,5,7,9,8,3,3,6,2,5,1,NaN
201609,4375,16,11,4,8,7,16,2,5,1,3,5,11,5,NaN
201610,6454,20,16,6,8,2,10,9,7,4,5,3,4,5,NaN
201611,6230,14,23,13,12,7,2,6,5,6,8,6,10,2,NaN
201612,4140,14,9,11,5,9,4,6,7,4,8,11,10,6,NaN
201701,5508,16,15,6,12,7,8,5,4,2,10,4,8,8,NaN
201702,3892,16,4,9,4,4,9,4,8,2,5,8,8,4,NaN
201703,3766,8,10,4,4,6,5,4,11,3,9,5,5,1,NaN
201704,3161,6,9,4,3,6,10,6,3,4,4,6,4,0,NaN
201705,2197,10,10,2,4,5,5,6,5,2,3,6,3,1,NaN
201706,3166,6,7,8,9,10,2,7,5,4,3,0,3,3,NaN
201707,3073,15,6,10,4,6,5,4,4,3,4,3,3,2,NaN
201708,3705,10,18,10,3,19,9,5,12,8,3,6,3,0,NaN
201709,4293,15,24,15,9,18,10,9,5,13,5,7,8,3,NaN
201710,4924,10,14,13,16,12,10,3,13,4,6,5,8,6,NaN
201711,5074,13,26,14,12,9,10,5,3,3,7,7,11,4,NaN
