period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,10719,46,61,24,12,18,21,13,23,24,31,17,29,17,NaN
201502,9230,35,28,17,18,17,12,17,16,16,18,25,26,10,NaN
201503,6695,27,23,13,8,15,7,21,17,19,16,18,16,5,NaN
201504,4201,25,18,20,15,20,12,18,7,17,11,20,15,11,NaN
201505,4242,29,19,12,21,15,12,21,11,26,25,14,20,9,NaN
201506,4778,18,21,14,24,20,22,15,26,16,24,21,14,6,NaN
201507,6100,16,37,38,19,20,14,19,27,21,14,22,27,11,NaN
201508,8474,28,63,46,39,32,30,33,17,24,27,21,35,24,NaN
201509,25763,68,113,75,68,58,48,67,42,42,48,39,53,47,NaN
201510,36945,147,179,106,90,89,58,51,57,44,62,75,79,46,NaN
201511,33646,145,181,142,119,83,67,59,60,63,84,80,107,50,NaN
201512,30174,138,167,126,91,64,69,62,80,116,106,123,116,85,NaN
201601,27203,163,188,103,84,81,98,128,100,116,129,120,134,50,NaN
201602,20559,139,117,73,65,60,96,62,84,94,96,69,102,45,NaN
201603,12968,100,94,58,61,63,65,84,52,63,69,64,67,22,NaN
201604,11065,72,93,64,91,74,67,74,49,66,47,77,56,29,NaN
201605,8794,78,91,76,75,86,69,88,75,48,65,49,56,33,NaN
201606,11896,69,89,76,85,87,81,66,66,41,45,54,64,37,NaN
201607,11219,56,115,93,76,57,73,46,61,56,56,75,73,48,NaN
201608,18852,80,147,113,90,85,82,93,67,86,71,79,121,51,NaN
201609,39806,175,274,187,156,118,156,118,154,159,155,184,212,136,NaN
201610,52564,270,348,292,225,228,175,210,212,218,208,284,318,178,NaN
201611,68304,315,434,275,331,223,218,179,176,191,229,324,286,120,NaN
201612,53785,339,402,359,220,242,168,189,181,214,224,262,223,134,NaN
201701,44599,314,325,191,178,164,133,148,167,216,192,179,217,82,NaN
201702,32260,258,213,149,119,106,149,140,157,170,154,156,137,68,NaN
201703,29580,130,181,125,119,114,115,135,143,128,141,112,121,56,NaN
201704,19755,150,175,124,109,111,134,133,102,137,98,113,102,28,NaN
201705,20284,141,123,124,105,116,114,96,100,109,101,93,70,39,NaN
201706,21454,117,178,170,143,137,115,137,121,118,97,102,119,39,NaN
201707,23228,138,211,175,139,120,149,125,97,101,88,126,111,54,NaN
201708,33195,197,340,237,180,209,160,153,130,153,172,131,107,79,NaN
201709,67379,294,427,260,273,238,223,177,154,184,131,132,178,146,NaN
201710,83131,377,492,402,313,270,216,240,248,207,170,221,288,161,NaN
201711,98737,459,641,360,301,238,243,220,162,157,211,251,315,109,NaN
201712,70559,480,482,337,259,209,220,159,156,185,251,244,225,131,NaN
201801,60032,420,348,216,160,141,134,109,141,167,202,182,186,92,NaN
201802,45286,324,279,204,159,117,95,134,149,208,161,188,171,81,NaN
201803,41785,258,241,133,115,88,111,116,128,124,149,135,113,69,NaN
201804,27630,187,150,112,86,105,112,115,106,119,98,86,96,46,NaN
201805,23948,170,174,86,104,95,104,99,92,100,95,70,87,32,NaN
201806,25387,169,162,111,127,104,75,102,90,87,55,64,61,37,NaN
201807,25322,141,186,177,124,89,117,88,65,50,71,64,82,41,NaN
201808,35318,176,284,201,134,132,114,87,91,84,87,94,86,54,NaN
201809,78116,360,371,223,218,189,155,131,147,117,133,107,160,109,NaN
201810,98692,453,517,407,285,244,228,233,155,128,143,211,296,158,NaN
201811,121997,457,521,322,252,180,198,157,161,107,144,208,235,110,NaN
201812,74483,423,384,245,158,151,129,121,106,132,166,176,164,80,NaN
201901,77308,348,309,169,134,106,105,87,116,109,119,138,123,48,6885
201902,47533,283,253,132,95,89,60,77,89,107,79,104,106,44,9122
201903,35861,223,180,109,62,57,63,71,84,73,75,82,70,21,2340
201904,27723,186,134,90,54,64,70,66,82,92,67,71,34,28,2787
201905,23177,143,125,67,60,84,67,62,74,59,55,42,36,16,2709
201906,25068,132,144,78,100,82,55,77,64,52,42,33,44,19,861
201907,27548,151,143,111,101,80,82,76,54,37,40,49,46,24,1159
201908,38833,186,215,125,117,99,89,60,45,60,50,51,36,27,1040
201909,80381,330,344,202,165,136,95,58,71,58,76,69,73,50,2951
201910,99170,416,428,314,236,107,71,87,92,93,101,98,136,91,114548
201911,116645,373,442,283,143,91,110,117,81,116,110,157,157,106,130939
201912,88827,386,361,144,92,117,101,92,124,103,129,150,159,57,96472
202001,67981,338,187,115,99,93,84,97,92,92,109,144,118,74,86079
202002,45115,194,135,82,73,67,73,59,51,90,87,108,83,54,55070
202003,34330,120,113,64,43,56,44,62,64,63,67,69,58,28,51405
202004,20795,115,109,50,55,47,56,46,40,45,38,43,40,28,24029
202005,22097,93,103,57,54,55,49,51,61,45,69,59,46,26,20342
202006,28748,141,119,72,69,68,77,51,62,58,40,42,41,31,33036
202007,36611,149,135,86,88,61,65,66,73,51,43,51,46,27,40236
202008,50873,176,200,140,88,85,78,74,67,65,53,60,52,39,55720
202009,88979,246,270,187,158,121,126,95,94,87,95,76,109,68,105794
202010,113935,289,374,223,202,187,161,138,99,123,98,132,160,105,137143
202011,108711,305,393,258,203,168,139,135,116,87,135,144,144,96,169617
202012,83117,286,368,229,179,146,104,118,79,101,132,139,140,71,97616
202101,68431,278,311,168,135,85,104,66,66,89,95,105,97,50,88881
202102,61226,250,216,135,111,79,52,76,94,78,88,100,103,42,90261
202103,59208,196,166,122,72,69,70,72,84,66,75,93,84,48,87870
202104,38457,190,131,100,72,69,78,77,65,62,66,65,60,41,54364
202105,31572,165,148,61,86,73,67,56,68,61,58,45,44,26,41686
202106,32556,152,134,92,94,93,62,80,66,58,67,62,44,20,39242
202107,35761,150,143,113,85,72,61,74,68,70,47,51,48,31,35851
202108,57860,179,226,151,111,116,102,116,82,85,63,55,50,44,57591
202109,102577,250,286,184,125,144,130,111,121,77,77,65,104,67,99107
202110,123100,281,387,283,207,216,154,156,111,95,75,125,204,124,135879
202111,132238,306,345,236,174,152,138,122,101,77,139,153,206,109,155704
202112,91067,264,276,204,147,117,92,90,73,97,121,156,159,90,110154
202201,70138,224,249,129,94,65,73,45,77,107,117,106,102,60,95196
202202,54221,175,144,96,66,61,50,63,72,80,84,84,62,41,75129
202203,37434,142,108,70,55,54,59,57,77,78,68,63,73,18,62575
202204,34831,124,92,64,40,51,53,54,59,64,52,71,48,31,46360
202205,23802,91,73,36,68,60,47,50,40,49,49,47,45,30,37838
202206,20072,75,77,42,59,61,51,62,47,44,31,41,36,19,24686
202207,21192,80,97,79,80,59,72,54,38,26,50,33,34,17,31245
202208,34832,109,148,98,84,69,62,63,57,64,43,42,50,37,37133
202209,63487,130,164,115,111,76,96,51,67,67,57,56,58,38,71740
202210,77066,191,221,160,129,116,98,97,81,65,65,75,117,0,91296
202211,72792,196,214,136,142,75,91,81,68,53,77,75,0,0,88736
202212,42271,179,188,147,70,68,83,50,60,78,65,0,0,0,51869
202301,39989,154,157,64,77,48,37,43,46,61,0,0,0,0,48311
202302,34148,149,78,74,45,39,32,36,45,0,0,0,0,0,41565
202303,31420,88,97,54,36,34,39,43,0,0,0,0,0,0,35161
202304,20710,106,72,38,33,30,40,0,0,0,0,0,0,0,28147
202305,21907,86,67,45,44,51,0,0,0,0,0,0,0,0,24725
