period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201603,84,2,1,2,0,0,0,0,0,2,0,0,0,0,NaN
201604,612,2,1,0,0,0,0,3,0,1,0,0,0,0,NaN
201605,490,1,0,0,1,0,1,0,0,0,1,0,0,0,NaN
201606,497,2,1,0,1,1,1,0,0,2,1,0,0,0,NaN
201607,468,2,0,0,3,1,1,2,6,0,1,2,0,0,NaN
201608,673,1,1,2,2,0,0,1,0,0,1,0,0,1,NaN
201609,756,3,3,0,0,0,1,0,0,0,1,0,0,0,NaN
201610,1233,2,2,2,0,0,2,0,0,0,0,1,0,1,NaN
201611,1220,1,4,1,1,0,0,0,0,0,0,0,2,0,NaN
201612,1018,0,3,0,3,1,0,0,0,0,0,0,0,0,NaN
201701,1233,3,0,1,0,0,0,0,0,1,0,1,0,0,NaN
201702,900,4,1,1,2,0,0,0,0,1,0,0,0,0,NaN
201703,998,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN
201704,875,2,1,0,1,0,0,0,0,0,1,0,1,0,NaN
201705,697,1,0,0,0,0,0,3,2,0,0,0,0,0,NaN
201706,473,0,3,0,0,0,0,0,0,0,0,0,0,0,NaN
201707,134,0,1,0,1,1,0,0,0,0,0,0,0,0,NaN
201708,256,0,0,0,0,0,0,0,1,0,1,0,0,0,NaN
201709,258,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
201710,288,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN
201711,353,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201712,333,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201801,191,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201802,211,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201803,221,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201804,227,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201807,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
201812,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
202003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
202102,0,0,1,0,1,1,0,0,0,0,0,0,0,0,NaN
202103,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NaN
202112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
