period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,26165,114,145,66,39,54,45,29,47,61,69,49,67,39,NaN
201502,21574,73,90,45,42,29,42,42,42,41,43,57,60,29,NaN
201503,17234,70,56,42,24,33,27,45,46,36,40,49,36,16,NaN
201504,11765,48,59,39,34,44,26,38,26,31,32,46,39,30,NaN
201505,10963,72,47,34,45,29,39,47,28,48,53,28,48,18,NaN
201506,12352,38,46,40,50,33,44,37,49,33,44,39,38,15,NaN
201507,14235,45,68,70,40,43,31,40,42,30,32,35,45,20,NaN
201508,18100,72,106,76,67,69,61,63,54,40,73,50,54,40,NaN
201509,42883,118,183,122,128,101,93,113,82,73,71,59,88,74,NaN
201510,61109,214,248,172,144,141,101,82,78,77,83,108,110,77,NaN
201511,55162,207,266,212,178,138,111,86,107,98,114,125,158,80,NaN
201512,50606,205,249,206,145,109,109,92,107,151,143,162,167,120,NaN
201601,44999,224,261,156,133,115,125,160,127,142,161,151,170,70,NaN
201602,40031,214,174,103,96,78,115,80,117,127,125,107,131,62,NaN
201603,29286,166,137,76,81,82,98,120,79,105,99,93,95,39,NaN
201604,23803,116,126,86,115,96,93,101,75,91,68,104,77,45,NaN
201605,18255,111,122,94,97,108,92,120,96,80,95,76,79,47,NaN
201606,23421,116,130,113,124,118,113,96,95,64,61,70,93,51,NaN
201607,24140,101,155,120,116,77,108,73,104,78,77,92,91,64,NaN
201608,36104,119,191,159,115,120,115,133,83,110,101,110,151,68,NaN
201609,57606,245,338,226,196,157,202,141,180,188,176,212,260,156,NaN
201610,79353,358,432,351,275,274,211,252,245,245,240,321,367,203,NaN
201611,96490,395,528,343,379,258,243,221,206,226,264,368,349,137,NaN
201612,72801,398,461,417,262,286,188,208,216,246,272,311,269,169,NaN
201701,66140,379,393,233,223,200,170,181,194,251,224,211,268,107,NaN
201702,48681,327,249,192,151,133,183,176,186,194,182,190,177,99,NaN
201703,48503,176,223,150,144,132,143,160,166,148,165,146,151,73,NaN
201704,31681,201,213,145,139,136,164,155,133,169,126,141,129,36,NaN
201705,31891,184,168,158,137,147,149,119,135,137,124,115,89,49,NaN
201706,36232,156,238,214,186,179,145,170,149,148,121,137,145,53,NaN
201707,35891,197,263,225,189,148,200,167,123,126,111,142,143,66,NaN
201708,50681,250,408,306,208,277,215,195,169,185,202,157,140,95,NaN
201709,90998,368,556,324,353,313,297,231,197,236,159,176,233,178,NaN
201710,110522,468,600,503,411,364,293,292,303,252,213,271,352,221,NaN
201711,127825,537,757,450,387,320,314,268,210,191,263,315,387,144,NaN
201712,90375,586,584,432,329,272,276,209,189,248,321,289,290,166,NaN
201801,85760,497,435,285,214,184,179,142,185,211,257,227,245,133,NaN
201802,64124,407,375,251,201,144,134,174,198,259,213,237,227,105,NaN
201803,57681,316,316,170,143,112,150,155,165,157,192,179,143,94,NaN
201804,42488,242,197,149,109,139,143,143,134,151,126,120,122,64,NaN
201805,36003,210,228,117,137,124,142,128,125,127,112,96,120,47,NaN
201806,38389,212,207,152,170,123,109,129,127,111,91,84,79,53,NaN
201807,38608,183,224,218,161,122,148,116,88,84,98,94,120,57,NaN
201808,52492,237,349,245,169,168,161,130,119,108,117,125,119,70,NaN
201809,96103,438,449,273,264,224,196,175,191,158,167,150,202,139,NaN
201810,124848,534,593,472,349,277,275,276,191,162,174,253,358,182,NaN
201811,147361,523,605,379,312,235,250,194,197,145,180,259,291,147,NaN
201812,92548,508,453,294,210,198,166,157,149,169,191,225,213,106,NaN
201901,96335,424,377,223,163,141,137,123,152,145,160,171,162,70,11277
201902,62051,347,295,163,120,122,85,104,119,127,109,134,135,60,11731
201903,47379,298,239,143,84,83,89,94,114,97,117,109,91,31,4546
201904,37581,229,173,111,78,91,108,93,98,118,94,91,53,44,7374
201905,33475,188,172,98,82,120,107,89,100,76,78,57,55,26,5908
201906,33183,165,193,116,131,107,74,100,85,80,59,52,55,30,2268
201907,36617,207,200,150,135,107,112,115,82,53,48,60,68,37,5621
201908,49425,233,279,173,148,125,119,96,63,83,60,65,63,44,4578
201909,93162,400,409,243,208,173,139,85,98,77,97,85,110,75,8144
201910,117445,489,494,358,280,153,102,100,111,126,131,124,178,112,143463
201911,133681,432,530,334,198,119,133,139,105,143,139,198,200,132,159305
