period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,2150,7,20,7,6,8,5,4,6,7,3,10,6,10,NaN
201502,2199,17,27,11,15,12,11,10,4,8,8,9,15,13,NaN
201503,3041,15,19,13,12,7,10,12,5,10,17,11,12,5,NaN
201504,2923,21,18,14,9,6,6,3,10,8,9,16,10,7,NaN
201505,4386,11,22,8,5,9,7,10,7,11,10,6,14,6,NaN
201506,4587,15,25,6,6,12,11,8,9,4,11,12,12,3,NaN
201507,5495,11,19,13,7,10,4,7,7,9,6,9,11,6,NaN
201508,3469,13,19,10,13,9,13,15,13,13,9,7,14,7,NaN
201509,6077,18,22,10,15,15,10,11,19,15,6,20,11,10,NaN
201510,7332,17,21,11,10,19,16,10,8,9,7,10,22,13,NaN
201511,5346,27,25,14,19,19,11,9,12,12,15,10,16,14,NaN
201512,4594,21,20,21,17,8,11,7,11,14,9,14,13,9,NaN
201601,4094,12,27,11,12,11,10,9,17,12,7,10,8,7,NaN
201602,5288,22,21,15,8,19,15,11,8,17,12,11,21,5,NaN
201603,5628,25,30,24,11,17,17,12,13,17,20,13,25,5,NaN
201604,5613,28,25,17,17,12,18,19,8,9,10,12,12,8,NaN
201605,5518,28,37,20,12,17,15,16,14,16,10,16,18,11,NaN
201606,6427,26,24,18,12,13,19,11,12,19,14,15,19,9,NaN
201607,5193,25,25,12,15,11,9,11,15,12,9,8,20,5,NaN
201608,5884,19,24,17,12,9,8,23,13,20,10,10,14,12,NaN
201609,5396,19,27,18,27,17,9,9,14,13,15,11,11,10,NaN
201610,5880,27,27,17,17,14,16,13,9,16,4,10,18,11,NaN
201611,5842,25,30,18,21,13,9,15,11,14,11,11,16,6,NaN
201612,4866,17,19,22,13,14,12,17,11,12,7,20,14,10,NaN
201701,5606,19,19,11,10,8,12,11,6,6,11,10,10,9,NaN
201702,5191,27,26,13,9,11,7,13,12,15,7,20,12,13,NaN
201703,7387,19,22,21,10,8,11,10,12,8,14,12,12,8,NaN
201704,5184,18,21,14,11,14,15,4,7,8,9,10,10,11,NaN
201705,6398,26,29,18,12,10,21,9,12,15,20,8,22,7,NaN
201706,5892,28,20,10,21,18,12,15,15,18,12,12,17,7,NaN
201707,5436,21,15,13,15,5,11,8,11,9,12,10,16,6,NaN
201708,5498,26,17,11,13,13,12,12,17,7,11,10,13,5,NaN
201709,6620,20,29,11,13,9,9,9,12,10,10,11,9,11,NaN
201710,6804,25,25,17,13,13,15,9,12,13,8,11,13,8,NaN
201711,6676,18,28,25,25,16,9,10,4,11,8,8,12,7,NaN
201712,4668,16,16,7,14,12,7,6,10,11,13,9,9,4,NaN
201801,5071,17,13,20,12,13,7,6,9,16,9,6,5,4,NaN
201802,4993,16,20,11,12,12,10,12,10,8,9,9,13,12,NaN
201803,6534,21,24,13,12,11,3,11,11,11,12,18,14,4,NaN
201804,5578,11,28,18,6,11,15,12,11,12,15,8,10,7,NaN
201805,6006,23,17,12,10,11,11,10,13,7,9,10,21,6,NaN
201806,6284,18,21,21,14,15,9,15,11,15,9,11,16,2,NaN
201807,4962,15,22,10,11,8,20,10,12,13,10,13,10,7,NaN
201808,5587,9,24,19,15,12,11,14,9,19,8,8,14,9,NaN
201809,7735,18,24,21,18,12,16,12,10,10,8,11,22,13,NaN
201810,7106,30,22,15,10,11,9,20,18,9,11,11,14,10,NaN
201811,7812,19,28,21,18,16,16,11,15,7,8,12,15,5,NaN
201812,4585,15,15,16,22,25,9,15,17,13,19,13,7,13,NaN
201901,5914,19,24,15,10,10,11,14,11,20,11,16,13,9,1438
201902,5568,18,22,32,12,12,12,20,8,9,2,18,13,7,158
201903,9485,28,53,24,16,19,17,13,14,13,9,13,15,9,4060
201904,7504,40,37,23,31,15,18,8,11,13,15,15,5,7,1890
201905,8949,39,23,36,10,20,14,19,20,15,8,13,11,5,3075
201906,7383,44,36,18,19,10,17,23,20,13,6,10,6,5,1475
201907,6843,46,25,17,8,15,14,10,16,8,14,7,9,14,677
201908,5928,18,30,22,15,19,10,10,9,12,5,4,12,5,1243
201909,7350,32,29,18,13,9,8,10,8,9,11,22,14,6,1594
201910,8082,36,28,21,13,4,12,11,13,8,14,18,8,12,8087
201911,8276,23,51,22,14,10,12,9,12,8,16,11,13,7,8116
201912,5840,26,21,14,11,18,16,14,13,18,15,19,12,9,5762
202001,7356,35,18,15,15,6,10,19,20,17,13,18,16,7,7403
202002,7082,24,30,18,14,14,23,13,12,21,16,21,12,10,7081
202003,6901,27,24,17,16,14,13,13,13,15,9,16,13,18,8284
202004,1734,29,10,9,14,14,5,19,5,6,14,12,16,6,1944
202005,3369,16,18,12,9,9,6,9,13,12,8,10,7,10,3049
202006,5281,15,36,18,16,16,14,10,8,16,17,11,15,7,4857
202007,8893,29,38,15,14,16,10,8,11,16,24,11,18,5,8280
202008,6708,24,25,29,13,13,16,18,12,14,17,19,4,8,7391
202009,10627,35,44,28,16,22,10,13,10,18,25,11,13,10,10815
202010,11293,39,41,27,24,22,27,15,20,24,22,13,18,8,10607
202011,8968,39,25,37,19,30,15,27,43,16,18,18,13,8,12453
202012,8470,33,41,32,24,14,30,21,19,9,16,15,5,5,8731
202101,5450,46,36,25,19,16,18,8,11,13,10,8,9,11,6699
202102,9443,31,32,22,19,24,12,12,13,8,8,9,13,11,11238
202103,8348,38,38,28,27,12,10,10,13,10,12,16,13,8,8577
202104,8631,32,35,37,8,16,21,19,12,11,13,8,9,7,8459
202105,6474,45,70,14,24,22,14,14,16,13,3,9,15,7,6992
202106,4818,44,36,20,18,7,22,9,16,18,10,11,10,4,6732
202107,5231,29,20,17,16,14,12,15,11,13,8,10,12,4,7000
202108,6139,25,37,30,19,9,14,13,8,6,15,11,11,10,6403
202109,6886,31,29,17,12,17,14,8,12,12,10,9,12,8,6687
202110,5914,28,24,16,14,7,12,12,11,7,2,7,10,14,7204
202111,5241,19,23,19,20,11,9,13,4,8,11,8,11,4,7811
202112,4913,17,24,19,22,13,16,12,8,5,13,16,5,7,5697
202201,5585,27,30,15,14,9,15,2,8,3,13,10,7,7,7047
202202,5901,26,28,26,23,16,11,6,9,13,7,7,14,7,7644
202203,5597,29,27,17,21,18,11,11,7,10,16,9,12,3,7555
202204,5214,24,41,30,24,15,7,7,5,8,12,17,5,4,6952
202205,5840,30,46,24,13,10,13,12,16,12,11,8,5,8,6630
202206,4789,27,26,22,16,18,7,9,7,8,8,9,5,4,6371
202207,4566,29,28,16,18,9,8,8,7,5,3,5,8,4,6479
202208,3982,25,20,30,14,12,10,9,2,5,6,9,10,2,4893
202209,5620,17,26,15,15,7,8,9,5,8,7,7,7,5,6652
202210,5531,21,25,16,7,19,10,7,5,10,6,10,12,0,6600
202211,5734,25,26,21,17,8,9,7,12,7,6,8,0,0,5871
202212,3198,26,19,21,11,14,6,10,11,3,6,0,0,0,3863
202301,3635,19,21,15,10,5,7,9,8,6,0,0,0,0,5516
202302,5161,35,12,14,8,5,5,7,6,0,0,0,0,0,4756
202303,5750,21,27,8,10,7,6,5,0,0,0,0,0,0,6275
202304,4991,18,26,17,9,3,9,0,0,0,0,0,0,0,4769
202305,4602,22,20,15,7,19,0,0,0,0,0,0,0,0,5106
202306,5357,24,20,13,19,0,0,0,0,0,0,0,0,0,5587
202307,3660,18,18,17,0,0,0,0,0,0,0,0,0,0,4265
202308,4012,18,14,0,0,0,0,0,0,0,0,0,0,0,4355
202309,4429,14,0,0,0,0,0,0,0,0,0,0,0,0,5040
202310,5794,0,0,0,0,0,0,0,0,0,0,0,0,0,5070
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4822
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3211
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4685
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3754
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4194
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5028
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5615
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5611
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5127
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5467
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5832
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6682
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7231
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4903
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3788
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4503
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5413
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4993
202505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123
