period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,912,6,4,2,4,2,1,2,2,6,3,4,3,1,NaN
201502,748,9,5,4,4,5,0,5,4,4,2,3,4,1,NaN
201503,889,9,3,3,3,2,4,1,2,2,1,4,2,0,NaN
201504,906,10,7,3,7,0,3,1,5,1,2,4,4,3,NaN
201505,1131,3,6,2,7,4,4,2,2,2,1,7,4,4,NaN
201506,946,5,7,2,5,1,1,5,4,0,6,4,4,0,NaN
201507,1216,4,2,5,2,2,3,3,0,3,5,2,0,1,NaN
201508,919,8,6,2,2,2,1,5,4,1,4,0,5,3,NaN
201509,1629,3,5,4,5,3,1,6,6,4,2,2,0,4,NaN
201510,1342,6,6,0,2,1,4,3,3,4,6,4,7,0,NaN
201511,1077,5,3,0,3,1,2,1,2,3,5,3,3,2,NaN
201512,973,3,4,2,2,4,0,3,0,0,1,5,3,4,NaN
201601,916,9,2,3,4,1,0,2,0,1,3,7,4,3,NaN
201602,957,14,5,5,2,3,3,2,1,2,1,6,4,5,NaN
201603,1213,3,5,4,1,3,3,3,2,3,3,4,2,1,NaN
201604,1173,4,8,5,5,6,5,2,2,3,1,9,3,1,NaN
201605,1305,8,6,5,5,4,2,3,9,2,4,5,6,1,NaN
201606,1725,5,4,6,3,3,4,4,7,6,3,4,4,5,NaN
201607,1212,8,6,2,5,5,7,3,5,6,5,5,3,2,NaN
201608,911,6,7,5,4,1,2,2,6,1,4,5,4,1,NaN
201609,1344,4,7,4,2,3,7,3,2,2,9,7,3,2,NaN
201610,1513,10,3,0,3,5,3,2,4,6,6,1,7,4,NaN
201611,1531,7,6,5,3,10,3,3,5,4,2,3,3,4,NaN
201612,1276,8,7,5,5,3,1,3,2,2,1,7,1,4,NaN
201701,1421,5,5,6,6,2,2,1,4,4,5,2,3,1,NaN
201702,1429,10,4,2,3,4,3,2,4,3,2,2,6,6,NaN
201703,1538,2,3,6,5,2,6,2,1,2,3,4,2,6,NaN
201704,1614,5,4,5,5,4,7,2,2,5,3,3,3,3,NaN
201705,1656,5,13,4,1,4,7,0,3,9,4,6,6,3,NaN
201706,1737,9,11,6,4,2,4,3,4,4,6,8,5,4,NaN
201707,1591,6,5,3,1,3,2,7,4,6,4,3,7,0,NaN
201708,1327,6,5,2,3,3,2,2,5,5,3,2,2,3,NaN
201709,1762,5,9,5,3,2,2,4,3,2,3,1,1,1,NaN
201710,1403,10,9,7,1,0,4,5,4,7,4,5,2,3,NaN
201711,1834,2,7,4,3,6,3,5,1,3,4,0,3,1,NaN
201712,1001,9,3,7,3,2,3,4,2,3,3,8,2,1,NaN
201801,1231,3,7,3,4,3,6,3,2,2,3,2,7,4,NaN
201802,1455,2,6,5,3,6,2,1,2,6,5,4,3,1,NaN
201803,1537,11,3,0,1,2,1,2,3,1,1,5,5,3,NaN
201804,1356,5,12,3,2,3,7,3,3,1,6,8,3,2,NaN
201805,1538,3,5,2,7,1,4,1,7,1,7,7,6,2,NaN
201806,1313,5,10,4,3,3,1,5,3,1,4,5,5,1,NaN
201807,1374,7,1,9,2,0,7,7,5,5,5,2,5,0,NaN
201808,1454,6,8,5,5,4,5,4,4,3,6,6,7,3,NaN
201809,1552,9,3,5,6,4,6,3,6,4,6,4,5,4,NaN
201810,1325,8,3,9,3,5,1,5,3,3,6,2,7,3,NaN
