period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,3062,13,24,9,10,10,6,6,8,13,6,14,9,11,NaN
201502,2947,26,32,15,19,17,11,15,8,12,10,12,19,14,NaN
201503,3930,24,22,16,15,9,14,13,7,12,18,15,14,5,NaN
201504,3829,31,25,17,16,6,9,4,15,9,11,20,14,10,NaN
201505,5517,14,28,10,12,13,11,12,9,13,11,13,18,10,NaN
201506,5533,20,32,8,11,13,12,13,13,4,17,16,16,3,NaN
201507,6711,15,21,18,9,12,7,10,7,12,11,11,11,7,NaN
201508,4388,21,25,12,15,11,14,20,17,14,13,7,19,10,NaN
201509,7706,21,27,14,20,18,11,17,25,19,8,22,11,14,NaN
201510,8674,23,27,11,12,20,20,13,11,13,13,14,29,13,NaN
201511,6423,32,28,14,22,20,13,10,14,15,20,13,19,16,NaN
201512,5567,24,24,23,19,12,11,10,11,14,10,19,16,13,NaN
201601,5010,21,29,14,16,12,10,11,17,13,10,17,12,10,NaN
201602,6245,36,26,20,10,22,18,13,9,19,13,17,25,10,NaN
201603,6841,28,35,28,12,20,20,15,15,20,23,17,27,6,NaN
201604,6786,32,33,22,22,18,23,21,10,12,11,21,15,9,NaN
201605,6823,36,43,25,17,21,17,19,23,18,14,21,24,12,NaN
201606,8152,31,28,24,15,16,23,15,19,25,17,19,23,14,NaN
201607,6405,33,31,14,20,16,16,14,20,18,14,13,23,7,NaN
201608,6795,25,31,22,16,10,10,25,19,21,14,15,18,13,NaN
201609,6740,23,34,22,29,20,16,12,16,15,24,18,14,12,NaN
201610,7393,37,30,17,20,19,19,15,13,22,10,11,25,15,NaN
201611,7373,32,36,23,24,23,12,18,16,18,13,14,19,10,NaN
201612,6142,25,26,27,18,17,13,20,13,14,8,27,15,14,NaN
201701,7027,24,24,17,16,10,14,12,10,10,16,12,13,10,NaN
201702,6620,37,30,15,12,15,10,15,16,18,9,22,18,19,NaN
201703,8925,21,25,27,15,10,17,12,13,10,17,16,14,14,NaN
201704,6798,23,25,19,16,18,22,6,9,13,12,13,13,14,NaN
201705,8054,31,42,22,13,14,28,9,15,24,24,14,28,10,NaN
201706,7629,37,31,16,25,20,16,18,19,22,18,20,22,11,NaN
201707,7027,27,20,16,16,8,13,15,15,15,16,13,23,6,NaN
201708,6825,32,22,13,16,16,14,14,22,12,14,12,15,8,NaN
201709,8382,25,38,16,16,11,11,13,15,12,13,12,10,12,NaN
201710,8207,35,34,24,14,13,19,14,16,20,12,16,15,11,NaN
201711,8510,20,35,29,28,22,12,15,5,14,12,8,15,8,NaN
201712,5669,25,19,14,17,14,10,10,12,14,16,17,11,5,NaN
201801,6302,20,20,23,16,16,13,9,11,18,12,8,12,8,NaN
201802,6448,18,26,16,15,18,12,13,12,14,14,13,16,13,NaN
201803,8071,32,27,13,13,13,4,13,14,12,13,23,19,7,NaN
201804,6934,16,40,21,8,14,22,15,14,13,21,16,13,9,NaN
201805,7544,26,22,14,17,12,15,11,20,8,16,17,27,8,NaN
201806,7597,23,31,25,17,18,10,20,14,16,13,16,21,3,NaN
201807,6336,22,23,19,13,8,27,17,17,18,15,15,15,7,NaN
201808,7041,15,32,24,20,16,16,18,13,22,14,14,21,12,NaN
201809,9287,27,27,26,24,16,22,15,16,14,14,15,27,17,NaN
201810,8431,38,25,24,13,16,10,25,21,12,17,13,21,13,NaN
201811,8665,27,31,27,20,23,18,12,19,11,9,14,15,7,NaN
201812,4853,20,19,19,25,26,11,19,19,15,20,14,8,14,NaN
201901,6004,21,27,17,12,10,13,14,12,21,11,19,15,9,1438
201902,6104,19,24,33,14,13,16,20,10,9,3,21,21,8,158
201903,9693,28,58,27,19,21,17,14,14,14,12,15,15,9,4060
