period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,145,3,1,0,0,1,0,1,1,0,0,1,2,0,NaN
201502,204,0,3,2,0,1,1,2,0,0,0,0,1,1,NaN
201503,217,1,1,2,0,0,1,0,0,0,3,2,1,1,NaN
201504,218,3,4,0,1,1,0,2,0,2,2,1,2,1,NaN
201505,325,3,0,2,1,0,0,1,2,0,4,2,4,1,NaN
201506,326,1,0,1,2,1,0,1,2,0,2,3,4,1,NaN
201507,189,1,1,2,1,1,2,1,0,4,1,2,2,0,NaN
201508,255,0,1,1,2,0,3,1,1,1,2,1,2,0,NaN
201509,296,1,2,3,1,1,2,2,0,2,2,3,3,1,NaN
201510,419,0,3,1,1,3,2,2,1,2,5,3,2,4,NaN
201511,449,0,4,1,2,1,3,1,5,6,1,2,3,0,NaN
201512,283,0,2,2,1,1,3,1,1,1,2,3,0,4,NaN
201601,282,3,1,1,4,1,1,1,4,5,1,1,1,0,NaN
201602,308,3,0,1,1,1,5,3,3,2,2,7,2,3,NaN
201603,407,2,5,1,4,1,4,1,3,2,4,3,1,0,NaN
201604,384,2,3,1,0,3,3,1,0,4,3,3,1,1,NaN
201605,480,0,5,2,1,2,2,1,1,3,3,4,3,3,NaN
201606,454,5,5,2,0,0,2,2,1,3,2,1,5,2,NaN
201607,367,3,4,3,2,5,3,5,4,2,3,4,5,0,NaN
201608,583,3,4,5,4,1,3,3,2,5,7,4,4,4,NaN
201609,552,1,3,0,3,3,1,2,3,3,3,5,2,1,NaN
201610,445,5,1,0,6,4,6,4,2,3,3,6,3,3,NaN
201611,559,2,2,3,3,1,2,2,5,1,2,7,5,4,NaN
201612,436,5,1,5,2,2,3,4,4,3,3,5,7,1,NaN
201701,298,2,4,4,6,1,0,1,3,2,1,2,0,2,NaN
201702,607,1,1,2,1,1,3,2,3,1,1,2,6,0,NaN
201703,489,0,5,2,0,0,0,3,1,3,1,3,2,5,NaN
201704,297,2,2,2,0,1,3,2,0,0,2,2,0,2,NaN
201705,418,5,6,3,1,1,2,2,2,0,1,1,5,1,NaN
201706,464,1,3,2,1,1,1,3,4,3,2,2,1,2,NaN
201707,362,1,0,3,1,2,3,2,5,2,4,1,1,1,NaN
201708,442,0,1,2,3,2,3,3,1,0,1,1,1,1,NaN
201709,226,3,3,2,1,0,3,3,1,0,4,3,1,1,NaN
201710,229,0,0,5,3,0,3,6,2,3,0,0,1,2,NaN
201711,562,1,7,2,9,1,2,4,1,2,3,3,4,2,NaN
201712,327,3,3,4,1,2,3,2,0,1,4,4,6,1,NaN
201801,208,1,5,1,0,2,2,1,2,2,3,2,4,2,NaN
201802,534,1,5,3,1,0,0,0,2,2,1,5,5,0,NaN
201803,348,2,2,6,0,0,2,1,1,3,5,1,2,2,NaN
201804,366,0,0,1,1,0,1,1,4,2,0,0,1,3,NaN
201805,381,0,2,2,1,3,1,3,4,4,2,2,7,2,NaN
201806,359,2,1,1,6,5,1,4,3,3,1,2,2,1,NaN
201807,313,0,2,2,3,3,4,1,3,2,1,1,2,2,NaN
201808,437,3,2,1,2,6,0,2,2,3,1,3,2,3,NaN
201809,306,3,3,3,3,1,2,2,4,2,1,2,0,1,NaN
201810,236,1,4,1,1,1,1,1,1,1,2,1,0,1,NaN
201811,190,2,2,1,3,5,0,1,1,2,0,6,1,2,NaN
201812,73,0,2,1,1,2,2,3,1,2,4,0,0,1,NaN
201901,23,1,3,0,0,1,1,2,0,4,3,1,0,1,NaN
201902,14,1,0,0,0,0,2,0,2,0,0,1,0,0,NaN
201903,3,0,0,1,0,5,1,0,0,1,3,3,2,0,NaN
201904,2,1,1,0,0,0,1,2,1,0,0,0,1,1,NaN
201905,2,0,1,0,0,0,0,1,1,0,1,0,0,0,NaN
201906,1,1,0,0,0,1,0,2,1,2,0,1,1,0,NaN
201907,3,4,0,1,0,2,1,1,0,0,0,0,0,0,NaN
201908,7,0,0,0,0,0,2,0,0,1,0,0,0,0,NaN
201909,0,1,1,0,1,0,0,0,0,0,0,0,1,1,NaN
201910,1,1,1,0,1,0,0,0,0,1,0,2,0,0,8
201911,3,0,0,1,0,0,0,0,0,1,0,0,2,0,NaN
201912,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,NaN
202001,2,1,0,1,1,0,1,0,0,0,0,0,0,0,NaN
202002,5,1,2,0,0,0,0,0,0,0,0,0,0,0,NaN
202003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
