period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,2145,16,16,9,3,5,9,4,14,12,9,4,12,8,NaN
201502,2621,11,19,15,10,9,8,12,9,6,9,8,12,6,NaN
201503,3247,13,18,11,5,9,12,11,13,11,12,16,14,6,NaN
201504,3139,12,28,16,14,10,6,8,10,18,13,9,23,11,NaN
201505,3526,21,20,7,13,12,11,12,17,13,19,25,22,13,NaN
201506,3796,16,23,14,17,12,19,14,12,17,22,17,23,14,NaN
201507,4030,16,17,18,8,8,16,14,6,20,10,19,28,19,NaN
201508,2795,12,19,14,11,7,18,16,17,9,16,16,21,11,NaN
201509,5049,21,31,13,6,21,17,14,13,21,29,22,22,21,NaN
201510,4176,6,20,11,9,23,14,17,5,20,24,29,25,23,NaN
201511,4328,12,33,20,16,12,19,21,27,19,25,35,48,24,NaN
201512,2305,18,28,16,18,17,15,14,10,16,24,25,28,21,NaN
201601,2648,15,16,27,19,13,16,18,25,21,26,17,27,15,NaN
201602,3303,17,26,16,13,9,18,15,19,28,15,31,29,22,NaN
201603,3843,22,31,25,26,12,13,13,20,23,19,22,26,12,NaN
201604,3650,20,23,13,17,18,18,18,29,23,17,30,17,20,NaN
201605,3961,18,27,17,8,20,19,21,28,24,15,21,21,19,NaN
201606,4299,26,24,12,10,15,23,14,16,17,16,21,37,20,NaN
201607,3648,26,31,19,22,25,20,24,30,29,15,26,35,24,NaN
201608,4031,22,18,13,17,11,19,28,18,18,28,30,28,21,NaN
201609,3994,19,31,16,25,17,29,16,22,17,24,32,22,21,NaN
201610,3718,30,22,20,26,25,23,16,19,19,21,20,34,28,NaN
201611,4024,20,27,29,24,15,15,14,24,25,26,39,51,25,NaN
201612,2669,21,21,25,13,12,18,23,19,14,27,24,34,22,NaN
201701,3370,15,20,14,15,10,10,19,11,15,22,14,12,16,NaN
201702,3650,21,16,16,9,17,16,12,27,19,16,25,23,12,NaN
201703,3995,10,24,15,8,7,8,19,20,18,25,16,21,17,NaN
201704,3215,16,19,10,5,8,10,20,14,13,13,17,21,12,NaN
201705,4757,18,24,19,11,21,23,17,18,17,19,17,33,10,NaN
201706,4665,13,24,16,19,20,9,17,27,23,14,21,19,16,NaN
201707,3414,12,16,16,7,11,24,13,23,13,10,24,18,12,NaN
201708,3741,15,23,21,15,17,21,19,20,16,19,18,25,11,NaN
201709,3838,28,30,19,16,8,20,26,15,11,19,20,16,22,NaN
201710,4148,20,20,34,14,23,19,21,23,16,19,21,28,20,NaN
201711,4442,12,24,29,27,19,30,21,16,18,23,23,28,17,NaN
201712,2149,21,19,20,10,12,23,17,10,12,27,34,26,26,NaN
201801,2707,17,27,14,14,16,17,9,12,10,12,22,21,16,NaN
201802,3355,26,30,16,13,9,10,17,11,16,11,26,25,8,NaN
201803,4427,22,17,20,9,11,9,15,16,22,19,11,24,12,NaN
201804,3376,8,15,13,16,8,12,19,23,17,19,11,17,14,NaN
201805,3585,11,19,10,13,16,21,17,23,18,24,19,30,11,NaN
