period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,95,1,3,0,0,0,0,1,0,1,1,0,1,0,NaN
201502,233,1,2,2,1,0,0,0,0,1,0,1,3,0,NaN
201503,129,0,2,1,0,2,0,0,3,1,1,1,3,0,NaN
201504,167,3,2,0,1,1,0,1,1,0,0,1,1,1,NaN
201505,143,1,1,0,0,0,0,0,1,1,0,0,1,0,NaN
201506,152,2,0,1,1,1,0,1,0,0,0,0,1,0,NaN
201507,109,1,1,0,2,0,0,0,0,0,0,0,0,1,NaN
201508,196,2,2,4,1,2,0,2,1,4,0,1,0,0,NaN
201509,377,2,1,2,2,2,1,2,2,1,2,2,3,0,NaN
201510,335,1,0,1,3,1,1,1,1,3,0,0,6,0,NaN
201511,101,0,0,0,0,0,0,0,0,0,1,0,1,1,NaN
201512,34,0,0,1,0,0,0,0,0,0,1,1,0,0,NaN
201601,3,0,0,0,0,0,0,1,0,0,0,0,1,0,NaN
201602,2,0,1,0,0,0,0,0,0,0,1,0,1,0,NaN
201603,1,0,0,1,0,0,0,0,0,0,0,0,0,1,NaN
201604,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201605,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201606,1,0,0,0,0,0,0,0,0,1,0,1,0,0,NaN
201607,4,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201608,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN
201609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201610,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN
201611,3,0,0,1,0,0,0,1,0,0,0,0,0,0,NaN
201612,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN
201701,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201703,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201706,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NaN
201707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201812,0,1,0,0,0,0,0,0,0,0,1,1,0,1,NaN
201903,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
202006,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NaN
202008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202009,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NaN
202011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202104,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NaN
202106,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NaN
202108,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NaN
202110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202112,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NaN
202201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
202204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
