period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,128,1,3,0,0,0,1,2,0,2,1,0,0,3,NaN
201502,208,4,0,1,1,0,1,3,1,0,3,2,1,2,NaN
201503,137,5,4,0,0,2,0,2,1,0,0,2,0,0,NaN
201504,128,2,3,1,0,1,2,1,0,0,1,0,1,3,NaN
201505,235,1,1,1,2,1,0,0,0,1,2,1,1,1,NaN
201506,139,0,2,3,0,0,0,1,1,2,0,1,1,0,NaN
201507,199,1,3,1,2,3,1,0,1,0,0,0,0,1,NaN
201508,230,3,2,2,1,1,1,0,0,1,0,1,1,1,NaN
201509,93,3,0,0,1,1,0,1,2,0,0,1,2,0,NaN
201510,100,0,1,0,2,0,0,0,0,0,0,0,0,0,NaN
201511,158,2,0,0,0,1,0,0,0,0,2,1,1,0,NaN
201512,89,0,5,1,0,0,1,1,0,1,3,2,0,0,NaN
201601,224,0,3,0,0,2,1,1,2,1,0,1,3,1,NaN
201602,121,2,0,0,0,1,0,1,0,0,1,1,0,2,NaN
201603,106,3,1,2,2,1,0,2,1,0,1,1,1,0,NaN
201604,184,2,1,1,3,2,1,5,0,1,0,1,0,0,NaN
201605,107,1,0,3,1,2,1,0,1,2,1,3,0,0,NaN
201606,212,1,1,2,3,1,1,1,3,2,1,0,2,0,NaN
201607,234,3,4,3,4,0,1,2,3,0,0,0,0,2,NaN
201608,147,2,0,4,1,1,0,0,1,0,3,2,1,0,NaN
201609,163,3,2,2,3,2,4,0,0,2,2,1,2,1,NaN
201610,148,0,3,4,2,1,1,0,1,0,1,3,1,0,NaN
201611,228,3,0,1,0,1,4,0,1,0,2,2,0,0,NaN
201612,166,2,0,0,3,0,0,1,2,0,2,2,3,0,NaN
201701,164,3,1,1,2,1,1,1,1,3,3,0,2,2,NaN
201702,240,1,3,0,2,2,0,1,0,0,1,2,3,0,NaN
201703,191,2,3,2,1,4,0,3,3,0,2,1,1,1,NaN
201704,199,1,3,1,0,0,0,0,1,1,1,3,1,1,NaN
201705,97,1,0,0,0,1,0,1,1,0,0,1,0,0,NaN
201706,202,3,1,1,0,0,0,0,0,0,0,1,2,1,NaN
201707,171,1,1,0,0,0,1,0,0,0,1,0,0,0,NaN
201708,121,1,1,1,0,0,1,3,0,2,0,1,0,1,NaN
201709,184,1,1,1,1,0,0,1,1,1,0,0,1,1,NaN
201710,107,1,0,1,3,1,0,0,1,0,0,1,0,1,NaN
201711,257,0,4,1,0,0,0,2,2,0,0,0,1,0,NaN
201712,121,1,4,0,0,2,0,0,0,1,1,0,0,1,NaN
201801,145,1,1,1,2,0,3,1,0,0,0,1,1,0,NaN
201802,177,3,0,1,1,1,1,1,0,0,1,0,1,2,NaN
201803,146,2,1,0,1,0,2,1,0,0,1,0,0,0,NaN
201804,121,1,1,3,0,2,0,0,0,1,0,1,0,0,NaN
201805,174,0,0,0,1,1,1,0,1,1,0,1,0,0,NaN
201806,132,0,1,1,2,1,0,2,1,1,2,0,1,0,NaN
201807,132,1,0,1,1,0,0,0,0,1,1,1,1,0,NaN
201808,134,1,3,0,2,2,1,0,0,0,0,1,1,0,NaN
201809,166,1,0,0,1,2,0,1,1,1,0,0,0,1,NaN
201810,139,1,0,1,0,0,0,3,1,1,1,1,0,0,NaN
201811,154,1,1,0,3,1,0,0,1,3,1,2,1,0,NaN
201812,196,0,4,2,1,0,4,1,1,0,0,1,3,0,NaN
201901,93,1,2,1,0,0,3,0,0,0,2,0,1,0,NaN
201902,96,1,1,2,0,1,3,1,0,1,1,0,1,1,NaN
201903,190,3,3,0,1,1,1,1,2,0,1,3,0,0,NaN
201904,63,0,2,1,0,0,1,0,0,0,3,0,1,0,NaN
201905,225,1,5,0,0,1,1,0,0,1,1,0,0,0,NaN
201906,86,0,3,0,0,0,0,1,1,1,0,2,0,0,NaN
201907,243,0,1,1,0,0,0,2,1,1,0,0,3,1,NaN
201908,180,3,3,0,1,1,1,0,0,4,0,1,1,0,NaN
201909,429,0,4,0,1,0,0,0,3,1,0,1,1,0,NaN
201910,534,1,1,0,0,1,0,1,1,4,3,1,3,1,647
201911,355,0,1,3,2,2,0,1,1,1,1,2,2,0,600
201912,282,0,1,1,0,0,4,1,1,3,1,0,2,0,340
202001,439,2,1,1,0,2,1,0,0,1,2,1,1,0,513
202002,409,1,0,2,0,2,1,2,0,1,2,3,3,1,669
202003,369,3,0,1,0,0,3,3,1,4,2,0,0,0,1181
202004,379,4,0,1,2,0,1,4,1,1,2,3,0,0,254
202005,370,1,0,1,3,0,0,1,3,0,1,1,1,0,362
202006,505,2,3,4,1,1,2,2,3,0,3,1,0,2,392
202007,564,3,3,3,1,3,1,0,0,0,4,1,3,0,477
202008,488,3,4,2,1,0,1,2,1,2,0,2,2,0,529
202009,577,3,5,1,4,4,1,1,0,0,4,0,1,0,613
202010,616,3,4,1,3,0,3,0,2,6,1,2,1,0,515
202011,491,4,3,0,1,1,1,2,3,2,0,2,1,1,486
202012,280,3,4,3,0,1,1,1,2,2,2,2,0,1,276
202101,342,1,2,0,3,0,1,1,2,1,1,0,0,0,426
202102,333,1,1,1,2,3,2,1,0,0,0,3,2,0,444
202103,491,2,1,3,1,3,1,2,1,2,2,3,0,2,765
202104,582,5,3,4,1,2,0,3,2,6,3,5,1,1,660
202105,444,2,4,1,3,1,1,1,1,2,1,1,2,2,467
202106,327,4,1,1,0,1,1,4,1,2,2,2,0,0,643
202107,664,1,1,3,2,0,1,1,1,1,1,0,2,0,422
202108,572,1,4,3,1,1,2,1,1,0,1,2,1,0,427
202109,707,4,5,3,1,3,2,3,2,0,2,0,0,0,526
202110,456,0,1,1,3,1,0,4,2,0,1,0,1,1,419
202111,452,0,2,2,4,0,2,1,0,0,2,1,1,0,485
202112,451,3,4,3,2,2,2,1,0,2,2,2,2,0,279
202201,382,1,6,0,0,1,2,1,1,1,2,1,0,0,359
202202,198,9,1,1,0,1,1,1,3,1,1,1,3,0,334
202203,556,5,5,2,1,2,0,1,2,1,1,0,1,0,390
202204,803,3,5,5,1,2,2,2,2,0,3,1,1,1,439
202205,470,0,5,2,0,0,2,1,1,0,0,0,2,0,411
202206,494,2,2,1,1,2,2,1,3,1,0,0,0,0,378
202207,699,0,3,1,2,3,0,3,2,1,1,3,0,0,453
202208,525,2,0,3,0,0,4,3,1,2,0,3,2,0,387
202209,637,3,2,1,3,4,2,1,3,1,0,3,1,0,563
202210,644,3,2,2,3,5,1,0,0,1,3,1,2,0,592
202211,810,2,3,3,3,1,1,2,1,4,2,3,0,0,707
202212,386,2,2,2,0,0,1,0,1,1,1,0,0,0,473
202301,40,3,4,0,2,1,0,1,1,0,0,0,0,0,572
202302,928,3,2,2,2,4,4,2,1,0,0,0,0,0,541
202303,360,5,5,1,5,0,1,2,0,0,0,0,0,0,488
202304,876,4,0,0,3,5,1,0,0,0,0,0,0,0,428
202305,492,1,3,0,0,4,0,0,0,0,0,0,0,0,484
202306,48,0,4,0,0,0,0,0,0,0,0,0,0,0,567
202307,587,1,4,3,0,0,0,0,0,0,0,0,0,0,634
202308,669,1,3,0,0,0,0,0,0,0,0,0,0,0,619
202309,516,3,0,0,0,0,0,0,0,0,0,0,0,0,678
202310,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,820
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,806
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,609
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,498
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,499
