period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,579,5,9,4,5,3,2,2,3,4,7,6,2,1,NaN
201502,428,4,11,5,4,4,0,2,3,3,3,4,6,1,NaN
201503,501,6,3,3,7,2,1,3,2,10,1,7,4,0,NaN
201504,600,2,7,1,2,2,7,2,4,3,2,1,2,0,NaN
201505,519,3,4,1,1,1,3,3,6,5,5,2,3,1,NaN
201506,652,5,7,11,5,1,1,2,3,4,2,1,4,1,NaN
201507,676,4,3,1,8,4,1,2,4,3,4,1,4,2,NaN
201508,502,2,6,4,4,2,1,2,1,3,3,2,4,0,NaN
201509,447,3,9,3,5,2,1,2,1,0,2,0,3,0,NaN
201510,769,2,3,4,4,1,1,2,1,0,1,2,2,2,NaN
201511,378,7,9,7,3,7,4,1,1,6,1,2,4,1,NaN
201512,725,3,7,6,5,5,0,2,4,1,4,5,3,5,NaN
201601,571,1,9,6,7,2,8,4,4,4,8,6,11,2,NaN
201602,531,6,7,4,2,0,1,4,3,6,6,3,4,2,NaN
201603,505,1,2,3,5,1,5,1,1,3,7,5,1,0,NaN
201604,449,2,4,3,1,0,3,4,1,1,6,3,2,0,NaN
201605,583,3,7,3,6,3,2,2,3,3,1,2,3,1,NaN
201606,643,6,7,2,2,5,2,7,2,2,2,3,3,1,NaN
201607,548,3,4,4,4,2,1,1,3,3,1,2,2,2,NaN
201608,569,11,6,6,5,5,1,7,4,3,2,1,3,2,NaN
201609,695,7,6,3,3,4,1,1,2,2,4,1,4,2,NaN
201610,560,1,6,3,6,6,3,4,1,1,1,2,2,4,NaN
201611,558,6,6,4,3,4,2,3,0,1,5,3,4,1,NaN
201612,503,4,1,5,5,3,5,1,3,4,3,4,3,1,NaN
201701,503,6,5,4,4,3,3,4,2,3,4,2,6,1,NaN
201702,485,4,3,6,1,3,3,3,2,3,4,3,6,4,NaN
201703,607,2,3,2,0,2,2,3,6,1,4,0,2,1,NaN
201704,517,1,7,2,3,3,3,4,0,3,2,3,0,0,NaN
201705,605,3,3,4,2,1,4,3,0,3,1,2,2,1,NaN
201706,601,4,1,4,1,0,5,7,1,2,1,4,1,1,NaN
201707,587,6,7,3,6,0,4,4,3,0,2,1,7,1,NaN
201708,581,0,3,7,3,4,1,1,0,0,2,4,1,0,NaN
201709,555,4,6,4,2,0,0,1,3,1,0,0,1,1,NaN
201710,762,2,2,6,6,1,3,1,1,2,1,0,5,1,NaN
201711,562,2,2,1,1,2,3,3,0,2,1,7,5,0,NaN
201712,505,5,4,4,0,1,2,1,0,4,3,4,0,2,NaN
201801,634,3,5,2,4,7,2,0,1,1,2,3,1,1,NaN
201802,535,5,8,0,2,4,1,0,1,0,0,2,3,1,NaN
201803,567,2,2,0,4,3,5,5,3,1,3,0,2,1,NaN
201804,545,5,5,2,2,2,6,2,2,3,1,0,2,0,NaN
201805,607,2,8,6,4,4,4,0,2,1,2,2,3,1,NaN
201806,577,3,5,4,5,1,0,3,3,4,5,3,3,1,NaN
201807,594,2,7,8,4,4,5,6,1,2,3,6,7,1,NaN
201808,630,7,9,4,3,2,9,2,6,5,4,7,3,4,NaN
201809,700,3,5,4,4,6,4,3,4,3,5,6,2,3,NaN
201810,696,4,5,5,5,8,4,6,6,5,3,10,6,1,NaN
201811,688,3,5,1,7,6,6,2,7,7,4,1,2,5,NaN
201812,377,4,9,7,4,5,9,6,5,9,3,5,3,3,NaN
201901,622,5,4,2,3,5,1,4,3,5,3,1,6,2,NaN
201902,511,3,7,3,6,5,5,4,2,1,3,3,1,1,NaN
201903,596,4,1,7,1,3,1,4,5,1,3,3,3,0,NaN
201904,523,3,5,4,6,1,4,3,2,4,2,1,4,0,NaN
201905,565,3,4,9,2,5,0,7,3,1,5,3,1,2,NaN
201906,603,2,7,2,2,4,4,1,2,3,0,2,3,0,NaN
201907,698,5,2,1,3,2,4,3,2,0,1,3,1,2,NaN
201908,533,2,2,2,2,2,3,3,1,3,1,4,1,0,NaN
201909,238,1,3,0,2,1,2,3,1,2,1,0,3,1,NaN
201910,182,3,1,2,2,1,0,0,0,2,2,4,0,0,166
