period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,802,7,15,4,5,3,3,5,3,7,9,6,3,4,NaN
201502,869,9,13,8,6,4,1,5,4,4,6,7,10,3,NaN
201503,767,11,9,4,7,6,1,5,6,11,2,10,7,0,NaN
201504,895,7,12,2,3,4,9,4,5,3,3,2,4,4,NaN
201505,897,5,6,2,3,2,3,3,7,7,7,3,5,2,NaN
201506,943,7,9,15,6,2,1,4,4,6,2,2,6,1,NaN
201507,984,6,7,2,12,7,2,2,5,3,4,1,4,4,NaN
201508,928,7,10,10,6,5,2,4,2,8,3,4,5,1,NaN
201509,917,8,10,5,8,5,2,5,5,1,4,3,8,0,NaN
201510,1204,3,4,5,9,2,2,3,2,3,1,2,8,2,NaN
201511,637,9,9,7,3,8,4,1,1,6,4,3,6,2,NaN
201512,848,3,12,8,5,5,1,3,4,2,8,8,3,5,NaN
201601,798,1,12,6,7,4,9,6,6,5,8,7,15,3,NaN
201602,654,8,8,4,2,1,1,5,3,6,8,4,4,4,NaN
201603,612,4,3,6,7,2,5,3,2,3,8,6,3,0,NaN
201604,639,4,5,4,4,2,4,9,1,2,6,4,2,0,NaN
201605,697,4,7,6,7,5,3,2,4,5,2,5,3,1,NaN
201606,856,7,8,4,5,6,3,8,5,4,3,3,5,2,NaN
201607,786,7,8,7,8,2,2,3,6,3,1,2,2,4,NaN
201608,716,13,6,10,6,6,1,7,5,3,5,3,4,2,NaN
201609,858,10,8,5,6,6,6,1,2,5,6,2,6,3,NaN
201610,708,1,9,7,8,7,4,4,2,1,2,5,3,4,NaN
201611,789,9,6,5,3,5,6,3,1,1,7,5,4,1,NaN
201612,670,6,1,6,8,3,5,2,5,4,5,7,6,1,NaN
201701,670,9,6,5,6,4,4,5,3,6,7,2,8,3,NaN
201702,729,5,6,6,3,5,3,4,2,3,5,5,9,4,NaN
201703,800,4,6,4,1,6,2,6,9,1,6,1,3,2,NaN
201704,716,2,10,3,3,3,3,4,1,4,3,6,1,1,NaN
201705,702,4,3,4,2,2,4,4,1,3,1,3,2,1,NaN
201706,803,7,2,5,1,0,5,7,1,2,1,5,3,2,NaN
201707,758,7,8,3,6,0,5,4,3,0,3,1,7,1,NaN
201708,702,1,4,8,3,4,2,4,0,2,2,5,1,1,NaN
201709,739,5,8,5,3,0,0,2,4,2,0,0,2,2,NaN
201710,869,3,2,7,9,2,3,1,2,2,1,1,5,2,NaN
201711,819,2,6,2,1,2,3,5,2,2,1,7,6,0,NaN
201712,626,6,8,4,0,3,2,2,0,5,4,4,0,3,NaN
201801,780,4,6,3,6,7,5,1,1,1,2,4,2,1,NaN
201802,712,8,8,1,3,5,2,1,1,0,1,2,4,3,NaN
201803,713,4,3,0,5,3,7,6,3,2,4,0,2,1,NaN
201804,666,6,6,5,2,4,6,2,2,4,1,1,2,0,NaN
201805,781,2,8,6,5,5,5,0,3,2,2,3,3,1,NaN
201806,709,3,6,5,7,2,0,5,4,5,7,3,4,1,NaN
201807,726,3,7,9,5,4,5,6,1,3,4,7,8,1,NaN
201808,763,8,12,4,5,4,10,2,6,5,4,8,4,4,NaN
201809,866,4,5,4,5,8,4,4,5,4,5,6,2,4,NaN
201810,835,5,5,6,5,8,4,9,7,6,4,11,6,1,NaN
201811,842,4,6,1,10,7,6,2,8,10,5,3,3,5,NaN
201812,573,4,13,9,5,5,13,7,6,9,3,6,6,3,NaN
201901,715,6,6,3,3,5,4,4,3,5,5,1,7,2,NaN
201902,608,5,8,5,6,6,8,5,2,2,4,3,2,2,NaN
201903,786,7,4,7,2,4,2,5,7,1,4,6,3,0,NaN
201904,586,3,7,5,6,1,5,3,2,4,5,1,5,0,NaN
201905,790,4,9,9,2,6,1,7,3,2,6,3,1,2,NaN
201906,689,2,10,2,2,4,4,2,3,4,0,4,3,0,NaN
201907,941,5,3,2,3,2,4,5,3,1,1,3,4,3,NaN
201908,713,5,5,2,3,3,4,3,1,7,1,5,2,0,NaN
201909,667,1,7,0,3,1,2,3,4,4,1,1,4,1,NaN
201910,716,4,2,2,2,2,0,1,1,6,5,5,3,1,813
201911,532,2,1,4,2,4,0,1,4,1,3,2,2,0,809
201912,364,3,1,2,0,3,6,1,2,5,3,0,3,0,458
202001,568,3,2,1,0,2,1,0,2,1,3,1,1,0,623
202002,509,1,3,3,0,4,1,3,0,2,3,3,3,2,778
202003,537,3,0,1,0,0,4,4,1,4,3,0,1,0,1340
202004,551,6,0,2,3,2,3,7,1,1,2,3,0,2,337
202005,559,2,1,2,3,0,1,1,3,1,1,1,1,0,460
202006,602,3,3,5,2,1,3,2,4,0,4,1,0,2,489
202007,855,5,3,4,1,4,3,0,1,0,5,2,3,0,675
202008,699,5,4,3,2,0,1,2,1,2,0,2,2,0,726
202009,716,3,5,1,6,4,2,1,1,2,4,0,1,0,814
202010,791,6,5,2,3,0,3,0,4,7,3,2,2,0,637
202011,639,5,3,3,1,1,1,3,4,2,2,2,2,1,616
202012,314,5,5,3,1,1,2,2,2,2,2,2,2,1,321
202101,398,1,2,0,3,0,1,1,2,1,1,0,0,1,527
202102,395,1,2,1,2,3,2,2,1,0,1,4,2,0,479
202103,605,2,1,3,1,3,1,2,1,2,4,3,0,3,886
202104,637,5,3,4,2,2,0,3,2,6,3,5,1,1,725
202105,508,3,4,1,3,1,1,2,1,2,1,1,4,2,519
202106,387,4,1,1,0,2,1,4,1,2,2,2,0,0,704
202107,731,3,1,3,3,0,1,1,2,1,1,0,2,0,486
202108,649,2,6,3,1,2,2,1,1,1,1,2,2,0,511
202109,762,4,5,4,1,4,3,3,3,0,2,0,1,0,589
202110,516,1,1,1,3,1,0,4,2,0,1,0,1,1,480
202111,538,1,2,3,4,1,2,1,0,0,2,1,2,0,538
202112,494,3,4,3,2,2,2,1,0,2,2,2,2,0,317
202201,474,1,7,0,1,1,2,1,1,1,2,1,0,0,436
202202,244,9,2,1,1,1,1,1,3,1,1,1,3,0,391
202203,619,5,7,2,1,2,0,1,3,1,1,1,2,0,455
202204,879,3,7,5,2,2,2,2,2,0,3,1,1,1,499
202205,543,0,6,3,0,0,2,1,1,0,0,0,2,0,474
