period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,2086,9,8,7,5,3,4,1,7,6,5,6,11,4,NaN
201502,1939,10,7,8,5,1,4,1,3,3,4,10,4,3,NaN
201503,879,3,5,2,2,4,2,0,9,3,3,3,3,3,NaN
201504,857,2,6,2,6,3,2,3,4,3,3,3,4,0,NaN
201505,399,2,2,2,7,2,1,2,4,1,6,3,1,2,NaN
201506,404,7,2,3,2,2,0,3,1,3,5,2,3,1,NaN
201507,372,4,7,0,1,2,0,2,1,2,6,3,2,3,NaN
201508,261,3,2,2,5,0,5,3,1,0,0,0,2,1,NaN
201509,197,5,3,3,2,3,1,1,2,2,1,0,2,1,NaN
201510,177,2,0,4,0,0,0,0,1,0,0,0,1,1,NaN
201511,262,1,2,1,1,3,1,0,0,0,3,2,0,2,NaN
201512,182,4,0,0,1,0,1,0,0,0,1,1,1,3,NaN
201601,183,3,1,0,2,0,1,2,0,1,1,2,1,0,NaN
201602,280,2,0,0,0,0,0,0,0,0,0,0,2,2,NaN
201603,265,2,0,0,0,0,0,0,1,0,0,0,0,0,NaN
201604,181,0,0,0,1,0,1,0,0,0,2,0,1,0,NaN
201605,86,1,1,1,0,0,0,0,0,1,0,0,1,0,NaN
201606,138,1,0,1,0,2,2,0,0,0,1,0,0,1,NaN
201607,377,2,1,1,0,0,0,0,0,1,0,1,1,0,NaN
201608,54,1,0,1,0,0,0,1,0,0,0,2,0,1,NaN
201609,260,3,1,1,1,0,0,1,0,0,0,0,0,1,NaN
201610,153,2,0,0,1,0,0,0,2,0,0,0,0,1,NaN
201611,242,2,1,0,0,0,0,0,0,0,0,0,2,0,NaN
201612,350,1,0,0,0,0,0,0,0,0,0,0,0,2,NaN
201701,328,0,0,0,0,0,1,0,1,0,0,0,0,1,NaN
201702,158,0,0,0,0,0,0,1,0,0,1,0,1,0,NaN
201703,186,1,4,0,0,0,1,0,2,1,0,0,0,0,NaN
201704,118,1,2,0,1,0,0,0,0,0,0,0,1,0,NaN
201705,261,0,1,0,0,0,0,0,0,2,0,0,0,0,NaN
201706,148,0,1,0,0,2,0,0,0,0,0,1,2,0,NaN
201707,166,2,1,0,3,0,0,0,0,1,0,0,0,0,NaN
201708,197,0,1,1,1,1,1,1,1,1,0,1,0,0,NaN
201709,229,1,2,0,0,1,0,1,1,1,0,0,0,0,NaN
201710,438,1,1,1,1,0,1,0,0,0,1,0,0,0,NaN
201711,257,2,0,1,1,0,0,0,0,0,2,2,0,0,NaN
201712,156,2,2,0,1,0,0,1,0,0,1,0,0,0,NaN
201801,315,1,0,0,0,0,0,1,0,0,0,0,1,0,NaN
201802,169,1,1,0,1,0,0,0,0,0,0,0,0,0,NaN
201803,149,1,1,0,1,1,0,0,0,0,1,0,0,0,NaN
201804,287,2,0,0,2,0,1,1,0,0,0,0,1,0,NaN
201805,132,0,0,1,0,0,0,0,0,0,0,1,0,0,NaN
201806,114,0,3,0,0,1,0,0,0,0,0,1,1,0,NaN
201807,138,0,1,0,3,0,2,0,0,0,0,0,0,0,NaN
201808,184,1,2,0,0,0,0,0,0,0,0,0,1,1,NaN
201809,302,1,0,0,2,1,0,0,0,0,0,0,1,0,NaN
201810,248,2,1,0,3,2,0,0,0,1,0,0,1,0,NaN
201811,163,1,1,2,1,1,0,1,1,1,0,1,1,0,NaN
201812,369,2,0,0,1,0,0,1,0,0,0,0,2,2,NaN
201901,399,0,0,0,0,0,0,2,1,1,1,0,1,1,NaN
201902,249,0,1,0,0,0,0,2,1,0,0,0,0,0,NaN
201903,161,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN
201904,50,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201905,63,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
201906,28,1,0,0,0,0,0,0,0,2,0,0,0,0,NaN
201907,113,0,0,0,0,0,0,0,0,1,0,0,1,1,NaN
201908,105,1,0,0,0,0,0,0,0,0,0,1,0,0,NaN
201909,258,0,0,1,1,3,1,0,1,0,0,0,1,0,NaN
201910,169,2,3,1,0,0,0,0,0,0,0,0,0,0,138
201911,268,0,2,1,0,0,0,0,0,0,0,0,0,1,261
201912,162,0,0,1,1,1,0,0,0,0,0,0,0,0,163
202001,292,0,0,0,0,0,0,0,0,0,0,0,0,1,264
202002,210,0,0,1,0,0,0,0,1,0,1,1,0,0,218
202003,178,1,2,0,1,0,0,0,1,1,0,0,0,0,362
202004,215,1,1,0,0,0,0,0,0,0,0,0,0,0,192
202005,208,0,1,0,0,0,0,0,0,0,0,0,1,0,252
202006,151,0,0,1,1,0,1,0,0,0,0,0,0,0,99
202007,232,2,2,1,1,0,0,0,0,0,0,0,0,0,213
202009,235,2,1,3,0,0,0,0,1,0,0,0,0,0,275
202010,269,2,5,2,1,1,1,0,0,0,0,0,0,0,220
202011,286,6,6,3,3,0,2,1,1,2,3,0,0,0,519
202012,155,6,1,2,1,0,0,0,0,0,0,0,0,0,225
202101,3,0,3,0,0,1,0,0,1,1,0,0,1,0,NaN
202102,333,1,3,0,1,0,0,0,0,1,0,0,1,0,561
202103,329,2,2,0,0,1,2,0,0,1,0,0,0,0,507
202104,160,1,3,0,0,2,1,3,0,0,0,0,0,0,228
202105,321,0,1,1,2,0,0,0,0,0,0,2,0,0,290
202106,280,0,2,2,2,1,1,0,0,0,0,1,0,0,416
202107,292,0,3,1,0,1,0,0,1,0,0,0,0,0,247
202108,410,4,0,0,0,2,0,0,0,0,0,0,0,0,600
202109,487,1,1,0,1,0,0,1,0,0,0,0,0,0,450
202110,264,2,1,1,3,2,0,0,0,0,2,1,0,0,248
202111,469,2,1,0,0,0,1,0,0,0,0,0,0,0,698
202112,161,0,1,2,3,0,0,0,0,0,0,0,0,0,306
202201,205,0,7,1,0,1,0,0,0,0,0,0,1,0,532
202202,401,7,0,1,1,0,4,0,0,0,0,1,0,0,747
202203,339,1,2,0,0,2,0,0,0,0,0,0,0,0,539
202204,206,1,0,0,0,0,0,0,0,0,0,0,0,0,481
202205,154,2,0,0,1,0,0,2,0,0,0,0,0,0,97
202206,165,2,1,0,0,0,0,0,0,0,0,0,0,0,37
202207,141,1,1,0,0,2,0,0,0,0,0,0,0,0,42
202208,218,0,0,0,1,1,0,0,0,0,0,0,1,0,28
202209,63,1,2,2,0,0,0,0,0,0,0,0,0,0,295
202210,118,0,1,0,0,0,1,0,1,0,0,0,0,0,175
202211,181,0,1,0,0,0,0,0,0,0,0,0,0,0,2
202212,105,2,0,2,0,0,0,0,0,0,0,0,0,0,NaN
202301,254,1,4,0,1,1,0,1,1,0,0,0,0,0,191
202302,172,1,0,0,3,1,0,0,0,0,0,0,0,0,604
202303,185,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202304,121,0,0,1,0,1,0,0,0,0,0,0,0,0,NaN
202306,115,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202307,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
202309,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153
