period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,51416,251,257,145,124,115,103,87,109,119,139,157,169,75,NaN
201502,45798,243,204,103,102,70,81,113,115,132,121,128,142,75,NaN
201503,33017,156,150,107,86,81,98,89,108,98,94,124,119,55,NaN
201504,19076,122,130,82,83,92,95,118,101,104,93,105,90,38,NaN
201505,17424,105,95,66,119,111,90,103,110,114,109,101,95,58,NaN
201506,20499,114,94,107,110,94,110,92,105,101,92,82,85,37,NaN
201507,25375,111,137,118,110,90,101,118,113,103,93,93,99,60,NaN
201508,26347,174,253,144,157,130,146,128,119,102,113,132,155,67,NaN
201509,62590,289,339,238,193,211,195,174,133,128,144,129,182,91,NaN
201510,70742,287,344,233,186,195,180,145,167,167,168,175,188,110,NaN
201511,68697,280,290,234,186,159,124,154,150,144,157,177,190,69,NaN
201512,43406,266,281,222,178,138,164,170,229,200,205,189,176,106,NaN
201601,37507,211,240,163,120,140,190,242,190,162,164,168,138,81,NaN
201602,35150,178,178,122,124,171,180,174,130,153,114,150,124,67,NaN
201603,27989,168,149,119,146,147,163,114,150,117,116,113,140,48,NaN
201604,19890,113,149,123,129,138,102,90,97,92,93,111,95,49,NaN
201605,14677,133,119,138,124,118,121,103,99,87,84,71,103,59,NaN
201606,19495,129,169,157,132,99,131,109,87,100,70,94,149,87,NaN
201607,24930,100,165,126,139,107,95,115,90,77,85,141,154,93,NaN
201608,29755,115,187,187,139,116,88,123,83,93,149,164,177,93,NaN
201609,33441,182,216,173,144,123,144,99,123,189,193,262,249,116,NaN
201610,37906,180,261,166,136,130,112,125,153,214,262,228,176,95,NaN
201611,39815,176,202,112,134,100,100,123,151,159,159,171,148,68,NaN
201612,22446,138,137,131,79,119,130,137,144,104,115,120,107,44,NaN
201701,17237,133,127,76,75,82,86,104,82,95,94,95,73,45,NaN
201702,9726,79,82,70,63,82,67,79,64,88,60,67,72,32,NaN
201703,9634,47,71,57,56,56,46,53,63,58,40,47,46,27,NaN
201704,4707,57,65,58,53,39,45,47,38,39,39,30,36,16,NaN
201705,4098,35,33,41,42,33,45,39,36,22,25,26,19,17,NaN
201706,3385,44,46,34,45,51,37,32,32,33,20,24,39,12,NaN
201707,3321,54,66,42,52,28,33,30,30,26,25,42,33,15,NaN
201708,3157,57,67,64,23,34,40,38,31,30,44,42,16,13,NaN
201709,4079,48,72,30,29,26,38,20,37,29,24,28,35,12,NaN
201710,3447,57,39,49,29,24,24,25,35,26,18,23,34,15,NaN
201711,3019,32,49,30,23,19,28,28,16,15,21,22,18,11,NaN
201712,1467,25,33,23,11,15,17,16,18,14,16,22,11,6,NaN
201801,1801,25,22,12,9,12,14,8,23,20,11,7,10,3,NaN
201802,1831,18,18,9,16,8,7,5,9,6,9,7,3,2,NaN
201803,857,19,14,12,9,3,10,13,11,12,3,5,5,3,NaN
201804,1069,15,10,13,11,8,8,6,9,6,1,2,8,2,NaN
