period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,70493,524,483,336,246,248,231,191,222,227,238,237,291,125,NaN
201502,72679,552,483,261,282,268,218,263,289,271,229,253,282,165,NaN
201503,77398,504,418,289,247,177,231,238,228,211,233,221,273,126,NaN
201504,56395,405,384,265,217,222,241,201,205,210,221,225,215,116,NaN
201505,54766,426,373,221,210,234,231,175,184,174,195,191,170,76,NaN
201506,58983,420,335,278,252,212,196,199,213,172,148,171,200,85,NaN
201507,56161,343,410,268,227,193,200,185,181,170,163,193,156,106,NaN
201508,49462,399,365,267,219,194,194,197,153,174,171,153,164,74,NaN
201509,63857,379,353,238,219,196,218,207,168,169,153,164,162,92,NaN
201510,66159,378,350,264,223,209,167,166,152,157,156,164,132,85,NaN
201511,59740,338,340,244,208,172,176,162,127,137,130,135,155,78,NaN
201512,53170,295,354,251,252,196,162,129,142,153,120,175,157,88,NaN
201601,51881,373,308,202,171,175,175,115,129,122,143,128,148,73,NaN
201602,44215,323,290,190,161,140,144,126,123,130,137,133,156,57,NaN
201603,45099,308,263,175,139,116,143,135,150,134,127,131,163,54,NaN
201604,42381,251,260,153,142,142,123,137,127,124,109,136,108,51,NaN
201605,39154,295,234,173,168,167,162,146,135,121,129,110,131,66,NaN
201606,47263,235,242,200,193,176,151,159,139,154,127,122,112,63,NaN
201607,44877,270,263,224,209,176,165,143,169,121,128,124,109,78,NaN
201608,40064,282,245,221,162,174,151,161,101,127,134,122,115,66,NaN
201609,50687,259,327,199,176,144,166,116,141,133,121,117,145,55,NaN
201610,44988,217,219,216,192,153,129,121,128,95,121,96,125,79,NaN
201611,50810,245,234,177,172,93,119,89,107,109,124,101,101,47,NaN
201612,25628,216,212,150,99,106,110,86,98,100,93,96,100,52,NaN
201701,21244,205,182,108,83,78,84,83,88,64,66,68,100,33,NaN
201702,17744,179,120,89,70,75,69,73,63,48,46,62,65,26,NaN
201703,17836,111,104,52,70,54,43,50,46,56,47,54,39,34,NaN
201704,11181,114,75,55,54,43,58,48,49,49,42,42,39,18,NaN
201705,8857,99,60,57,45,36,43,23,31,33,36,32,37,19,NaN
201706,6215,88,57,38,31,49,30,47,33,35,39,36,26,23,NaN
201707,6297,69,54,44,32,33,38,34,28,29,34,22,26,8,NaN
201708,4599,65,54,37,18,31,31,33,19,23,22,30,22,8,NaN
201709,6627,51,45,35,32,19,31,16,13,19,20,28,20,13,NaN
201710,4837,54,29,23,31,21,22,15,21,23,14,9,12,7,NaN
201711,5862,36,37,30,24,18,19,15,18,12,13,17,15,6,NaN
201712,2789,43,33,25,24,20,15,11,13,14,23,17,16,11,NaN
201801,4015,35,26,20,20,19,13,12,12,14,11,13,11,7,NaN
201802,3702,36,26,27,18,15,15,13,11,15,13,18,14,5,NaN
201803,5358,33,38,25,16,23,9,14,18,15,18,12,12,6,NaN
201804,4476,37,29,21,23,25,14,17,10,9,13,17,12,9,NaN
201805,5235,35,25,19,13,6,12,7,7,11,19,9,14,1,NaN
201806,2701,31,23,13,16,13,10,10,8,17,5,10,12,3,NaN
201807,2541,28,17,18,12,11,13,7,10,7,5,7,4,4,NaN
201808,2265,25,17,11,10,10,16,6,6,5,8,10,11,8,NaN
201809,2962,26,17,5,7,10,10,8,9,7,5,6,7,8,NaN
201810,2443,28,22,19,12,19,13,14,10,7,11,12,10,3,NaN
201811,6852,20,19,12,18,5,10,7,9,7,16,17,10,4,NaN
201812,1774,13,22,13,9,7,6,8,9,4,12,6,4,1,NaN
201901,1150,17,8,6,11,5,3,3,4,7,7,3,2,1,NaN
201902,361,16,13,6,1,10,5,3,9,10,4,4,6,0,NaN
201903,573,8,7,5,6,5,4,4,2,3,3,1,5,0,NaN
201904,569,9,10,4,2,6,2,2,4,3,4,1,3,0,1
201905,294,12,3,3,6,4,0,3,1,4,1,0,1,0,58
201906,784,8,2,3,3,3,2,3,1,1,0,2,1,1,23
201907,348,11,5,2,1,4,3,3,4,1,2,0,1,2,150
201908,731,3,2,1,3,4,2,2,2,2,0,0,3,0,70
201909,242,12,0,1,3,3,0,3,2,2,0,2,7,0,180
201910,431,6,2,7,1,2,1,0,1,1,0,1,0,1,457
201911,293,5,4,3,1,1,1,1,1,1,3,2,2,2,321
201912,570,6,3,3,1,0,0,0,1,4,1,0,4,1,648
202001,177,7,0,1,0,2,2,1,2,1,4,1,1,2,417
202002,435,2,5,1,3,2,3,4,4,1,1,1,1,1,504
202003,146,0,1,2,3,3,1,2,2,0,5,1,3,1,185
202004,78,2,4,3,0,1,0,2,0,2,1,0,1,1,233
202005,180,2,1,1,1,0,1,1,0,0,0,1,1,0,186
202006,430,3,2,0,2,0,0,1,0,0,0,0,2,1,425
202007,341,0,0,2,1,0,0,3,2,2,0,0,1,0,365
202008,308,3,3,0,0,0,1,1,1,2,1,1,2,1,530
202009,189,0,4,0,4,0,0,0,0,0,0,1,3,0,229
202010,181,1,2,0,0,0,0,0,0,2,0,1,1,0,159
202011,78,3,2,0,0,2,2,3,1,0,1,2,0,1,196
202012,246,2,3,3,1,2,2,2,1,2,1,0,2,0,257
202101,239,2,1,2,0,2,1,1,1,1,1,1,1,2,287
202102,1,3,4,1,0,1,0,0,1,1,0,2,1,0,NaN
202103,195,3,0,2,3,0,0,0,0,0,1,0,0,0,192
202104,7,2,10,1,0,0,1,1,1,2,0,0,1,0,300
202105,172,2,2,0,2,2,2,1,0,0,0,0,0,0,168
202106,13,5,0,1,2,0,0,0,0,0,0,0,2,0,NaN
202107,30,1,1,0,1,0,0,2,0,2,0,0,0,0,NaN
202108,4,0,4,1,1,0,3,0,1,1,2,2,1,1,300
202109,200,4,3,0,1,0,1,1,0,1,2,0,2,0,120
202110,48,3,0,1,2,1,1,1,2,1,0,2,1,0,NaN
202111,10,1,0,2,1,1,0,1,0,0,1,0,0,0,NaN
202112,2,0,0,0,0,0,0,1,0,0,0,0,1,0,300
202201,174,1,3,0,1,1,0,0,1,0,0,0,0,0,168
202202,1,0,0,0,1,0,1,0,0,0,0,0,0,0,NaN
202203,2,0,0,0,1,0,0,0,0,0,0,1,0,0,NaN
202204,122,1,1,1,0,1,0,0,0,0,0,0,0,0,168
202205,50,0,1,0,0,0,0,1,0,1,0,0,0,0,144
202206,240,1,0,1,0,0,0,0,1,0,0,0,0,0,240
202207,2,0,1,0,1,0,0,1,0,1,0,0,1,0,NaN
202208,95,0,0,1,0,0,1,0,0,1,0,0,0,0,96
202209,4,2,2,0,0,0,0,0,0,0,0,0,0,0,NaN
202210,6,1,1,0,0,0,0,0,0,0,0,1,0,0,NaN
202211,102,3,1,0,1,0,0,1,0,0,0,0,0,0,100
202212,1,1,1,0,0,1,0,0,0,0,0,0,0,0,NaN
202301,127,1,0,0,0,0,0,0,0,0,0,0,0,0,132
202302,159,1,0,0,0,2,0,0,0,0,0,0,0,0,134
202303,2,1,0,0,0,1,0,0,0,0,0,0,0,0,14
202304,146,2,0,0,1,0,0,0,0,0,0,0,0,0,120
202305,145,0,1,1,0,1,0,0,0,0,0,0,0,0,144
202306,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NaN
202307,144,0,0,1,0,0,0,0,0,0,0,0,0,0,144
202308,120,1,0,0,0,0,0,0,0,0,0,0,0,0,120
202309,120,1,0,0,0,0,0,0,0,0,0,0,0,0,120
202310,121,0,0,0,0,0,0,0,0,0,0,0,0,0,120
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131
