period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,712,10,8,2,3,3,1,3,4,3,4,3,4,1,NaN
201502,595,8,11,6,6,4,2,6,5,1,2,2,4,5,NaN
201503,407,10,11,5,5,2,7,3,4,1,4,3,4,2,NaN
201504,296,7,9,4,3,4,3,4,5,4,3,6,2,3,NaN
201505,92,9,2,4,3,2,3,0,2,3,3,4,3,1,NaN
201506,89,4,5,4,3,2,3,0,2,0,2,1,3,1,NaN
201507,107,7,6,3,4,3,2,1,6,3,4,5,0,3,NaN
201508,37,4,8,5,1,6,0,1,9,2,1,2,1,0,NaN
201509,51,7,5,5,5,3,2,2,2,2,3,0,0,1,NaN
201510,-2,10,8,2,3,2,1,3,3,3,3,1,1,0,NaN
201511,7,6,1,5,3,2,2,0,1,3,2,2,5,3,NaN
201512,6,5,6,1,1,3,2,2,2,4,3,1,4,2,NaN
201601,9,5,3,0,1,1,1,0,1,2,2,1,4,2,NaN
201602,17,5,0,1,0,3,0,0,1,2,0,0,2,0,NaN
201603,19,5,5,3,0,1,1,1,1,0,3,1,2,0,NaN
201604,8,4,0,2,0,2,2,2,0,0,1,0,0,1,NaN
201605,17,2,3,1,3,1,1,0,0,2,0,1,2,1,NaN
201606,9,2,3,1,3,1,1,1,1,2,1,5,0,1,NaN
201607,14,3,0,3,1,0,1,2,0,0,1,2,1,0,NaN
201608,18,0,1,0,0,1,1,1,1,2,1,1,0,1,NaN
201609,3,3,1,0,0,3,1,0,1,0,1,0,2,0,NaN
201610,2,2,2,0,0,2,0,0,1,1,1,3,3,0,NaN
201611,12,2,1,0,0,0,3,1,1,1,1,1,1,3,NaN
201612,2,3,2,1,0,1,0,2,1,1,1,0,1,1,NaN
201701,11,3,1,2,2,0,1,0,1,2,2,1,1,0,NaN
201702,5,6,0,1,0,2,0,0,0,1,1,0,0,0,NaN
201703,6,2,2,0,0,0,1,1,0,1,2,3,1,2,NaN
201704,4,3,0,1,1,0,0,2,1,3,0,0,2,0,NaN
201705,3,2,1,2,0,0,0,0,3,0,1,0,1,1,NaN
201706,9,3,0,0,0,1,1,3,1,2,0,1,0,1,NaN
201707,4,3,0,0,3,1,1,2,1,1,4,1,0,1,NaN
201708,2,1,2,2,0,1,2,2,0,1,0,1,0,0,NaN
201709,159,2,3,3,2,2,4,1,3,3,1,2,0,0,NaN
201710,705,3,5,0,1,2,1,2,1,1,2,2,2,0,NaN
201711,556,3,2,3,4,1,4,2,2,0,1,2,2,2,NaN
201712,116,1,3,4,5,2,2,0,1,4,1,1,2,2,NaN
201801,167,1,4,4,1,0,2,2,2,3,0,2,3,0,NaN
201802,589,1,4,3,4,2,2,2,2,1,3,1,1,1,NaN
201803,199,5,0,1,3,1,1,0,2,0,3,0,1,1,NaN
201804,588,5,4,2,2,1,1,2,0,1,2,0,1,0,NaN
201805,213,0,4,1,2,1,4,1,1,0,1,3,1,0,NaN
