period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,71205,534,491,338,249,251,232,194,226,230,242,240,295,126,NaN
201502,73274,560,494,267,288,272,220,269,294,272,231,255,286,170,NaN
201503,77805,514,429,294,252,179,238,241,232,212,237,224,277,128,NaN
201504,56691,412,393,269,220,226,244,205,210,214,224,231,217,119,NaN
201505,54858,435,375,225,213,236,234,175,186,177,198,195,173,77,NaN
201506,59072,424,340,282,255,214,199,199,215,172,150,172,203,86,NaN
201507,56268,350,416,271,231,196,202,186,187,173,167,198,156,109,NaN
201508,49499,403,373,272,220,200,194,198,162,176,172,155,165,74,NaN
201509,63908,386,358,243,224,199,220,209,170,171,156,164,162,93,NaN
201510,66157,388,358,266,226,211,168,169,155,160,159,165,133,85,NaN
201511,59747,344,341,249,211,174,178,162,128,140,132,137,160,81,NaN
201512,53176,300,360,252,253,199,164,131,144,157,123,176,161,90,NaN
201601,51890,378,311,202,172,176,176,115,130,124,145,129,152,75,NaN
201602,44232,328,290,191,161,143,144,126,124,132,137,133,158,57,NaN
201603,45118,313,268,178,139,117,144,136,151,134,130,132,165,54,NaN
201604,42389,255,260,155,142,144,125,139,127,124,110,136,108,52,NaN
201605,39171,297,237,174,171,168,163,146,135,123,129,111,133,67,NaN
201606,47272,237,245,201,196,177,152,160,140,156,128,127,112,64,NaN
201607,44891,273,263,227,210,176,166,145,169,121,129,126,110,78,NaN
201608,40082,282,246,221,162,175,152,162,102,129,135,123,115,67,NaN
201609,50690,262,328,199,176,147,167,116,142,133,122,117,147,55,NaN
201610,44990,219,221,216,192,155,129,121,129,96,122,99,128,79,NaN
201611,50822,247,235,177,172,93,122,90,108,110,125,102,102,50,NaN
201612,25630,219,214,151,99,107,110,88,99,101,94,96,101,53,NaN
201701,21255,208,183,110,85,78,85,83,89,66,68,69,101,33,NaN
201702,17749,185,120,90,70,77,69,73,63,49,47,62,65,26,NaN
201703,17842,113,106,52,70,54,44,51,46,57,49,57,40,36,NaN
201704,11185,117,75,56,55,43,58,50,50,52,42,42,41,18,NaN
201705,8860,101,61,59,45,36,43,23,34,33,37,32,38,20,NaN
201706,6224,91,57,38,31,50,31,50,34,37,39,37,26,24,NaN
201707,6301,72,54,44,35,34,39,36,29,30,38,23,26,9,NaN
201708,4601,66,56,39,18,32,33,35,19,24,22,31,22,8,NaN
201709,6786,53,48,38,34,21,35,17,16,22,21,30,20,13,NaN
201710,5542,57,34,23,32,23,23,17,22,24,16,11,14,7,NaN
201711,6418,39,39,33,28,19,23,17,20,12,14,19,17,8,NaN
201712,2905,44,36,29,29,22,17,11,14,18,24,18,18,13,NaN
201801,4182,36,30,24,21,19,15,14,14,17,11,15,14,7,NaN
201802,4291,37,30,30,22,17,17,15,13,16,16,19,15,6,NaN
201803,5557,38,38,26,19,24,10,14,20,15,21,12,13,7,NaN
201804,5064,42,33,23,25,26,15,19,10,10,15,17,13,9,NaN
201805,5448,35,29,20,15,7,16,8,8,11,20,12,15,1,NaN
201806,2924,37,28,14,19,14,12,10,11,18,5,11,13,3,NaN
201807,2792,31,18,20,15,14,15,10,10,8,6,7,6,4,NaN
201808,2522,28,20,13,11,11,17,6,6,6,9,12,13,9,NaN
201809,3612,29,21,5,8,10,13,10,11,8,6,8,10,9,NaN
201810,2938,31,25,22,15,22,15,15,13,10,12,13,11,6,NaN
201811,7509,22,19,13,19,7,10,9,9,12,17,19,12,5,NaN
201812,2235,13,24,15,10,8,7,9,12,7,13,7,4,2,NaN
201901,1447,19,13,8,13,6,4,5,4,8,8,4,3,3,NaN
201902,668,19,14,7,2,10,9,6,11,10,5,4,7,0,NaN
201903,915,10,11,7,9,6,5,6,3,5,3,2,6,0,NaN
201904,1263,11,10,5,2,7,4,2,4,7,6,2,3,0,1
201905,483,19,4,4,6,7,1,5,2,4,2,0,2,0,58
201906,1108,10,5,4,3,4,3,7,4,3,2,3,1,2,23
201907,798,14,5,2,3,4,5,5,5,1,4,2,1,3,150
201908,893,3,5,1,5,4,4,2,4,4,0,0,5,0,70
201909,530,16,1,3,3,4,0,4,2,2,2,2,9,0,180
201910,888,8,2,7,3,2,2,0,1,3,0,2,0,1,1125
201911,780,6,5,4,1,4,3,1,3,1,3,3,3,3,1000
201912,1047,7,4,4,1,1,0,1,2,6,2,1,7,1,1238
202001,231,7,1,2,0,3,3,1,3,1,4,2,2,4,775
202002,921,2,5,3,3,3,3,4,5,6,3,1,2,2,1161
202003,623,1,2,2,3,5,2,3,2,0,6,2,4,3,726
202004,90,2,4,5,0,2,0,3,0,2,2,1,4,1,455
202005,325,5,2,1,1,1,2,3,0,0,1,2,3,0,464
202006,664,3,2,0,2,1,0,2,1,0,1,0,5,1,679
202007,512,1,1,2,3,0,0,4,3,3,0,0,1,1,844
202008,732,4,3,1,1,0,2,1,1,3,2,2,3,2,749
202009,306,1,6,0,4,0,0,0,0,1,2,2,4,0,725
202010,604,3,7,1,1,1,2,0,0,3,1,2,2,0,707
202011,357,7,5,2,0,4,2,4,4,0,2,2,1,1,892
202012,528,2,4,4,3,3,3,3,2,3,1,0,2,0,824
202101,761,4,4,3,1,2,1,1,2,4,1,1,1,2,813
202102,109,5,4,2,1,2,0,0,2,2,0,3,2,0,273
202103,564,6,2,2,6,1,1,3,0,0,1,0,0,0,631
202104,250,3,13,2,0,0,2,1,2,3,0,0,1,0,637
202105,352,2,3,0,4,3,2,1,0,0,0,1,2,0,526
202106,319,5,1,1,2,0,0,0,0,0,0,1,3,0,355
202107,30,3,2,1,1,1,1,2,0,2,1,0,0,0,227
202108,184,2,4,2,2,0,3,1,3,1,2,6,1,1,523
202109,200,6,4,0,2,1,2,1,1,2,2,0,2,0,600
202110,892,6,0,1,3,1,1,1,3,3,2,2,1,0,924
202111,155,2,1,3,2,4,1,1,0,1,1,0,2,0,118
202112,5,1,0,2,1,2,0,1,0,2,0,0,1,0,340
202201,174,5,4,1,2,3,0,1,2,1,0,0,1,0,213
202202,2,1,1,0,2,0,2,2,0,1,0,0,0,0,36
202203,2,1,1,0,2,1,0,0,0,0,0,1,0,0,34
202204,122,1,1,1,0,1,0,0,0,2,0,1,0,0,204
202205,50,1,2,0,0,0,0,1,0,1,0,0,0,0,181
202206,240,2,0,1,0,0,0,0,2,0,0,1,0,0,270
202207,2,1,2,1,1,0,1,1,0,1,0,0,1,0,53
202208,95,1,0,1,0,0,2,0,0,1,0,0,0,0,126
202209,4,5,2,0,0,0,0,1,0,0,0,0,0,0,30
202210,4,1,1,0,0,0,1,1,0,0,0,1,0,0,37
202211,102,4,1,0,1,0,0,2,0,0,0,0,0,0,130
202212,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12
202301,127,3,1,1,0,0,0,0,2,0,0,0,0,0,132
202302,160,1,0,0,1,3,0,0,0,0,0,0,0,0,202
202303,2,2,0,1,0,1,0,0,0,0,0,0,0,0,105
202304,146,2,0,0,1,0,0,0,0,0,0,0,0,0,239
202305,145,1,1,2,0,1,0,0,0,0,0,0,0,0,215
202306,0,1,1,0,1,0,0,0,0,0,0,0,0,0,54
202307,144,1,0,1,0,0,0,0,0,0,0,0,0,0,238
202308,120,3,0,0,0,0,0,0,0,0,0,0,0,0,197
202309,120,1,0,0,0,0,0,0,0,0,0,0,0,0,255
202310,121,0,0,0,0,0,0,0,0,0,0,0,0,0,211
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168
