period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,833,15,26,8,15,6,11,8,13,14,21,22,20,19,NaN
201502,1323,15,14,8,8,5,7,12,14,25,21,18,21,9,NaN
201503,933,13,13,10,6,3,2,12,23,20,7,31,20,6,NaN
201504,845,13,15,6,4,7,26,11,19,19,23,16,15,10,NaN
201505,1099,15,10,9,9,12,10,13,15,20,23,11,15,4,NaN
201506,1088,15,13,10,15,13,18,16,13,12,11,7,11,4,NaN
201507,1506,9,14,16,14,13,14,9,15,9,19,11,18,6,NaN
201508,1252,13,19,16,13,19,17,13,11,16,9,6,19,7,NaN
201509,4017,20,17,14,23,21,31,14,21,13,13,25,20,18,NaN
201510,6674,28,38,28,29,28,33,35,35,22,26,29,39,32,NaN
201511,8193,31,44,32,33,33,41,29,34,41,33,37,63,31,NaN
201512,7271,32,53,37,38,35,33,29,27,33,37,46,58,30,NaN
201601,6442,40,41,34,38,42,24,35,30,47,55,45,52,24,NaN
201602,8137,42,50,38,27,27,21,32,34,45,48,51,47,32,NaN
201603,7515,58,38,28,29,29,30,35,32,55,52,60,57,21,NaN
201604,7964,64,46,24,30,27,38,45,32,30,47,43,41,27,NaN
201605,7578,35,37,32,32,39,37,30,42,31,47,46,45,15,NaN
201606,8284,41,38,34,33,46,32,30,31,44,30,42,38,19,NaN
201607,9077,44,52,30,33,37,44,45,50,45,45,59,38,24,NaN
201608,10393,67,60,48,42,46,56,57,47,43,59,40,52,38,NaN
201609,13277,76,101,56,45,76,59,51,72,42,43,59,62,48,NaN
201610,14190,93,89,60,42,71,34,56,62,53,52,63,80,56,NaN
201611,15001,60,66,52,54,40,50,45,29,33,53,58,80,33,NaN
201612,11115,65,76,50,35,41,29,25,28,36,40,63,64,38,NaN
201701,11056,74,68,39,28,27,24,34,29,33,36,41,53,28,NaN
201702,10559,63,45,37,33,29,30,32,29,30,36,53,30,23,NaN
201703,11410,52,57,37,23,18,27,30,39,34,38,43,35,21,NaN
201704,8782,48,44,29,32,21,20,23,27,35,41,17,33,13,NaN
201705,10116,46,47,30,30,27,28,33,30,34,27,44,25,15,NaN
201706,11395,54,59,35,22,42,30,35,29,41,27,26,28,21,NaN
201707,9181,54,69,43,43,37,36,25,35,25,29,23,26,8,NaN
201708,10967,63,56,53,42,46,39,41,37,36,39,33,20,18,NaN
201709,13651,60,88,40,58,39,35,40,37,27,33,26,37,37,NaN
201710,14875,77,73,66,47,51,44,31,35,32,50,38,58,40,NaN
201711,16191,67,107,59,48,42,37,42,34,36,34,55,48,25,NaN
201712,11804,78,74,66,39,36,37,31,36,31,29,44,40,27,NaN
201801,13136,80,59,47,43,29,37,32,41,34,39,33,42,16,NaN
201802,12572,75,56,38,34,20,27,37,17,42,36,55,41,30,NaN
