period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,9963,50,64,46,43,53,37,44,46,44,48,62,52,30,NaN
201502,11137,81,73,43,42,39,47,46,49,55,48,51,69,39,NaN
201503,9947,61,65,39,43,37,38,42,45,44,46,46,44,17,NaN
201504,8088,45,66,54,43,50,60,54,52,48,58,54,58,22,NaN
201505,10689,66,87,65,52,59,64,41,67,62,60,46,51,35,NaN
201506,10190,69,64,47,68,38,40,52,46,43,51,42,51,33,NaN
201507,8372,59,75,73,67,38,51,55,50,55,44,45,44,16,NaN
201508,8211,77,72,71,74,55,59,64,52,38,51,39,51,33,NaN
201509,11061,87,96,49,61,55,53,68,43,60,35,63,51,20,NaN
201510,9289,67,84,56,76,57,58,49,49,39,48,47,64,29,NaN
201511,8142,68,59,54,48,58,47,62,51,36,44,34,54,19,NaN
201512,4339,45,65,41,41,40,35,33,29,22,39,59,38,26,NaN
201601,2945,38,44,23,34,31,25,26,25,34,30,33,37,17,NaN
201602,3644,58,54,37,30,27,27,29,16,39,29,36,20,26,NaN
201603,3905,35,46,25,20,18,21,22,23,18,21,30,35,10,NaN
201604,2803,33,25,17,17,15,16,25,18,25,19,25,25,8,NaN
201605,1796,23,16,9,12,16,19,16,19,19,21,21,13,12,NaN
201606,1915,23,15,20,15,20,20,16,29,24,13,18,15,8,NaN
201607,2157,24,26,16,16,16,17,16,16,13,15,18,17,6,NaN
201608,1359,26,29,20,13,26,20,20,12,19,19,19,13,11,NaN
201609,1744,19,29,20,19,20,14,17,22,21,13,12,14,12,NaN
201610,1551,18,23,11,11,13,9,9,16,12,13,8,15,9,NaN
201611,1525,23,17,18,16,9,9,11,10,4,9,20,29,7,NaN
201612,1164,13,16,9,5,11,9,9,8,5,6,11,13,7,NaN
201701,530,13,12,7,4,7,6,8,6,6,4,6,7,7,NaN
201702,609,14,8,8,4,4,5,9,6,7,2,9,5,3,NaN
201703,535,8,5,6,8,5,3,5,8,7,7,6,12,2,NaN
201704,382,14,6,3,4,2,2,7,8,4,5,9,4,5,NaN
201705,517,9,5,5,5,3,3,3,7,2,4,3,9,4,NaN
201706,439,8,6,3,6,7,0,9,4,5,10,4,3,2,NaN
201707,356,7,3,9,5,5,4,5,7,4,6,1,8,1,NaN
201708,230,11,9,9,4,4,4,5,3,5,7,2,2,1,NaN
201709,624,6,8,5,6,2,5,3,3,5,1,4,2,2,NaN
201710,622,6,11,2,4,9,6,4,2,3,3,5,5,3,NaN
201711,291,7,12,6,6,3,0,3,2,5,4,2,6,2,NaN
201712,366,7,8,3,4,2,3,2,3,3,2,4,6,1,NaN
201801,174,4,3,2,3,1,0,0,2,2,2,3,3,2,NaN
201802,438,3,2,2,1,3,1,1,2,1,2,1,5,1,NaN
201803,277,3,2,1,2,3,2,1,2,0,3,1,2,0,NaN
201804,187,4,2,3,1,0,1,3,3,2,2,1,1,2,NaN
201805,149,3,5,1,0,2,3,1,0,1,2,1,3,2,NaN
201806,191,4,2,3,0,1,2,1,2,2,0,1,3,2,NaN
201807,207,4,3,0,2,1,1,3,2,3,0,0,0,0,NaN
201808,56,3,4,1,0,3,1,0,1,3,1,1,1,1,NaN
201809,134,6,1,2,6,0,3,1,2,1,1,0,1,0,NaN
201810,85,3,0,2,2,1,0,4,0,1,1,2,3,1,NaN
201811,7,2,3,4,2,1,0,1,0,1,1,2,1,1,NaN
201812,5,0,0,1,1,0,1,1,2,0,1,0,1,1,NaN
201901,3,0,1,2,1,1,0,1,0,0,0,0,3,0,NaN
201902,-1,0,3,0,1,0,0,0,0,0,0,1,1,0,NaN
201903,-1,0,1,1,0,0,0,1,1,1,0,0,0,1,NaN
201904,13,2,0,0,0,1,0,1,0,1,2,0,0,0,NaN
201905,5,0,2,0,0,0,2,0,1,1,0,0,0,0,NaN
201906,10,1,0,0,1,0,0,1,0,0,1,0,0,0,NaN
201907,9,3,0,1,1,0,0,0,0,1,0,1,0,0,NaN
201908,12,2,0,2,1,0,0,0,0,0,1,1,2,1,NaN
201909,7,3,1,0,0,1,0,0,1,0,0,1,0,1,NaN
201910,26,0,1,0,1,1,0,0,0,0,0,0,0,0,58
201911,13,0,4,0,1,0,1,0,1,0,0,1,0,0,31
201912,5,1,0,0,1,0,0,1,1,0,0,0,1,1,24
202001,14,0,1,0,0,1,0,0,0,0,0,1,1,0,63
202002,5,0,2,0,0,3,1,1,2,0,0,0,0,0,60
202003,14,1,2,0,1,0,0,1,1,0,1,0,1,0,60
202004,106,1,1,0,0,0,0,0,0,0,0,0,0,0,14
202005,8,2,1,1,0,1,0,0,0,0,1,1,1,0,53
202006,18,1,0,0,0,1,1,1,0,1,0,1,0,0,52
202007,11,0,0,1,0,0,1,1,0,0,0,0,0,0,56
202008,16,1,1,1,0,1,0,0,0,0,0,0,1,0,48
202009,16,1,0,1,0,1,0,0,1,1,0,0,1,0,81
202010,61,0,0,0,0,0,0,1,0,0,0,2,0,1,39
202011,29,1,0,0,0,0,1,0,0,0,1,0,0,1,44
202012,73,1,1,0,0,1,0,0,0,0,0,1,0,0,13
202101,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NaN
202102,0,0,1,2,0,0,0,0,1,0,0,0,0,0,NaN
202103,-2,2,1,0,0,0,0,0,0,0,1,0,0,0,NaN
202104,2,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202105,0,1,3,0,0,1,0,0,1,0,0,0,1,0,NaN
202106,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
202107,0,0,0,0,1,1,0,1,0,0,0,0,0,0,NaN
