period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,10801,65,91,55,58,60,48,52,59,58,69,84,72,49,NaN
201502,12468,96,88,51,50,44,54,58,64,80,69,69,91,49,NaN
201503,10885,74,80,49,49,40,42,54,69,64,53,77,64,23,NaN
201504,8943,59,81,62,47,57,87,65,71,67,82,70,73,32,NaN
201505,11790,81,98,74,61,71,75,54,82,82,84,57,66,39,NaN
201506,11285,85,79,57,84,52,58,68,59,55,62,49,62,37,NaN
201507,9881,69,90,90,82,52,65,64,66,64,63,56,62,22,NaN
201508,9468,90,91,88,87,74,76,77,63,54,60,45,71,40,NaN
201509,15081,108,115,67,85,76,84,83,64,74,48,88,72,38,NaN
201510,15965,96,122,85,106,85,91,84,84,61,74,76,103,61,NaN
201511,16336,100,104,88,81,92,89,91,86,77,78,71,117,50,NaN
201512,11612,79,118,78,79,75,68,63,57,55,77,105,97,57,NaN
201601,9388,78,85,57,72,73,49,61,55,81,85,79,89,41,NaN
201602,11785,102,104,75,57,54,48,62,50,84,77,88,69,58,NaN
201603,11426,93,84,53,49,47,51,58,55,73,73,91,92,31,NaN
201604,10772,97,72,41,47,42,54,70,50,55,67,70,66,35,NaN
201605,9377,59,53,41,44,55,56,46,61,50,68,67,58,27,NaN
201606,10203,64,53,55,48,66,52,46,60,68,43,60,54,27,NaN
201607,11239,69,78,48,49,54,61,61,66,58,60,77,55,31,NaN
201608,11754,93,89,70,55,72,76,77,59,62,78,60,65,49,NaN
201609,15022,95,130,76,64,97,73,68,94,63,56,71,77,60,NaN
201610,15742,113,112,71,53,84,43,65,78,66,66,72,95,65,NaN
201611,16527,84,83,70,70,49,59,56,39,37,62,78,110,41,NaN
201612,12283,81,93,59,40,53,38,34,36,41,47,74,77,45,NaN
201701,11589,88,81,47,32,34,30,42,35,40,40,47,62,35,NaN
201702,11175,82,53,45,38,33,35,41,35,37,38,64,35,26,NaN
201703,11947,60,63,43,32,23,30,37,47,42,45,49,47,23,NaN
201704,9164,63,50,32,36,23,22,30,36,40,46,26,37,18,NaN
201705,10633,56,52,36,36,30,31,36,37,36,31,47,34,19,NaN
201706,11835,64,65,39,28,49,30,44,33,46,38,30,31,23,NaN
201707,9538,61,73,52,48,43,41,31,42,29,35,24,34,9,NaN
201708,11199,76,66,62,46,51,45,46,41,42,46,35,22,19,NaN
201709,14275,66,96,45,64,42,41,43,40,32,34,30,39,39,NaN
201710,15503,84,87,69,51,61,50,36,37,36,54,44,64,43,NaN
201711,16483,77,121,67,59,45,37,45,39,41,38,57,54,28,NaN
201712,12171,85,84,72,43,38,40,33,39,35,31,48,46,28,NaN
201801,13311,84,64,49,47,30,37,33,44,38,41,36,45,18,NaN
201802,13012,79,61,40,35,24,28,38,20,43,38,56,46,31,NaN
201803,11784,74,89,30,38,34,27,38,34,26,40,41,49,18,NaN
201804,11580,70,64,52,27,41,52,33,39,40,43,37,43,23,NaN
201805,12595,96,59,41,41,37,32,34,27,26,47,30,46,14,NaN
201806,12811,60,68,39,42,39,33,36,29,40,24,39,30,16,NaN
201807,13258,78,66,63,39,41,47,40,51,40,32,26,31,17,NaN
201808,12661,73,92,53,42,53,35,48,34,38,40,34,34,29,NaN
201809,15281,114,93,73,73,47,53,45,55,41,45,40,27,39,NaN
201810,19792,110,111,80,62,71,50,60,47,44,40,39,70,31,NaN
201811,20918,93,119,76,56,44,52,45,38,48,30,56,69,30,NaN
201812,13105,113,106,69,41,47,41,38,42,40,43,45,54,30,NaN
201901,15173,67,92,60,49,39,31,33,36,34,52,37,51,29,62
201902,13260,86,83,59,36,38,42,32,30,26,31,39,42,30,46
201903,12399,69,75,41,24,40,25,22,27,34,49,46,39,9,114
201904,12306,105,60,46,30,40,39,30,25,37,42,33,21,23,239
201905,11273,56,70,31,31,28,33,24,38,34,22,25,32,20,559
201906,11788,59,58,41,44,32,33,45,27,41,14,25,34,22,941
201907,12157,90,71,56,52,28,37,37,36,23,29,32,39,21,332
201908,11887,62,80,55,44,53,39,27,29,27,43,38,47,29,153
201909,17231,94,87,52,47,55,47,27,34,48,51,45,57,28,439
201910,19631,110,96,82,75,44,33,36,47,41,50,65,64,46,21614
201911,19741,116,118,71,48,27,48,40,46,51,58,63,80,42,22647
201912,14621,95,90,59,32,33,50,37,46,46,61,58,62,41,15870
202001,14124,102,73,56,41,25,35,46,48,60,61,56,52,23,17474
202002,15721,62,43,52,41,36,31,42,45,48,62,50,52,29,15845
202003,14030,53,63,39,28,32,31,31,36,33,49,43,48,28,17883
202004,6224,57,49,34,30,36,29,32,26,44,26,40,40,19,7048
202005,9524,66,59,62,30,37,28,26,33,32,40,42,27,18,9953
202006,14342,51,65,48,44,43,44,44,33,46,28,32,47,24,14043
202007,16787,58,83,52,46,41,31,36,36,36,38,38,51,24,16543
202008,13861,97,96,67,45,40,44,41,44,43,44,50,40,23,18328
202009,15132,105,119,80,63,46,58,48,44,58,60,48,73,40,23889
202010,18714,125,125,70,76,64,71,43,55,51,50,65,69,53,26531
202011,21394,116,124,79,80,66,60,49,62,47,52,63,71,30,36127
202012,14756,90,107,65,50,40,39,37,42,48,46,46,64,33,18163
202101,13924,85,104,70,43,35,40,26,47,43,43,42,43,36,19644
202102,18208,106,90,61,61,60,34,34,53,35,49,28,48,35,24702
202103,23352,102,77,72,55,42,42,35,25,35,56,55,42,28,30821
202104,19432,114,88,74,60,37,38,40,36,49,45,43,27,30,28956
202105,18895,81,115,48,41,40,56,43,46,39,55,37,36,19,23985
202106,17559,121,95,61,59,40,42,55,59,42,33,35,31,27,20221
202107,18907,111,114,78,70,47,57,41,42,41,30,47,47,20,17669
202108,16683,180,156,91,75,58,62,54,52,40,43,33,41,28,19085
202109,20709,150,171,91,70,70,56,42,58,43,45,34,41,24,22900
202110,21756,182,148,99,83,62,63,50,64,56,43,55,65,32,26678
202111,16991,162,131,66,75,69,64,47,35,50,51,76,69,21,28469
202112,17536,137,135,84,52,48,48,52,29,45,51,72,51,40,23035
202201,15491,125,113,59,49,33,39,39,48,47,43,50,54,23,22836
202202,14368,118,99,53,56,37,29,49,34,47,48,51,43,30,20971
202203,12809,77,88,61,36,37,49,47,47,37,45,44,44,18,19363
202204,11183,84,65,37,31,38,37,52,46,46,42,39,29,19,18520
202205,11628,63,72,43,33,35,57,38,38,50,46,26,47,17,14653
202206,9336,63,63,42,28,47,43,38,32,35,31,42,29,18,16457
202207,9865,59,72,53,49,42,46,31,52,36,36,30,26,12,12437
202208,10594,68,103,57,34,56,33,40,29,40,36,33,33,19,11771
202209,13090,91,115,53,46,43,50,33,23,27,23,28,37,28,15116
202210,14854,85,90,68,55,56,29,31,40,33,37,41,58,0,18107
202211,15063,103,109,73,64,46,38,41,34,39,36,63,0,0,15854
202212,10589,92,108,72,50,51,35,39,26,42,40,0,0,0,11028
202301,11624,86,97,37,41,37,29,32,40,51,0,0,0,0,12026
202302,11533,88,56,46,28,20,42,27,39,0,0,0,0,0,10942
202303,10762,56,69,56,27,35,29,34,0,0,0,0,0,0,11105
202304,9164,46,71,45,28,37,36,0,0,0,0,0,0,0,10385
202305,11212,75,53,44,35,40,0,0,0,0,0,0,0,0,13001
202306,11974,55,50,39,35,0,0,0,0,0,0,0,0,0,13613
202307,9261,57,55,48,0,0,0,0,0,0,0,0,0,0,10560
202308,11111,68,85,0,0,0,0,0,0,0,0,0,0,0,10318
202309,13063,66,0,0,0,0,0,0,0,0,0,0,0,0,11985
202310,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,14556
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17014
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11229
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12743
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12054
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12195
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12516
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11419
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12396
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11812
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13068
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15168
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17096
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17329
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12177
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12447
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12585
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11315
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12104
202505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,466
