period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,2372,34,29,36,21,23,28,16,24,14,28,20,25,9,NaN
201502,1911,32,19,15,20,14,17,23,22,14,17,19,16,9,NaN
201503,2540,40,24,13,16,14,15,18,14,13,24,16,15,6,NaN
201504,2342,22,28,13,14,13,11,16,21,10,22,14,13,8,NaN
201505,2431,26,20,16,15,11,18,6,13,13,16,9,15,8,NaN
201506,1528,22,15,10,20,15,19,16,21,19,17,11,12,6,NaN
201507,2326,12,20,16,21,25,14,13,19,14,13,12,17,5,NaN
201508,2249,26,33,21,17,22,12,18,20,17,13,11,16,5,NaN
201509,2383,25,27,17,9,19,19,21,14,18,14,11,20,9,NaN
201510,4162,31,36,22,20,18,18,18,19,10,7,14,16,9,NaN
201511,4545,32,26,15,20,11,15,21,17,10,14,10,14,8,NaN
201512,1631,23,25,17,17,20,14,10,7,11,6,7,8,4,NaN
201601,1664,23,25,19,17,20,13,12,11,10,8,11,13,4,NaN
201602,2838,26,24,12,8,4,13,9,11,9,10,10,11,5,NaN
201603,2569,21,28,18,17,11,15,5,16,9,9,7,16,6,NaN
201604,1679,21,23,14,8,11,9,9,7,7,12,17,7,2,NaN
201605,2157,13,21,19,17,7,12,13,10,8,13,7,12,2,NaN
201606,2191,14,16,18,14,24,10,8,7,16,9,8,11,7,NaN
201607,2135,15,28,12,11,8,9,10,15,7,5,8,8,5,NaN
201608,2156,23,16,11,10,11,9,11,7,10,13,7,13,4,NaN
201609,3370,16,18,23,5,10,10,5,5,7,6,5,8,10,NaN
201610,2908,16,24,14,12,8,5,10,11,4,10,6,9,4,NaN
201611,2548,16,18,13,9,5,12,2,14,1,6,6,12,2,NaN
201612,2469,12,12,10,7,7,8,8,6,5,9,7,4,11,NaN
201701,1618,22,11,7,7,10,5,5,6,7,6,6,12,2,NaN
201702,1099,13,11,9,7,9,8,6,12,8,3,4,4,3,NaN
201703,896,6,8,13,5,11,6,4,6,3,9,3,6,3,NaN
201704,647,4,6,9,5,2,6,4,5,7,3,11,4,0,NaN
201705,328,5,7,10,6,5,1,3,2,1,3,2,2,1,NaN
201706,514,6,10,2,4,6,2,4,6,2,5,5,1,2,NaN
201707,442,3,10,3,4,3,5,4,1,3,3,1,3,1,NaN
201708,760,10,9,6,3,5,7,3,2,0,1,2,4,3,NaN
201709,529,6,3,1,2,1,1,2,4,5,2,0,1,1,NaN
201710,699,11,6,4,7,1,4,2,5,3,1,1,3,1,NaN
201711,913,4,12,2,2,3,1,2,0,1,2,0,5,0,NaN
201712,459,7,5,4,3,2,1,1,2,2,1,2,2,2,NaN
201801,604,2,6,3,1,0,2,2,1,2,2,2,2,1,NaN
201802,687,4,6,3,5,2,2,3,0,0,3,4,3,1,NaN
201803,679,4,0,1,3,4,1,0,4,6,6,1,2,2,NaN
201804,731,3,4,2,4,2,3,4,3,0,3,5,4,1,NaN
201805,820,2,6,5,2,0,2,1,3,1,0,2,3,1,NaN
201806,752,6,8,0,5,2,4,0,1,4,1,1,4,1,NaN
201807,590,6,4,2,5,2,1,2,4,0,3,1,2,2,NaN
201808,912,1,6,4,3,1,2,2,1,0,1,0,2,0,NaN
201809,780,6,7,2,2,4,0,1,5,1,2,0,0,0,NaN
201810,731,3,1,4,0,4,3,2,1,0,1,0,2,0,NaN
201811,614,2,7,0,2,1,1,0,0,2,2,1,2,0,NaN
201812,181,4,6,0,0,1,0,1,1,2,1,0,0,1,NaN
201901,374,1,4,0,3,2,1,1,2,3,1,1,0,0,NaN
201902,214,2,1,3,0,1,2,2,3,1,1,0,1,2,NaN
201903,163,2,3,0,2,2,3,0,2,2,2,0,2,0,NaN
201904,354,4,0,1,2,3,1,3,0,0,1,1,0,1,NaN
201905,276,2,2,1,0,0,3,1,1,1,0,1,1,1,NaN
201906,147,0,3,1,2,0,3,2,1,4,0,0,0,0,NaN
201907,360,2,1,0,0,0,0,1,0,0,0,0,1,0,NaN
201908,282,2,0,0,1,1,1,2,0,0,0,1,0,0,NaN
201909,54,2,0,0,1,0,1,3,0,0,1,1,0,0,NaN
201910,160,3,1,4,1,0,2,2,2,2,0,1,0,2,244
201911,150,1,0,2,4,0,2,0,0,0,0,1,0,1,121
201912,18,2,3,1,0,0,1,0,0,0,0,1,0,0,29
202001,263,4,1,1,0,0,1,0,1,0,0,0,0,0,5
202002,13,1,1,0,1,0,0,0,0,0,0,0,1,0,NaN
202003,51,1,0,0,0,0,0,0,0,0,0,1,0,0,NaN
202004,9,1,0,0,0,0,1,0,0,0,0,0,0,0,2
202005,0,3,0,0,0,0,1,0,0,0,0,1,1,0,NaN
202006,0,1,0,2,0,0,1,1,0,0,0,0,0,1,NaN
202007,0,2,0,0,1,0,1,0,0,1,0,0,0,0,NaN
202008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202009,0,0,0,0,0,0,0,1,0,1,0,0,0,0,NaN
202010,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NaN
202011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
202101,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8
202102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
202103,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NaN
202104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN
202106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
202107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
