period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,11426,86,86,81,56,63,50,35,45,41,56,47,50,30,NaN
201502,13465,88,76,55,71,47,49,58,53,47,57,63,60,31,NaN
201503,13418,93,75,42,47,41,46,55,49,31,47,43,50,19,NaN
201504,11051,79,76,58,55,51,50,54,54,35,50,51,61,22,NaN
201505,10110,82,82,60,68,71,50,42,47,59,59,49,41,31,NaN
201506,12148,82,87,55,73,70,64,60,71,59,45,42,57,27,NaN
201507,16835,68,103,67,85,76,74,61,62,69,60,63,56,25,NaN
201508,16990,106,144,100,75,63,73,67,83,59,62,50,55,30,NaN
201509,22633,131,146,110,71,76,83,94,66,75,66,72,78,38,NaN
201510,26879,148,150,106,104,84,88,86,89,68,62,77,80,40,NaN
201511,33231,132,145,109,115,90,77,74,67,66,60,63,83,39,NaN
201512,23722,134,147,116,92,88,81,75,54,67,55,63,78,33,NaN
201601,14125,149,137,100,81,63,55,64,76,59,56,60,49,22,NaN
201602,18204,141,133,91,64,56,66,72,56,52,75,59,72,39,NaN
201603,22594,154,144,80,83,72,70,53,67,61,49,65,64,34,NaN
201604,17775,145,130,72,63,76,59,65,60,55,63,52,60,34,NaN
201605,18947,137,146,114,70,73,66,79,59,55,63,53,66,19,NaN
201606,17029,135,146,106,76,102,84,75,58,62,59,52,58,40,NaN
201607,19469,115,165,76,90,73,72,54,72,57,70,66,56,34,NaN
201608,21027,147,140,98,77,70,74,75,55,70,68,53,68,40,NaN
201609,30379,123,136,125,78,78,97,67,85,74,64,57,70,38,NaN
201610,29563,134,171,113,90,91,59,61,67,49,76,71,85,39,NaN
201611,33275,133,139,100,88,69,79,59,56,39,67,67,86,37,NaN
201612,19384,147,126,119,72,59,65,63,49,46,71,55,62,44,NaN
201701,13648,140,108,62,73,52,38,62,48,48,49,42,63,26,NaN
201702,15296,116,117,71,54,44,65,54,51,62,42,51,54,37,NaN
201703,17387,103,99,77,49,65,72,49,56,36,58,41,62,25,NaN
201704,16259,81,97,69,41,50,49,46,37,55,47,53,53,24,NaN
201705,17523,78,96,68,47,54,44,46,55,53,42,40,37,14,NaN
201706,16496,87,111,70,59,61,56,67,53,39,49,53,41,19,NaN
201707,20875,98,121,68,61,63,75,55,50,49,47,35,45,35,NaN
201708,21451,120,142,104,72,84,73,57,62,62,52,52,43,27,NaN
201709,25286,141,141,84,89,73,66,50,74,70,52,44,60,28,NaN
201710,27090,103,122,111,81,78,59,60,64,65,53,50,61,39,NaN
201711,37188,91,154,97,80,64,78,59,57,45,50,58,67,27,NaN
201712,24955,106,149,91,79,53,67,59,49,41,49,61,63,23,NaN
201801,15521,100,115,68,68,60,41,59,44,43,56,40,47,18,NaN
201802,17162,101,140,80,74,52,55,45,49,43,42,73,48,30,NaN
201803,21719,108,113,60,70,69,43,58,47,54,52,45,53,31,NaN
201804,14898,108,108,78,56,61,64,51,43,41,48,46,54,26,NaN
201805,19795,104,110,76,74,60,61,37,42,44,47,48,44,17,NaN
201806,20448,109,127,71,66,51,63,49,60,59,54,50,38,36,NaN
201807,22854,121,134,95,84,63,62,59,58,42,54,49,62,27,NaN
