period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,15704,182,208,128,84,98,80,83,81,70,73,82,73,59,NaN
201502,21558,203,195,133,92,103,88,87,82,73,75,81,81,51,NaN
201503,22034,232,190,140,104,85,93,91,90,72,57,103,97,49,NaN
201504,17821,158,184,120,82,89,79,83,78,59,95,84,85,38,NaN
201505,16059,131,173,111,110,106,72,69,63,95,73,97,80,34,NaN
201506,19018,165,172,122,113,102,92,60,85,72,80,73,93,28,NaN
201507,16115,145,180,120,110,98,77,101,68,64,80,110,90,45,NaN
201508,17800,180,177,122,112,86,85,89,78,78,89,82,81,51,NaN
201509,19638,180,159,115,97,92,97,75,89,68,74,66,88,33,NaN
201510,24098,160,148,102,96,77,77,88,84,51,79,65,59,42,NaN
201511,22629,133,129,114,117,99,82,82,79,75,86,72,78,43,NaN
201512,19582,132,150,95,84,72,81,57,66,78,61,65,69,39,NaN
201601,13409,123,147,87,79,66,57,70,60,62,61,55,72,34,NaN
201602,12699,129,135,103,69,65,60,62,55,58,49,68,52,33,NaN
201603,13737,135,118,91,71,61,76,65,60,63,52,54,72,27,NaN
201604,13330,140,131,76,65,63,47,58,47,62,53,68,51,23,NaN
201605,14906,128,119,94,78,71,62,56,69,54,66,53,76,36,NaN
201606,16389,82,145,80,74,72,69,73,72,51,64,46,48,34,NaN
201607,15809,119,160,101,84,59,79,69,73,62,51,57,56,29,NaN
201608,15261,133,117,88,68,70,62,65,47,51,51,39,61,34,NaN
201609,15405,95,110,80,66,44,46,44,40,46,47,55,42,22,NaN
201610,13602,106,86,73,56,55,36,35,47,35,37,44,41,12,NaN
201611,12884,90,91,59,51,37,56,45,33,35,35,45,48,20,NaN
201612,8107,68,70,58,40,28,30,35,37,27,39,31,37,25,NaN
201701,6905,85,87,44,33,32,27,27,25,26,30,22,25,17,NaN
201702,8413,90,66,52,32,32,38,32,30,39,26,40,37,24,NaN
201703,9604,62,82,53,47,38,27,36,32,23,33,26,36,9,NaN
201704,5789,66,75,47,39,31,40,31,22,32,21,25,32,14,NaN
201705,4197,52,76,36,33,32,32,20,26,20,27,23,25,7,NaN
201706,4283,65,61,46,32,32,20,25,13,22,25,18,29,9,NaN
201707,3472,67,62,29,27,19,27,22,11,17,21,18,15,9,NaN
201708,5121,64,45,35,23,26,21,22,16,24,23,28,28,9,NaN
201709,4954,34,52,32,28,26,30,24,15,20,20,18,17,7,NaN
201710,4906,62,45,41,27,10,18,27,23,18,18,26,29,15,NaN
201711,5878,42,64,26,24,16,17,18,19,18,18,26,11,11,NaN
201712,2927,50,53,29,34,30,21,17,22,16,24,19,10,14,NaN
201801,3045,41,35,13,14,19,21,14,12,15,13,12,24,4,NaN
201802,2397,37,31,23,17,14,12,17,15,14,14,6,17,7,NaN
