period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,238896,1638,1685,1045,799,826,739,629,727,750,805,836,916,517,NaN
201502,232390,1671,1543,900,860,737,685,801,821,797,758,840,943,523,NaN
201503,226838,1486,1285,915,745,625,725,742,751,685,705,825,856,374,NaN
201504,175361,1193,1262,869,710,725,773,720,712,682,748,768,755,374,NaN
201505,181132,1229,1232,770,833,836,739,677,702,770,753,720,714,355,NaN
201506,205213,1260,1227,959,945,785,793,740,773,693,694,656,760,362,NaN
201507,216151,1170,1489,1014,934,783,787,811,749,720,682,780,732,404,NaN
201508,218045,1506,1642,1137,1022,882,951,875,821,726,801,709,823,443,NaN
201509,323196,1714,1872,1200,1104,1062,1044,998,857,852,785,846,944,508,NaN
201510,366279,1767,1854,1288,1167,1100,938,910,851,799,830,906,932,563,NaN
201511,349277,1688,1861,1409,1260,1064,950,925,864,861,900,912,1115,535,NaN
201512,282909,1619,1883,1377,1172,986,934,809,874,952,905,1031,1020,642,NaN
201601,255545,1683,1755,1185,1015,963,917,974,925,879,933,892,954,489,NaN
201602,249765,1676,1584,1005,875,815,868,847,735,867,808,892,894,479,NaN
201603,247382,1525,1391,941,867,768,880,774,815,802,784,792,893,349,NaN
201604,216092,1313,1327,863,820,828,711,787,691,702,685,816,663,378,NaN
201605,188842,1334,1242,967,860,817,828,802,780,701,750,634,741,391,NaN
201606,213425,1190,1356,1095,934,930,883,818,769,770,620,689,762,460,NaN
201607,238581,1277,1581,1099,1029,858,859,812,851,683,716,818,807,463,NaN
201608,255472,1467,1541,1224,956,943,853,936,670,789,846,841,913,517,NaN
201609,323759,1607,1876,1301,1106,974,1088,790,952,958,909,1053,1155,650,NaN
201610,336251,1762,1917,1455,1181,1159,856,972,987,944,1070,1089,1217,696,NaN
201611,376373,1734,1996,1353,1342,923,990,889,904,887,1022,1129,1209,525,NaN
201612,271351,1777,1766,1468,922,993,865,862,877,857,931,1009,942,598,NaN
201701,243697,1803,1708,932,880,794,699,776,777,804,795,732,945,421,NaN
201702,230060,1781,1321,984,761,716,770,751,716,793,645,823,791,442,NaN
201703,247096,1273,1354,858,732,660,709,700,745,618,714,686,700,372,NaN
201704,195573,1391,1243,839,743,666,702,685,586,704,624,604,674,299,NaN
