period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,4501,57,73,45,41,52,50,35,33,54,62,45,58,21,NaN
201502,5085,70,89,38,55,33,45,56,61,43,39,36,52,32,NaN
201503,5893,68,55,55,34,34,35,44,50,58,45,50,61,30,NaN
201504,5820,48,54,32,25,39,43,49,45,41,47,49,50,13,NaN
201505,8019,38,52,35,24,49,34,35,40,51,40,36,50,11,NaN
201506,10296,41,43,40,38,51,37,30,40,49,28,28,25,14,NaN
201507,9265,46,48,42,40,31,30,42,27,30,22,23,37,11,NaN
201508,8598,54,81,52,54,37,44,45,22,32,33,24,43,26,NaN
201509,9905,69,84,62,53,36,45,35,43,36,29,29,39,26,NaN
201510,13455,67,74,45,44,41,30,29,40,37,36,37,50,25,NaN
201511,11295,78,67,53,55,42,33,42,35,32,47,43,56,25,NaN
201512,8106,40,61,69,36,30,48,36,34,32,38,40,65,29,NaN
201601,7671,45,56,52,26,46,29,34,40,39,37,41,52,31,NaN
201602,8861,60,62,48,45,39,38,34,47,46,63,59,65,29,NaN
201603,8597,61,51,51,52,31,32,37,49,48,51,57,65,23,NaN
201604,8292,56,74,43,37,41,37,41,45,48,45,64,34,38,NaN
201605,9205,61,60,47,41,57,47,40,39,38,45,32,54,19,NaN
201606,8409,48,52,40,34,55,41,38,40,42,32,57,35,20,NaN
201607,7994,44,64,42,36,43,33,37,36,38,34,31,34,15,NaN
201608,6103,53,51,39,34,30,42,39,28,35,38,31,37,16,NaN
201609,9548,63,74,60,32,36,36,25,39,30,35,35,42,33,NaN
201610,10255,65,63,55,34,44,27,35,22,23,37,41,46,32,NaN
201611,10550,66,75,56,42,30,30,33,29,37,46,61,85,24,NaN
201612,8580,52,40,38,32,34,34,26,41,35,48,50,34,46,NaN
201701,7616,56,59,34,52,31,35,32,40,49,61,34,40,26,NaN
201702,8383,57,61,52,29,34,34,40,61,63,64,65,78,37,NaN
201703,10644,36,56,37,36,48,38,54,56,45,75,73,77,36,NaN
201704,8991,57,49,52,39,59,64,70,67,58,95,77,83,33,NaN
201705,11248,40,59,45,49,65,54,53,67,75,59,65,63,29,NaN
201706,10965,57,60,62,65,72,46,68,81,77,75,44,55,31,NaN
201707,9942,41,77,56,73,53,51,67,63,55,65,61,56,25,NaN
201708,8362,49,81,52,52,53,81,59,76,63,61,54,57,33,NaN
201709,9721,58,64,53,67,80,77,83,73,70,59,79,104,44,NaN
201710,12668,59,80,88,86,90,95,77,70,77,73,96,120,58,NaN
201711,12039,66,91,98,91,85,89,75,59,72,93,102,121,45,NaN
201712,8219,67,101,75,62,53,41,68,63,56,63,63,80,48,NaN
201801,10683,59,87,54,52,35,37,38,48,44,65,48,73,29,NaN
201802,10724,61,75,48,47,38,37,41,44,53,52,70,63,36,NaN
201803,12183,73,87,35,31,42,37,37,47,45,71,71,65,24,NaN
201804,11870,88,70,41,34,47,51,59,49,65,61,49,43,23,NaN
201805,11847,69,72,50,54,51,56,53,63,55,44,56,65,23,NaN
201806,14568,69,62,63,54,47,44,52,42,52,42,40,39,22,NaN
201807,9368,65,58,52,50,47,63,46,46,54,45,30,39,30,NaN
201808,11528,86,69,59,36,56,37,40,52,36,42,38,41,29,NaN
201809,12280,92,78,61,54,34,44,46,45,33,46,45,48,40,NaN
201810,13089,87,77,80,45,62,59,59,41,38,40,62,87,36,NaN
201811,14650,88,80,69,63,48,54,42,40,38,51,81,70,28,NaN
201812,9545,68,71,66,35,43,38,29,30,44,59,66,40,37,NaN
201901,11645,76,72,46,31,30,28,31,27,62,57,62,60,30,2851
201902,12645,76,89,50,43,35,38,35,59,46,70,63,47,32,3590
201903,12565,69,76,41,41,46,41,42,47,41,56,50,57,22,3798
201904,12654,71,65,48,28,39,43,59,46,51,70,66,39,42,3796
201905,13578,68,57,46,38,50,40,40,64,53,62,34,55,30,4340
201906,12419,79,64,46,48,46,32,48,54,51,37,69,65,37,3901
201907,10597,59,56,46,45,40,42,55,47,25,60,58,63,25,2910
201908,10662,53,60,44,41,51,49,43,29,57,53,66,58,34,3045
201909,11873,71,82,60,71,50,45,47,58,52,43,50,76,37,3828
201910,15381,77,79,69,37,60,38,49,60,54,58,51,69,44,16027
201911,14394,71,97,58,49,40,58,69,39,50,58,63,86,62,15329
201912,10210,78,77,46,34,45,44,43,44,53,70,90,89,36,10860
202001,14743,63,76,34,48,48,49,39,47,53,70,82,66,37,12860
202002,13163,79,51,50,55,41,37,55,61,56,63,63,63,32,13315
202003,13498,62,59,34,32,43,43,46,56,69,70,76,81,41,14770
202004,6959,31,43,38,25,36,45,59,55,57,65,88,84,44,7820
202005,10778,44,44,39,28,47,56,59,54,55,63,66,74,36,10800
202006,15167,56,53,50,42,55,55,71,53,86,83,84,100,55,13257
202007,15767,45,62,56,60,61,55,72,99,78,80,95,110,35,14759
202008,11441,48,64,63,91,65,79,117,85,86,100,97,88,62,14280
202009,16612,65,90,88,67,78,113,98,98,110,111,86,113,61,18049
202010,17650,77,96,64,72,106,119,83,126,158,92,92,113,56,19187
202011,16722,111,96,89,88,88,92,119,116,70,86,110,124,48,20070
202012,12601,82,77,107,84,97,93,114,85,93,87,117,119,51,17034
202101,11426,87,121,89,82,66,90,67,67,76,95,90,114,51,16470
202102,16257,106,121,97,94,96,49,88,84,109,97,123,103,76,19903
202103,17939,118,115,86,103,48,72,64,100,98,93,126,122,39,18916
202104,16566,77,106,93,50,62,82,95,89,80,81,118,79,35,17933
202105,16787,98,119,68,75,76,108,95,85,87,114,81,78,33,19639
202106,17912,101,95,92,90,88,87,81,78,98,70,84,75,25,20915
202107,15492,70,114,92,92,81,104,99,135,62,63,67,49,38,17162
202108,14239,92,118,101,97,101,97,118,65,87,64,63,64,31,16820
202109,14594,88,139,120,114,106,124,75,95,98,66,57,80,36,17239
202110,16182,107,119,120,111,142,68,86,83,74,61,63,66,38,19971
202111,19903,99,135,130,159,89,113,66,60,65,48,83,89,43,23585
202112,15263,72,106,123,77,77,69,44,50,51,50,67,68,41,21056
202201,12730,73,140,73,72,64,54,67,55,44,62,61,73,38,21137
202202,19225,85,90,91,65,53,40,52,67,67,57,53,71,39,26046
202203,18304,85,117,69,66,45,62,66,80,65,86,58,63,29,22797
202204,15482,78,89,73,52,61,63,71,64,60,67,72,74,41,21646
202205,16423,79,88,59,78,64,71,52,70,79,70,50,63,27,21421
202206,17543,76,90,75,61,66,66,58,53,76,48,60,47,16,25378
202207,18678,79,77,75,81,70,73,69,93,51,45,27,30,17,23815
202208,15782,80,83,99,80,76,75,85,53,52,37,50,32,23,20643
202209,17914,81,109,99,110,97,94,78,62,46,35,26,42,21,21589
202210,16499,112,112,90,81,93,69,57,55,48,43,49,51,0,23416
202211,14973,89,135,114,92,64,80,61,37,36,33,58,0,0,19835
202212,10784,80,108,130,76,57,49,27,34,27,46,0,0,0,14568
202301,14396,68,103,63,59,44,36,37,34,44,0,0,0,0,17861
202302,13100,94,79,64,56,52,36,28,40,0,0,0,0,0,15928
202303,14708,61,82,52,47,34,41,45,0,0,0,0,0,0,16338
202304,12006,57,81,43,36,34,38,0,0,0,0,0,0,0,16082
202305,15027,47,61,33,36,30,0,0,0,0,0,0,0,0,16454
202306,13495,47,47,50,48,0,0,0,0,0,0,0,0,0,15217
202307,11098,42,43,48,0,0,0,0,0,0,0,0,0,0,11762
202308,10608,38,53,0,0,0,0,0,0,0,0,0,0,0,11306
202309,12733,45,0,0,0,0,0,0,0,0,0,0,0,0,13609
202310,13496,0,0,0,0,0,0,0,0,0,0,0,0,0,13965
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12975
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10421
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12875
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13116
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14257
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13617
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14261
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14534
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13717
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14059
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15291
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16426
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16565
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12960
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10201
