period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,102524,331,434,256,167,183,134,116,141,143,126,138,147,94,NaN
201502,114688,418,413,233,190,165,124,130,149,155,172,156,158,58,NaN
201503,119874,403,349,254,179,144,146,141,131,137,157,129,137,71,NaN
201504,112468,354,380,215,162,174,156,122,147,138,134,157,118,74,NaN
201505,111046,339,380,266,200,162,224,150,154,149,150,162,143,66,NaN
201506,109734,414,345,243,231,203,190,162,171,180,134,129,136,63,NaN
201507,99821,341,379,274,221,171,162,145,137,139,120,125,136,59,NaN
201508,94043,351,412,257,219,228,175,144,143,119,109,113,109,72,NaN
201509,116828,423,469,314,215,237,187,179,131,141,112,131,156,87,NaN
201510,130963,438,494,319,307,256,201,154,146,112,134,128,178,100,NaN
201511,126897,500,473,362,283,226,160,139,148,153,164,188,204,110,NaN
201512,94805,408,454,278,277,185,179,117,116,157,139,165,170,60,NaN
201601,106699,377,446,258,214,150,127,123,119,117,138,154,138,71,NaN
201602,111041,439,436,229,180,123,125,133,117,155,136,144,128,83,NaN
201603,117908,413,381,206,151,156,142,138,145,135,137,155,158,45,NaN
201604,107900,390,393,210,161,183,153,171,164,120,108,106,117,79,NaN
201605,106246,386,364,225,216,185,173,162,150,117,146,101,125,60,NaN
201606,111272,383,374,289,221,212,175,157,142,154,98,131,109,49,NaN
201607,100093,358,439,268,210,166,141,122,130,94,103,84,102,60,NaN
201608,98167,417,436,308,225,166,166,155,120,118,97,90,111,53,NaN
201609,115099,438,563,311,246,187,209,109,148,132,96,116,143,68,NaN
201610,125588,497,615,363,250,252,173,163,151,132,137,143,157,107,NaN
201611,139069,622,628,357,298,208,175,158,139,115,144,177,218,99,NaN
201612,104794,468,413,335,187,192,152,102,145,130,137,150,145,86,NaN
201701,108741,402,410,221,193,158,129,106,96,112,127,107,152,55,NaN
201702,111223,497,349,235,196,146,110,123,130,168,134,137,115,74,NaN
201703,127391,350,392,226,155,154,116,124,148,144,154,151,139,49,NaN
201704,104826,364,332,219,169,141,158,167,147,159,143,119,126,60,NaN
201705,121681,314,348,228,207,205,155,128,150,138,122,128,134,59,NaN
201706,118395,358,384,240,253,196,144,174,131,122,129,123,124,74,NaN
201707,98366,339,341,280,215,173,172,174,130,122,122,95,105,40,NaN
201708,101251,408,416,315,201,219,181,140,121,134,87,106,111,76,NaN
201709,121564,395,478,286,274,213,174,151,153,123,100,108,127,91,NaN
201710,137583,472,496,358,261,211,189,144,122,98,117,131,185,83,NaN
201711,147402,502,544,321,266,188,148,138,120,109,131,182,166,74,NaN
201712,108430,431,441,269,207,165,141,111,98,119,150,132,134,74,NaN
201801,122207,395,376,255,169,157,122,95,82,126,127,135,161,69,NaN
201802,121872,401,404,225,164,148,112,122,132,132,100,127,119,60,NaN
201803,133427,337,343,217,179,150,135,160,154,135,139,142,135,54,NaN
201804,116649,378,370,212,168,178,195,166,127,139,142,110,118,51,NaN
201805,133758,323,374,233,208,185,188,157,170,147,139,117,117,48,NaN
201806,121244,385,333,288,240,208,158,155,169,138,114,100,92,66,NaN
201807,100472,377,402,308,231,174,169,135,159,105,107,87,89,50,NaN
201808,104940,401,516,300,187,208,182,132,140,136,103,110,102,60,NaN
201809,125970,541,522,338,284,224,188,151,147,114,111,107,129,102,NaN
201810,144929,555,570,464,307,228,197,187,139,121,129,143,145,85,NaN
201811,150961,591,628,349,286,233,200,153,130,132,132,164,143,80,NaN
201812,102355,490,481,328,236,211,139,127,112,113,132,146,150,69,NaN
201901,130920,432,429,288,213,155,129,103,104,145,110,100,126,58,18459
201902,125847,415,405,283,165,150,125,122,138,127,126,146,125,53,18423
201903,131128,426,391,210,169,131,132,163,157,131,129,128,108,35,18457
201904,128161,443,344,282,174,177,174,142,143,148,126,83,76,63,19488
201905,129488,342,358,236,192,182,148,138,150,115,101,86,131,66,20604
201906,119773,331,358,247,220,197,155,172,120,98,70,100,115,56,18792
201907,109539,369,375,263,192,167,174,139,102,77,100,133,112,66,15782
201908,105198,371,417,299,199,221,162,126,76,111,106,106,136,77,20208
201909,130019,434,430,295,250,179,142,97,129,133,103,148,124,77,20902
201910,147529,444,423,340,213,169,129,161,191,144,137,138,163,109,155994
201911,156514,420,449,255,221,128,156,173,160,142,133,197,187,108,162974
201912,108565,397,411,203,126,163,132,145,171,139,158,193,184,128,109924
202001,135079,354,324,145,196,162,172,160,168,139,163,180,200,103,140195
202002,130949,311,249,247,202,173,180,177,151,181,151,177,188,88,138675
