period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,305,2,4,5,2,0,1,0,1,0,1,1,0,1,NaN
201502,271,4,5,1,1,0,0,0,0,1,0,0,3,0,NaN
201503,331,3,2,0,0,1,1,0,1,1,0,1,1,0,NaN
201504,303,2,2,2,0,2,1,1,0,1,3,0,1,0,NaN
201505,317,3,3,1,1,1,3,3,0,0,1,1,1,1,NaN
201506,494,2,1,1,4,2,2,0,0,0,0,1,2,0,NaN
201507,286,3,1,1,0,1,1,0,1,2,0,1,1,0,NaN
201508,174,1,3,0,2,0,1,2,0,1,3,0,2,0,NaN
201509,368,3,2,1,6,0,1,2,0,1,1,0,0,0,NaN
201510,475,7,7,1,1,0,1,0,0,0,0,0,1,0,NaN
201511,542,4,1,3,0,2,0,2,0,0,0,0,2,1,NaN
201512,375,2,1,0,0,2,1,0,0,1,1,0,1,1,NaN
201601,413,4,4,1,1,1,0,2,0,0,1,0,0,0,NaN
201602,383,4,2,2,0,1,0,1,0,0,0,1,1,0,NaN
201603,687,6,4,0,0,0,2,0,1,2,1,0,1,0,NaN
201604,393,4,2,2,0,0,1,1,0,0,0,0,0,0,NaN
201605,297,3,1,1,3,1,1,0,0,0,1,2,0,0,NaN
201606,545,2,1,2,1,2,1,0,2,0,0,1,2,0,NaN
201607,248,2,3,0,1,2,0,0,0,0,0,0,0,0,NaN
201608,271,2,6,0,0,0,0,1,0,1,0,0,0,1,NaN
201609,354,3,2,4,3,0,0,1,0,0,1,0,1,1,NaN
201610,428,3,4,2,0,2,0,0,0,0,0,1,0,0,NaN
201611,582,3,2,2,0,1,0,2,0,1,0,0,0,0,NaN
201612,410,2,0,5,0,1,0,0,0,2,0,0,0,1,NaN
201701,414,3,3,1,0,1,0,1,1,0,2,1,0,0,NaN
201702,379,5,1,2,1,0,0,2,1,2,0,1,0,0,NaN
201703,477,3,2,0,2,1,0,0,0,1,1,0,0,0,NaN
201704,473,3,3,4,2,2,3,0,1,1,0,0,0,0,NaN
201705,539,5,4,4,1,3,1,1,0,0,1,1,1,0,NaN
201706,349,3,3,4,1,1,0,0,0,0,1,0,1,0,NaN
201707,503,5,1,3,1,6,0,1,0,0,0,1,0,2,NaN
201708,327,1,7,7,1,2,2,1,1,0,1,0,2,0,NaN
201709,556,6,5,3,1,1,0,1,1,2,2,0,1,0,NaN
201710,338,6,1,1,1,3,2,0,2,1,1,4,0,1,NaN
201711,778,4,4,3,1,1,1,2,2,0,0,2,1,0,NaN
201712,484,4,2,3,1,1,4,0,1,1,0,1,1,0,NaN
201801,478,1,6,2,1,3,0,0,0,2,2,2,2,0,NaN
201802,483,5,0,2,3,4,1,1,2,1,2,0,0,1,NaN
201803,466,5,4,1,0,2,6,3,0,0,2,1,1,0,NaN
201804,396,10,4,3,1,1,3,2,1,0,1,2,0,1,NaN
201805,537,1,4,2,1,2,2,2,0,1,0,1,2,0,NaN
201806,509,6,2,6,4,3,3,0,1,1,0,2,2,0,NaN
201807,549,5,0,5,1,1,0,3,0,0,1,1,0,0,NaN
201808,617,5,3,1,4,1,1,2,1,1,2,1,0,0,NaN
201809,425,5,6,5,1,4,3,0,2,2,0,2,1,3,NaN
201810,962,9,6,4,3,2,1,3,2,2,3,1,0,1,NaN
201811,752,5,3,7,3,2,1,1,2,1,1,1,2,1,NaN
201812,478,2,5,5,2,2,0,0,0,1,2,2,0,0,NaN
201901,447,8,5,7,2,2,2,0,4,0,1,1,0,1,415
201902,614,5,7,1,3,4,1,0,4,0,2,2,4,0,103
201903,469,15,4,1,1,0,1,0,3,1,2,2,1,0,400
201904,552,5,3,0,3,2,1,1,1,1,0,1,2,1,72
201905,346,6,3,2,0,0,4,1,1,1,3,1,3,1,585
201906,380,5,2,2,5,1,1,0,2,1,1,1,1,1,NaN
201907,481,2,2,3,0,2,3,0,2,0,1,1,0,1,666
201908,379,4,6,2,3,0,1,0,1,2,3,1,2,0,NaN
201909,582,5,1,1,3,5,1,1,1,1,1,2,2,0,422
201910,505,3,6,6,2,1,0,1,3,0,1,0,0,1,574
201911,574,4,11,2,1,3,2,1,1,1,2,1,4,0,615
201912,360,4,2,1,2,0,4,3,1,0,0,3,2,2,433
202001,562,4,2,2,2,1,0,5,0,1,2,3,0,0,586
202002,675,3,2,1,4,2,1,1,3,2,1,5,4,1,440
202003,567,1,2,2,1,4,2,2,3,2,1,2,3,0,646
202004,152,1,10,1,1,2,1,3,5,1,1,2,1,0,311
202005,413,0,2,2,1,3,3,1,1,5,1,1,2,0,413
202006,406,2,2,0,1,2,2,0,1,2,1,1,0,0,604
202007,627,3,1,2,1,2,0,0,2,0,2,2,0,0,686
202008,600,5,1,1,4,0,1,0,2,1,2,4,0,0,824
202009,718,3,0,2,3,2,2,1,1,0,0,1,0,0,785
202010,443,3,1,4,2,2,0,0,0,1,0,1,0,0,756
202011,265,2,3,1,0,1,0,1,0,0,0,0,2,0,797
202012,188,3,3,2,3,2,0,2,0,1,0,1,2,0,403
202101,364,1,2,2,0,0,1,1,0,2,0,0,1,0,639
202102,260,2,1,3,2,1,3,0,0,0,0,0,0,0,885
202103,477,3,2,1,0,1,1,0,0,0,0,0,0,1,846
202104,683,1,2,1,2,1,2,0,1,1,1,0,1,0,939
202105,295,0,1,1,1,0,0,0,0,1,0,1,0,0,545
202106,233,2,1,1,0,1,0,0,1,0,0,0,0,0,664
202107,288,0,0,1,1,0,0,0,1,1,0,0,2,0,748
202108,208,2,0,0,0,1,0,0,1,0,1,0,1,0,674
202109,340,2,1,2,2,0,0,0,0,0,0,0,0,0,745
202110,463,4,1,0,1,0,0,0,0,0,1,1,0,0,734
202111,160,2,1,1,3,0,0,0,1,0,1,0,1,0,723
202112,354,2,0,1,3,0,0,0,0,0,0,1,0,0,451
202201,335,3,1,0,1,0,0,2,0,1,0,0,2,0,563
202202,210,2,1,0,0,1,1,0,0,0,3,0,0,0,785
202203,398,4,2,1,1,1,1,0,0,0,0,0,1,0,394
202204,331,0,1,0,0,0,1,1,2,0,1,0,0,0,656
202205,201,0,2,0,0,1,1,0,0,0,4,1,0,0,636
202206,202,0,0,3,0,0,0,0,0,0,1,1,2,0,804
202207,309,0,2,2,1,0,0,1,0,0,0,0,0,0,764
202208,311,1,1,1,2,0,0,2,2,0,1,0,0,0,255
202209,297,2,3,1,2,1,2,0,1,2,1,0,1,0,639
202210,516,1,1,2,0,0,2,0,0,0,1,1,1,0,484
202211,266,1,1,0,1,0,2,0,0,0,3,0,0,0,344
202212,148,2,1,1,0,0,0,0,1,0,0,0,0,0,210
202301,299,2,0,0,0,1,0,0,0,0,0,0,0,0,345
202302,353,1,0,0,0,0,0,0,0,0,0,0,0,0,326
202303,300,0,1,0,1,1,1,1,0,0,0,0,0,0,308
202304,188,2,0,0,0,0,1,0,0,0,0,0,0,0,230
202305,279,0,1,2,2,0,0,0,0,0,0,0,0,0,396
202306,166,1,0,1,2,0,0,0,0,0,0,0,0,0,361
202307,501,1,1,0,0,0,0,0,0,0,0,0,0,0,443
202308,332,0,0,0,0,0,0,0,0,0,0,0,0,0,386
202309,504,1,0,0,0,0,0,0,0,0,0,0,0,0,560
202310,587,0,0,0,0,0,0,0,0,0,0,0,0,0,862
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,573
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,309
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,322
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,341
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,348
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,381
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,325
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,279
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,351
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,536
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,737
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,520
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,332
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,264
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,423
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,319
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,522
202505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23
