period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,5882,47,53,20,25,22,29,21,10,20,20,21,13,11,NaN
201502,6014,63,38,35,27,21,15,26,20,23,17,21,18,13,NaN
201503,6496,56,59,27,15,19,20,21,19,14,16,22,33,5,NaN
201504,6601,46,51,26,19,27,20,17,28,18,24,23,20,7,NaN
201505,6545,38,47,26,39,27,24,20,17,23,28,31,26,13,NaN
201506,6999,53,40,37,30,21,26,22,31,22,28,29,18,8,NaN
201507,7416,56,61,41,40,32,26,30,22,17,21,24,19,11,NaN
201508,5821,62,56,58,48,35,32,31,49,25,25,18,16,8,NaN
201509,7865,77,84,78,53,62,44,44,51,21,23,30,33,15,NaN
201510,9043,100,146,94,108,86,68,50,49,30,36,41,35,27,NaN
201511,9775,118,115,125,88,80,68,71,56,50,38,47,46,24,NaN
201512,7083,86,130,87,78,75,59,35,41,31,36,47,37,22,NaN
201601,7452,75,93,78,53,45,33,37,42,29,37,40,41,17,NaN
201602,9374,89,91,63,43,37,29,33,29,31,36,28,29,10,NaN
201603,8955,76,76,56,35,23,30,31,34,26,37,28,29,13,NaN
201604,8751,97,78,53,29,36,23,31,18,25,25,35,22,10,NaN
201605,8164,92,59,38,29,27,37,44,25,28,26,26,28,9,NaN
201606,7885,54,53,40,35,42,38,29,27,26,18,24,14,5,NaN
201607,6863,56,56,35,35,32,30,18,23,16,29,18,11,9,NaN
201608,7589,68,68,42,31,20,23,28,19,28,21,15,19,7,NaN
201609,9686,66,80,44,38,34,23,25,22,16,13,17,14,9,NaN
201610,9609,76,99,53,44,46,33,34,21,28,22,29,31,18,NaN
201611,10543,111,78,50,51,31,39,28,23,27,31,31,37,12,NaN
201612,8064,80,54,37,28,29,24,23,20,30,22,26,23,16,NaN
201701,8445,73,70,39,22,29,21,16,19,19,28,25,33,7,NaN
201702,8793,74,68,53,35,25,28,24,30,42,22,29,24,16,NaN
201703,10740,76,67,40,26,21,31,29,36,19,21,31,22,7,NaN
201704,9681,72,58,20,29,24,35,36,23,26,32,21,23,8,NaN
201705,10280,54,51,41,28,34,28,35,28,22,27,14,19,12,NaN
201706,10510,59,49,31,27,35,28,29,22,23,18,19,22,9,NaN
201707,8549,61,65,39,32,24,39,24,26,18,22,14,16,4,NaN
201708,7866,55,59,44,40,29,28,16,20,16,16,21,22,6,NaN
201709,9247,76,70,42,56,39,32,31,33,19,28,21,26,19,NaN
201710,12076,94,80,71,54,50,37,38,33,40,28,35,29,17,NaN
201711,10986,86,126,65,48,40,37,33,30,21,22,27,45,19,NaN
201712,8659,104,83,69,48,41,29,20,21,32,26,30,29,13,NaN
201801,9823,100,93,53,44,34,26,25,26,28,36,15,31,7,NaN
201802,10462,104,111,68,56,31,24,28,34,33,23,42,31,12,NaN
201803,10204,101,126,66,38,41,28,49,41,31,35,27,30,16,NaN
201804,9692,118,116,57,43,31,43,34,29,33,25,20,22,18,NaN
201805,12800,86,78,51,45,46,50,30,39,27,32,25,33,8,NaN
201806,15136,93,67,70,62,45,44,45,25,33,25,25,16,8,NaN
201807,11703,98,76,69,53,49,38,25,33,22,26,20,26,7,NaN
201808,12003,96,87,83,59,54,42,30,30,26,16,27,25,14,NaN
201809,12892,118,113,86,63,46,44,39,44,32,34,24,38,16,NaN
201810,16935,132,121,108,74,55,44,59,33,31,17,34,40,25,NaN
201811,16308,130,150,75,73,57,47,46,31,36,36,32,43,20,NaN
201812,12255,95,118,73,68,51,28,24,26,30,38,35,22,18,NaN
201901,12994,115,94,78,50,29,23,29,30,32,19,27,37,18,4215
201902,12645,115,103,77,36,37,29,45,33,35,30,34,28,8,3752
201903,12990,92,105,49,40,30,46,39,32,26,37,33,20,17,3454
201904,13878,91,81,53,44,41,53,46,36,51,43,26,29,13,3696
201905,14314,93,62,45,55,43,34,45,36,31,22,26,29,11,3807
201906,14328,92,64,50,59,41,47,30,19,22,24,28,25,13,3997
201907,12606,76,91,62,65,45,52,40,30,16,26,29,24,21,3236
201908,12460,104,96,68,48,44,47,37,18,23,34,29,34,11,3067
201909,16009,120,106,75,66,49,44,36,38,41,18,30,27,13,4048
201910,18719,116,106,97,82,35,24,35,34,29,29,31,39,21,19561
201911,17796,103,133,97,62,31,53,58,39,32,39,43,47,31,19605
201912,15185,137,119,61,28,52,55,30,42,32,45,43,44,24,16118
202001,16969,124,97,52,55,67,34,38,45,48,48,48,51,25,17622
202002,17549,76,87,58,61,54,46,39,44,44,44,34,51,22,18793
202003,15527,70,69,68,42,46,47,47,53,54,37,35,42,29,20682
202004,8195,88,82,46,51,45,48,58,43,46,44,46,47,29,9870
202005,15982,92,106,57,63,78,53,68,67,52,58,53,48,19,15521
202006,20265,96,134,68,84,82,79,62,66,70,51,51,48,21,20957
202007,22324,100,94,83,79,73,75,63,50,52,55,37,43,21,22885
202008,18766,102,109,92,84,67,50,43,53,55,37,32,28,25,21959
202009,21910,131,144,108,76,76,74,55,47,42,42,32,38,27,24632
202010,23966,122,175,104,99,84,83,48,53,49,39,47,60,35,24551
202011,22500,152,166,112,101,80,61,65,58,45,43,55,59,28,29248
202012,17106,117,153,103,78,64,60,47,41,36,48,50,40,12,20294
202101,15861,112,145,98,74,58,43,36,49,17,33,32,31,24,20019
202102,18412,144,159,95,67,47,32,43,42,44,44,44,39,30,21317
202103,22019,140,151,82,72,43,46,48,44,57,46,37,50,30,26828
202104,21835,132,108,87,51,53,46,53,58,42,39,42,38,30,27950
202105,18786,150,140,95,73,63,74,46,53,47,43,46,53,20,21860
202106,20881,130,125,88,82,72,72,65,40,58,51,57,36,13,25114
202107,21253,98,124,86,87,74,40,41,50,33,45,47,33,20,27886
202108,19249,109,127,78,95,71,71,52,40,49,45,28,33,22,22101
202109,20904,121,131,110,82,83,65,45,56,45,26,34,39,17,28192
202110,23819,155,170,120,79,88,68,56,51,45,42,63,42,27,32191
202111,23072,164,157,121,98,78,102,67,52,62,62,63,68,33,37930
202112,18438,116,138,92,78,74,60,54,43,53,44,72,45,47,29384
202201,19001,121,124,71,67,48,42,50,41,43,51,56,47,27,29964
202202,21262,128,121,89,73,41,59,57,50,57,49,51,34,38,33621
202203,30122,117,104,71,66,58,45,43,52,55,51,38,48,23,36646
202204,18664,109,96,63,48,61,56,61,53,54,42,48,29,17,26104
202205,17661,121,115,94,63,69,64,53,43,55,38,38,40,17,26070
202206,21822,103,124,76,66,70,42,59,45,44,30,30,37,15,26744
202207,20473,99,117,70,74,62,64,33,65,28,38,37,25,13,23133
202208,15713,133,116,82,61,60,51,56,48,33,29,16,27,18,17454
202209,19010,121,130,92,82,62,81,48,50,33,32,22,35,13,21427
202210,21265,159,133,125,96,95,61,54,38,32,48,45,50,0,24100
202211,19487,150,180,108,92,50,54,44,30,37,49,40,0,0,22281
202212,14222,127,102,88,47,57,42,34,42,39,32,0,0,0,15452
202301,19208,109,99,52,53,39,30,36,23,25,0,0,0,0,19251
202302,14939,114,94,58,24,31,38,30,33,0,0,0,0,0,16874
202303,14088,74,97,51,42,41,32,42,0,0,0,0,0,0,16985
202304,11783,94,85,55,44,37,31,0,0,0,0,0,0,0,15285
202305,14683,76,68,47,56,42,0,0,0,0,0,0,0,0,16355
202306,16320,77,79,84,66,0,0,0,0,0,0,0,0,0,17702
202307,13306,81,81,70,0,0,0,0,0,0,0,0,0,0,14157
202308,13287,89,99,0,0,0,0,0,0,0,0,0,0,0,13775
202309,13984,104,0,0,0,0,0,0,0,0,0,0,0,0,15701
202310,15594,0,0,0,0,0,0,0,0,0,0,0,0,0,18343
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20211
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13972
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16193
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15387
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18137
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17058
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18271
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18375
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17410
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16478
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20011
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21495
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21114
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16471
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13761
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13563
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15032
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14678
202505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1940
