period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,2235,20,23,13,4,8,5,6,8,4,8,5,3,2,NaN
201502,2081,31,18,8,11,4,3,7,1,6,6,3,8,5,NaN
201503,2281,23,18,10,8,10,7,12,6,7,6,6,11,4,NaN
201504,1753,15,10,14,3,6,5,4,4,5,1,7,6,0,NaN
201505,1641,26,9,12,9,10,6,7,6,3,9,3,6,2,NaN
201506,1643,16,6,7,9,11,5,4,10,0,2,1,0,3,NaN
201507,1493,12,14,6,9,4,9,2,8,1,5,4,1,1,NaN
201508,1568,12,18,11,5,3,5,5,2,1,3,5,6,1,NaN
201509,2093,28,19,14,6,5,7,4,5,6,3,2,6,1,NaN
201510,1627,21,18,7,6,5,2,3,0,1,2,5,3,3,NaN
201511,1768,23,21,11,10,6,2,4,2,2,3,4,0,8,NaN
201512,1252,13,17,8,4,3,6,5,0,1,2,4,2,2,NaN
201601,1334,15,7,7,6,4,2,0,1,1,1,3,4,2,NaN
201602,987,20,5,7,3,2,1,2,0,7,2,3,6,0,NaN
201603,1009,22,8,5,2,0,4,3,5,7,4,4,2,0,NaN
201604,940,8,8,3,3,4,3,2,5,1,0,1,3,3,NaN
201605,927,6,4,3,5,2,7,4,3,3,2,2,2,1,NaN
201606,919,11,5,10,3,5,4,1,1,5,0,2,2,2,NaN
201607,703,11,6,12,1,4,1,1,1,4,0,4,1,0,NaN
201608,885,11,12,4,4,3,3,3,2,2,0,0,0,1,NaN
201609,1238,15,10,8,5,2,2,1,0,3,2,1,4,1,NaN
201610,980,16,8,3,0,3,0,4,1,1,1,2,2,2,NaN
201611,1244,15,5,4,5,2,3,1,2,3,1,4,1,3,NaN
201612,970,14,6,3,2,1,1,1,1,2,1,2,2,1,NaN
201701,1170,10,4,4,3,1,3,1,1,3,1,1,0,2,NaN
201702,966,12,3,3,8,2,0,1,2,2,0,1,2,1,NaN
201703,1003,4,5,3,3,3,2,4,2,2,2,1,3,0,NaN
201704,640,9,5,3,2,1,0,0,1,1,1,1,1,0,NaN
201705,608,5,7,3,3,4,2,3,4,5,1,1,2,0,NaN
201706,491,10,7,2,6,4,4,1,2,0,1,2,1,2,NaN
201707,412,6,2,5,1,1,3,4,0,1,1,2,0,1,NaN
201708,504,8,10,1,1,4,2,4,0,2,1,1,3,0,NaN
201709,403,4,7,3,4,2,2,0,2,1,1,0,1,3,NaN
201710,326,11,5,1,2,5,2,1,0,1,2,0,1,1,NaN
201711,307,13,5,4,3,5,2,3,0,3,2,7,4,0,NaN
201712,150,6,2,3,4,0,3,1,3,2,1,5,1,2,NaN
201801,219,4,2,4,1,2,1,0,0,2,1,1,2,2,NaN
201802,146,5,1,4,1,1,2,2,3,0,0,0,1,0,NaN
201803,155,7,4,2,1,4,2,1,2,0,2,1,1,0,NaN
201804,18,3,0,1,2,1,0,1,2,0,0,1,1,0,NaN
201805,40,5,7,3,2,2,2,1,3,1,2,1,0,0,NaN
201806,29,5,4,4,6,2,2,1,0,0,2,0,2,0,NaN
201807,30,3,5,6,1,1,1,0,1,0,0,0,0,1,NaN
201808,31,4,7,1,2,0,0,0,1,0,1,1,2,0,NaN
201809,24,10,11,5,0,1,0,0,2,1,1,3,1,3,NaN
201810,4,9,2,0,3,1,2,2,0,0,1,2,2,0,NaN
201811,55,5,5,3,2,2,0,0,2,2,1,4,2,2,NaN
201812,-1,7,2,3,1,1,2,1,0,0,0,0,1,1,NaN
201901,0,9,8,0,2,2,1,2,0,2,2,0,1,0,153
201902,2,4,3,1,4,0,0,0,2,0,2,1,0,1,NaN
201903,0,5,2,3,2,3,0,1,1,0,1,2,0,0,153
201904,0,4,3,3,1,4,2,2,1,0,1,0,0,0,NaN
201905,-1,4,5,3,2,1,2,1,1,0,0,0,1,2,NaN
201906,1,3,5,3,3,3,3,0,0,0,1,0,0,0,NaN
201907,0,7,4,4,2,2,1,0,1,0,0,0,1,0,608
201908,0,2,2,2,3,2,1,1,0,0,0,0,2,0,NaN
201909,1,6,5,3,3,2,0,0,0,0,0,1,0,0,153
201910,1,8,5,2,0,1,1,0,0,1,1,0,1,1,201
201911,0,6,7,3,0,0,0,3,0,0,1,0,1,0,48
201912,0,4,2,1,0,1,0,0,0,0,0,0,2,0,177
202001,1,0,4,0,2,1,0,0,1,1,2,0,0,0,201
202002,0,1,1,1,2,0,1,0,0,1,0,2,0,0,72
202003,0,0,2,0,1,0,0,1,1,0,2,0,0,0,140
202004,0,2,2,1,1,0,1,1,1,0,0,0,0,0,109
202005,0,0,1,0,2,0,1,1,2,0,1,1,1,0,153
202006,0,0,1,1,2,2,1,1,0,0,0,0,1,0,247
202007,0,3,4,3,0,1,0,0,0,1,1,0,1,0,157
