period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,123418,489,637,365,255,274,230,185,202,238,227,216,226,135,NaN
201502,135496,624,603,342,298,234,202,227,239,241,243,226,254,114,NaN
201503,144961,603,519,380,254,221,214,231,214,233,237,216,253,115,NaN
201504,136178,497,534,322,217,263,237,206,231,218,218,249,203,99,NaN
201505,137398,479,547,361,290,268,305,229,237,238,242,244,238,102,NaN
201506,139517,573,473,349,335,300,266,230,260,267,199,197,193,91,NaN
201507,128156,501,546,384,322,252,239,234,206,200,176,188,204,90,NaN
201508,120908,525,625,407,347,321,274,240,230,187,177,164,185,114,NaN
201509,146494,659,720,508,348,357,300,274,243,216,177,212,246,134,NaN
201510,167470,682,801,499,499,407,312,249,240,189,215,220,275,165,NaN
201511,162839,797,751,585,459,388,285,264,247,247,267,292,322,177,NaN
201512,120527,603,715,472,414,308,306,201,200,227,223,268,296,119,NaN
201601,131923,560,655,412,317,262,203,205,214,190,228,255,245,132,NaN
201602,139404,664,651,385,293,220,207,223,202,253,251,246,238,132,NaN
201603,146753,637,570,347,258,230,220,228,253,237,243,253,261,88,NaN
201604,135883,613,621,335,243,280,233,267,245,206,186,220,184,139,NaN
201605,134699,602,532,350,315,296,283,267,230,197,242,179,225,92,NaN
201606,139215,549,533,414,313,333,271,235,223,246,156,231,175,79,NaN
201607,122993,521,614,379,306,265,218,192,203,163,174,149,154,90,NaN
201608,121777,608,628,431,309,239,246,236,179,195,162,147,175,84,NaN
201609,146552,642,786,463,359,277,283,175,220,192,156,183,215,117,NaN
201610,156872,728,857,502,352,369,249,248,203,193,208,228,250,170,NaN
201611,172736,875,840,493,421,284,265,237,206,194,231,287,355,147,NaN
201612,132147,663,546,445,264,286,221,160,228,206,213,243,209,156,NaN
201701,133149,575,593,318,281,233,196,166,163,192,227,178,229,95,NaN
201702,137867,690,530,364,286,220,188,196,240,284,226,248,227,134,NaN
201703,160843,505,569,328,235,234,196,223,257,221,263,260,250,98,NaN
201704,132632,536,475,314,258,238,275,289,254,259,279,229,244,108,NaN
201705,155441,466,508,350,301,339,269,227,261,251,213,221,226,107,NaN
201706,152357,538,540,356,368,323,230,287,249,234,230,199,215,121,NaN
201707,127427,481,521,413,347,268,280,277,235,206,220,183,184,77,NaN
201708,129067,554,607,448,314,319,313,230,226,225,175,190,203,121,NaN
201709,152950,589,698,409,426,343,295,275,267,225,197,216,264,169,NaN
201710,175813,701,710,540,419,370,333,272,238,229,234,278,342,170,NaN
201711,183884,716,825,528,440,332,294,262,224,222,260,331,353,150,NaN
201712,135068,662,667,439,339,279,227,205,197,221,250,245,249,149,NaN
201801,152278,589,604,386,284,244,192,168,161,210,244,211,276,116,NaN
201802,155337,612,629,372,281,231,186,202,220,226,188,252,226,118,NaN
201803,168065,554,593,337,262,241,219,258,258,220,258,255,242,103,NaN
201804,149885,636,586,335,260,271,310,275,215,247,236,194,191,101,NaN
201805,169256,516,573,357,320,298,305,255,282,242,223,208,223,84,NaN
201806,158348,594,496,443,386,324,262,264,248,231,188,175,158,103,NaN
201807,127805,575,581,454,353,284,288,223,245,189,192,142,162,93,NaN
201808,134807,616,721,463,301,336,275,218,234,209,167,188,181,108,NaN
201809,160336,813,777,521,424,327,291,242,253,187,196,190,226,167,NaN
201810,184460,850,814,681,454,367,314,324,226,204,196,255,293,156,NaN
201811,191340,866,925,530,447,350,321,251,217,224,230,285,275,148,NaN
201812,129817,714,704,508,361,327,219,185,183,195,240,260,225,142,NaN
201901,163042,682,650,447,314,229,192,173,178,250,198,198,237,115,26141
201902,159885,665,649,435,266,239,209,205,245,212,243,252,211,96,25868
201903,166081,650,627,325,264,223,234,256,255,211,238,221,196,79,26316
201904,162354,646,545,414,274,275,280,260,237,263,249,183,150,123,27052
201905,164785,549,528,355,312,291,237,233,266,211,198,154,228,117,29432
201906,152968,555,546,371,351,307,247,268,204,187,144,206,215,111,26690
201907,139840,575,572,414,324,269,282,243,191,130,194,226,215,122,23202
201908,135165,581,635,444,314,341,272,215,130,203,201,210,237,131,26416
201909,166024,710,677,453,421,298,247,193,236,232,174,243,240,135,29353
201910,191705,708,678,550,357,290,205,264,298,247,235,230,291,190,202042
201911,198095,665,764,447,360,218,292,315,259,237,254,318,346,212,207674
201912,140781,685,654,351,212,286,244,237,275,236,291,346,343,204,144242
202001,175114,592,546,251,323,291,269,255,276,250,298,331,325,184,177987
202002,170105,506,423,380,334,279,288,280,270,294,272,291,333,149,179288
202003,148630,395,493,320,254,294,253,295,292,327,269,288,327,185,194474
202004,78635,423,460,317,263,269,277,318,277,273,294,325,315,154,83543
202005,126683,486,479,336,296,323,298,327,323,335,287,309,310,132,117142
202006,178204,487,615,397,358,403,358,365,304,379,322,292,306,177,159542
202007,191714,547,592,454,423,400,355,337,331,328,289,288,362,129,198029
202008,155269,527,613,475,465,368,349,354,304,321,294,283,277,153,197850
202009,201101,629,818,602,411,407,432,356,325,321,340,255,326,190,236910
202010,214195,755,911,568,510,496,442,350,365,426,282,322,406,244,247376
202011,207618,873,889,649,516,462,410,377,434,282,304,399,408,187,302192
202012,150401,671,801,527,446,359,353,366,276,269,302,349,330,158,185589
202101,135261,662,762,506,383,302,296,218,254,218,293,246,319,158,194198
202102,175626,688,766,478,357,350,215,248,276,328,296,311,334,191,216915
202103,205155,731,719,469,424,237,283,273,301,277,284,299,336,161,237075
202104,190502,616,597,488,282,279,306,325,290,260,253,290,255,136,244445
202105,190393,688,796,419,354,326,358,304,293,286,283,264,291,123,225607
202106,194533,751,614,435,389,376,319,318,278,298,253,265,233,105,230746
202107,188779,485,625,475,426,310,311,293,324,228,223,229,194,115,229703
202108,163063,594,691,483,397,380,345,314,259,252,223,196,203,125,195883
202109,187974,594,759,526,437,398,392,298,286,266,193,217,270,129,223795
202110,209601,692,800,567,498,491,332,330,295,269,233,290,271,182,239958
202111,233887,763,845,645,534,456,430,317,243,272,273,318,397,199,266404
202112,182398,644,742,595,439,394,295,273,205,277,262,353,287,201,204595
202201,174336,612,766,431,360,313,242,245,256,239,271,290,308,142,226160
202202,185985,661,644,494,355,273,274,284,255,293,249,267,287,177,226941
202203,189714,632,648,402,318,290,295,273,323,281,292,253,265,120,220991
202204,155911,535,592,389,302,340,280,317,264,245,258,289,225,143,193104
202205,161614,599,615,431,393,325,336,264,281,277,244,185,221,94,200239
202206,155747,529,583,429,328,336,291,263,240,262,198,198,192,79,188419
202207,139083,534,553,381,410,301,287,244,312,165,175,157,144,87,172262
202208,130346,590,532,515,358,327,288,289,223,201,171,158,154,109,144394
202209,160769,616,750,524,442,359,366,238,237,191,154,152,210,109,169333
202210,167330,734,731,559,434,457,283,291,240,204,209,215,242,0,187018
202211,158032,657,797,530,452,293,325,265,221,207,228,246,0,0,178050
202212,111964,590,596,502,302,277,234,175,195,177,191,0,0,0,122725
202301,135652,481,581,286,271,224,186,186,170,174,0,0,0,0,153599
202302,143824,614,478,389,253,237,212,189,202,0,0,0,0,0,154444
202303,146342,441,551,346,250,246,207,261,0,0,0,0,0,0,155197
202304,122908,466,479,334,278,234,219,0,0,0,0,0,0,0,142321
202305,125017,451,479,331,260,248,0,0,0,0,0,0,0,0,141376
202306,134418,425,458,371,329,0,0,0,0,0,0,0,0,0,139776
202307,107016,452,422,324,0,0,0,0,0,0,0,0,0,0,117528
202308,111484,400,474,0,0,0,0,0,0,0,0,0,0,0,114985
202309,131179,478,0,0,0,0,0,0,0,0,0,0,0,0,139746
202310,143042,0,0,0,0,0,0,0,0,0,0,0,0,0,153808
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154409
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109663
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126463
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125825
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137901
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134955
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,139006
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140886
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132890
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125803
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,161264
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,171940
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,171678
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122228
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116002
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113581
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124093
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122479
202505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5638
