period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,21117,98,78,52,46,33,33,28,26,37,33,37,29,26,NaN
201502,24365,86,65,56,52,47,30,32,33,34,27,31,48,19,NaN
201503,27849,86,77,58,39,24,45,54,37,38,31,39,35,17,NaN
201504,28849,84,81,81,45,55,37,51,34,30,39,35,41,21,NaN
201505,30459,71,91,54,62,75,64,48,39,53,37,44,43,27,NaN
201506,30575,122,85,89,93,70,56,48,43,55,51,55,47,23,NaN
201507,31275,80,105,81,54,51,39,49,35,38,37,24,31,20,NaN
201508,24334,79,130,71,49,70,55,46,35,32,28,29,27,17,NaN
201509,33322,99,137,79,56,66,63,48,38,32,31,43,31,19,NaN
201510,36695,119,132,88,65,57,53,47,35,31,29,34,43,27,NaN
201511,35230,112,98,99,78,61,57,49,53,37,37,46,58,31,NaN
201512,22316,92,95,76,57,56,42,35,38,27,25,34,32,24,NaN
201601,23410,95,101,55,59,46,43,32,33,34,35,25,30,24,NaN
201602,29025,95,89,56,45,51,49,31,46,35,38,40,36,22,NaN
201603,31044,105,103,49,40,42,41,55,47,47,32,35,42,20,NaN
201604,29807,98,78,61,53,46,45,46,33,37,38,31,36,14,NaN
201605,32020,102,94,73,69,60,77,56,42,36,42,26,46,16,NaN
201606,32460,97,89,75,70,79,65,39,47,42,35,48,34,19,NaN
201607,26860,98,99,60,70,56,36,33,36,25,39,25,26,17,NaN
201608,22815,102,110,77,75,58,45,46,31,30,35,33,43,11,NaN
201609,32512,106,119,69,68,59,52,34,32,38,38,33,28,20,NaN
201610,36140,147,111,67,62,44,33,35,40,45,32,32,46,31,NaN
201611,35961,141,137,97,76,55,55,39,29,33,43,53,68,35,NaN
201612,23466,124,118,98,55,41,35,28,30,24,34,37,26,19,NaN
201701,27582,145,143,56,62,40,37,36,40,32,23,40,34,14,NaN
201702,28795,162,95,92,49,43,38,32,41,49,29,40,26,16,NaN
201703,32154,124,125,73,52,33,37,50,30,30,40,35,25,19,NaN
201704,28606,125,127,77,69,40,53,50,45,45,36,34,30,16,NaN
201705,34681,137,117,68,56,73,55,45,50,37,36,35,31,16,NaN
201706,31196,121,131,80,66,57,39,44,39,49,37,40,37,9,NaN
201707,30222,96,74,82,69,35,51,34,23,30,23,24,29,19,NaN
201708,24322,105,124,87,46,56,44,42,49,40,18,41,34,13,NaN
201709,31318,112,121,67,78,56,39,39,49,33,31,22,21,21,NaN
201710,38453,113,107,79,50,57,48,52,44,33,33,35,46,24,NaN
201711,40180,115,133,93,73,35,52,38,44,24,32,48,49,23,NaN
201712,25965,109,108,78,47,44,45,32,34,38,50,33,33,23,NaN
201801,27703,122,113,59,48,40,36,30,29,49,33,26,35,17,NaN
201802,31476,105,93,76,50,56,38,67,65,57,40,28,40,18,NaN
201803,32996,93,117,73,76,89,103,114,61,54,45,26,37,22,NaN
201804,33197,124,97,118,116,154,153,112,58,66,39,36,31,22,NaN
201805,34359,75,151,194,245,236,149,110,81,46,53,57,48,29,NaN
201806,33333,134,256,337,301,213,120,83,61,56,47,51,62,37,NaN
201807,32597,192,390,315,186,110,73,61,45,34,51,37,54,33,NaN
201808,26755,292,432,258,143,88,52,44,37,46,34,48,62,32,NaN
201809,34545,417,375,177,98,71,59,50,60,52,58,58,47,37,NaN
201810,39678,329,255,156,86,73,55,49,64,65,48,58,53,31,NaN
201811,42183,233,204,124,93,69,59,36,52,45,57,67,58,31,NaN
201812,25492,199,127,101,56,67,59,40,36,41,53,46,33,13,NaN
201901,30460,139,105,70,61,47,47,41,41,45,25,33,37,23,5553
201902,34756,155,125,91,71,39,32,30,46,37,44,29,30,11,5912
201903,37971,139,127,80,61,58,47,41,42,30,29,37,23,8,4897
201904,31354,161,115,89,52,52,65,36,32,34,43,17,13,10,3406
201905,33056,108,113,79,58,58,51,40,46,39,16,12,20,9,6177
201906,33207,157,143,77,71,51,47,47,44,19,15,28,20,10,4637
201907,31467,146,121,74,64,46,44,37,16,18,21,17,22,28,4370
201908,24009,129,124,62,45,44,33,19,8,21,16,23,46,10,2024
201909,34977,136,117,70,37,45,15,13,16,19,19,22,32,20,5860
201910,42931,124,106,72,54,24,19,32,18,24,29,30,46,30,44919
201911,40288,126,109,78,42,19,32,33,19,43,26,38,33,24,42324
201912,27167,103,85,31,26,29,29,40,48,31,42,44,42,18,29720
202001,29198,88,53,27,31,20,17,61,37,35,31,40,25,25,30313
202002,31202,48,45,38,37,23,48,25,36,20,25,32,34,29,33200
