period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
202201,266,5,7,2,2,2,4,1,1,1,1,1,2,0,1383
202202,580,12,9,5,4,4,5,2,1,6,2,0,2,1,1879
202203,1230,22,16,5,7,1,7,6,2,4,1,5,3,1,2992
202204,1279,27,13,7,7,3,7,10,6,6,4,3,2,2,3661
202205,1460,31,13,10,5,6,3,8,5,4,7,9,7,3,4973
202206,2384,16,13,13,8,9,9,8,11,7,5,6,3,2,4203
202207,4404,26,15,13,9,12,9,5,9,2,12,8,7,2,4898
202208,2362,19,11,15,13,19,11,10,9,8,3,8,12,7,3792
202209,3430,18,24,15,18,13,16,7,16,5,11,7,9,7,4410
202210,3033,17,24,19,21,20,12,6,16,9,8,12,9,0,5228
202211,3644,19,29,18,16,15,19,15,14,11,6,9,0,0,4457
202212,1804,15,15,21,14,13,12,11,11,13,10,0,0,0,3076
202301,2646,11,20,20,16,9,12,10,7,13,0,0,0,0,3495
202302,2815,22,23,21,9,13,11,25,21,0,0,0,0,0,3228
202303,4056,18,19,16,17,13,8,14,0,0,0,0,0,0,4484
202304,2854,13,24,12,13,13,9,0,0,0,0,0,0,0,3539
202305,3782,15,21,17,19,12,0,0,0,0,0,0,0,0,3631
202306,3413,7,19,22,23,0,0,0,0,0,0,0,0,0,3719
202307,2427,20,15,9,0,0,0,0,0,0,0,0,0,0,3180
202308,2958,20,24,0,0,0,0,0,0,0,0,0,0,0,3084
202309,3777,14,0,0,0,0,0,0,0,0,0,0,0,0,3830
202310,3761,0,0,0,0,0,0,0,0,0,0,0,0,0,5514
202111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,359
202112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,411
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5573
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4753
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6911
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6491
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6920
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6370
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6298
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6350
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6353
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6180
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7960
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8464
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8202
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5332
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6860
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6734
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7427
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6718
202505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,262
