period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,43644,139,217,133,115,92,90,74,94,71,69,71,72,33,NaN
201502,42670,183,198,156,120,125,88,109,93,90,70,61,74,35,NaN
201503,47763,196,248,183,141,113,113,128,71,86,67,78,78,31,NaN
201504,47178,205,339,213,161,134,135,106,76,79,82,72,76,35,NaN
201505,42680,264,366,215,195,145,156,127,100,83,81,97,98,53,NaN
201506,48292,345,374,258,225,170,167,113,137,100,86,89,102,48,NaN
201507,50307,281,391,267,200,136,132,121,114,75,92,83,83,46,NaN
201508,44670,268,357,223,199,156,138,130,109,98,91,100,101,50,NaN
201509,50338,284,409,295,232,199,153,156,113,125,102,107,132,44,NaN
201510,60043,343,431,286,238,217,179,139,149,136,137,147,129,73,NaN
201511,57877,327,450,332,270,199,144,200,152,135,116,130,132,56,NaN
201512,50252,256,369,264,213,175,174,153,149,135,121,118,101,45,NaN
201601,54326,265,334,242,195,197,143,157,153,124,131,95,107,44,NaN
201602,56009,272,315,231,269,203,180,167,128,125,132,97,87,61,NaN
201603,56538,255,339,252,191,216,169,141,138,118,80,65,103,33,NaN
201604,47757,229,317,242,217,169,133,127,109,101,70,84,71,35,NaN
201605,48561,238,312,248,217,158,139,138,109,88,91,56,83,28,NaN
201606,56370,205,302,252,182,157,118,102,85,97,63,74,72,33,NaN
201607,45753,204,240,179,155,118,97,82,75,63,65,60,63,34,NaN
201608,49338,228,262,184,134,117,85,99,76,66,68,52,61,32,NaN
201609,61904,198,289,175,118,120,127,73,67,66,62,82,78,36,NaN
201610,61673,228,283,169,134,146,74,93,83,74,73,64,78,39,NaN
201611,67821,261,255,169,167,116,88,84,85,92,79,79,93,38,NaN
201612,55230,171,196,154,120,100,84,73,74,68,78,75,84,39,NaN
201701,54783,154,210,108,126,82,79,55,73,69,74,58,83,33,NaN
201702,53474,198,177,146,111,77,95,95,89,96,54,73,73,44,NaN
201703,66044,120,214,161,90,87,82,86,84,63,75,53,66,30,NaN
201704,55800,178,181,138,129,93,107,102,89,91,61,56,58,35,NaN
201705,66924,167,203,164,120,111,102,88,93,85,78,64,72,35,NaN
201706,61774,155,202,174,127,115,99,125,111,82,94,91,72,29,NaN
201707,56880,182,207,183,155,111,130,146,131,87,96,79,96,44,NaN
201708,59068,185,226,190,128,170,153,123,106,84,115,106,110,44,NaN
201709,63747,167,279,202,162,134,140,110,118,89,96,86,89,62,NaN
201710,72394,210,233,196,152,134,117,112,133,86,106,108,92,53,NaN
201711,90291,189,249,193,139,100,98,103,99,88,102,117,93,35,NaN
201712,65279,168,178,167,125,114,103,70,91,70,87,88,85,44,NaN
201801,80315,154,164,130,108,108,93,81,88,88,79,60,70,41,NaN
201802,72006,174,162,149,119,117,116,79,101,77,72,85,76,33,NaN
201803,73903,152,198,172,128,134,94,99,91,95,89,85,65,34,NaN
201804,75015,152,244,188,133,123,125,99,86,81,75,87,63,27,NaN
201805,76232,144,198,194,156,122,124,88,106,85,65,60,69,38,NaN
201806,78764,154,194,170,157,128,98,90,93,81,72,74,63,35,NaN
201807,74979,168,181,166,143,113,109,89,89,72,80,66,77,34,NaN
201808,65420,140,221,153,106,130,92,98,75,85,72,81,72,44,NaN
201809,78920,181,226,144,177,125,102,79,107,92,87,83,116,49,NaN
201810,94541,224,220,225,175,124,113,94,96,107,96,119,131,55,NaN
201811,106202,164,274,159,130,120,103,108,105,111,124,130,115,52,NaN
201812,70908,198,182,158,117,113,90,110,81,101,107,96,85,49,NaN
201901,82546,152,185,125,126,95,87,98,84,85,81,70,98,29,23104
201902,78360,166,193,149,100,116,96,106,84,99,96,75,76,33,23379
201903,83977,165,209,130,135,114,131,99,103,102,87,66,76,35,25028
201904,81198,174,183,162,148,163,105,104,77,112,71,69,57,36,24839
201905,84119,123,199,151,157,159,130,113,109,95,72,68,83,46,23977
201906,84203,138,212,184,132,119,102,114,109,83,61,71,75,42,27564
201907,78783,184,187,177,154,98,96,99,76,59,59,67,80,39,24667
201908,76592,151,196,145,138,106,99,72,72,66,87,93,86,42,22596
201909,96710,200,206,148,154,118,111,74,84,100,86,102,94,56,31829
201910,104439,209,213,213,129,113,89,93,87,96,87,116,122,80,103796
201911,117145,189,266,171,123,87,96,99,96,97,99,88,90,53,123428
201912,78655,159,195,129,110,94,98,112,85,81,84,106,70,37,76804
202001,86226,197,183,121,100,117,100,95,107,88,117,101,83,53,95187
202002,88666,149,127,120,106,111,107,97,101,94,100,91,94,48,92535
202003,84482,115,143,117,104,89,90,94,83,82,82,64,77,39,101861
202004,48091,113,143,138,91,107,115,104,85,79,85,89,69,27,49163
202005,64447,119,182,149,144,125,119,100,87,93,95,74,70,40,63048
202006,94924,153,196,186,168,140,107,96,113,92,75,76,76,51,86785
202007,101382,138,257,189,149,153,137,95,90,75,67,76,72,47,102087
202008,91536,164,258,190,165,142,112,108,105,61,97,90,78,54,105874
202009,94190,208,291,215,158,136,121,107,93,83,119,98,91,46,108658
202010,112837,220,286,223,203,155,138,103,107,118,98,99,87,55,122214
202011,120418,231,264,212,206,144,146,123,133,131,108,114,109,54,146057
202012,89196,197,243,211,136,117,121,118,103,89,93,78,74,40,105159
202101,89316,199,234,186,115,117,132,106,84,77,89,94,76,44,98802
202102,104034,223,235,170,150,150,114,117,91,97,92,94,101,55,113954
