period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,65746,114,119,75,55,39,43,30,38,42,37,26,25,27,NaN
201502,66172,159,128,61,59,47,35,51,55,35,34,34,43,14,NaN
201503,72134,109,114,80,64,39,44,39,37,51,40,41,35,12,NaN
201504,75242,101,123,78,42,58,37,51,45,21,39,29,32,13,NaN
201505,66129,142,129,76,67,74,43,46,38,33,33,21,23,22,NaN
201506,75005,151,123,81,72,56,49,41,33,43,35,25,33,13,NaN
201507,68037,120,158,81,66,60,50,39,37,25,32,36,29,9,NaN
201508,66973,134,163,107,70,46,44,41,34,33,23,32,31,14,NaN
201509,73956,136,196,111,84,57,43,43,27,25,27,40,32,13,NaN
201510,87468,148,167,112,72,58,37,43,32,32,29,26,33,16,NaN
201511,76758,125,143,84,67,59,34,45,30,27,38,41,35,19,NaN
201512,57472,104,128,69,60,45,47,39,33,29,33,41,37,19,NaN
201601,70517,121,126,67,46,41,37,35,33,22,30,30,35,9,NaN
201602,69228,99,103,67,59,42,32,38,24,46,30,27,19,25,NaN
201603,77407,106,100,70,40,41,41,42,34,27,25,23,27,9,NaN
201604,68603,87,111,70,60,38,40,29,36,27,21,26,23,8,NaN
201605,64981,108,107,82,49,53,46,47,43,20,29,25,31,15,NaN
201606,72172,89,117,78,58,38,33,42,31,34,22,22,16,11,NaN
201607,58756,107,117,76,57,38,41,28,24,18,29,28,23,20,NaN
201608,67701,125,119,70,59,42,39,38,28,33,28,20,28,19,NaN
201609,78199,89,146,70,55,35,42,30,24,23,25,30,29,17,NaN
201610,75699,131,144,66,65,48,34,34,29,29,41,34,46,13,NaN
201611,78469,142,130,83,65,51,40,37,34,28,39,45,31,23,NaN
201612,57634,104,98,66,38,55,43,34,32,33,29,28,32,22,NaN
201701,61063,103,112,69,52,51,33,43,44,27,36,23,31,18,NaN
201702,63316,129,121,77,50,35,43,41,31,33,35,28,44,23,NaN
201703,73814,86,119,72,56,42,32,49,46,32,31,33,27,14,NaN
201704,60119,108,104,63,60,56,46,50,31,48,39,39,39,19,NaN
201705,73140,86,96,79,48,60,56,40,43,34,26,34,30,17,NaN
201706,65939,81,93,65,57,70,54,48,49,37,43,41,50,34,NaN
201707,60124,81,86,75,82,48,75,64,62,54,43,65,48,35,NaN
201708,61261,75,110,93,74,65,94,58,61,59,77,67,53,32,NaN
201709,78225,98,143,71,78,63,75,81,68,51,56,49,48,44,NaN
201710,75047,126,140,97,75,86,62,55,63,70,67,65,77,35,NaN
201711,90019,134,159,104,101,75,56,57,50,45,40,62,70,23,NaN
201712,52030,122,162,114,74,54,54,40,38,41,56,54,42,31,NaN
201801,70078,114,139,79,66,45,48,43,46,52,34,43,63,31,NaN
201802,71384,141,130,69,73,46,49,49,51,68,30,54,42,12,NaN
201803,71193,109,114,79,59,43,40,46,52,43,56,41,51,22,NaN
201804,68016,69,77,52,51,42,57,54,31,53,40,29,52,19,NaN
201805,70797,85,100,62,52,53,51,34,41,40,45,39,45,16,NaN
201806,75084,79,88,68,42,43,48,54,40,35,26,40,40,24,NaN
201807,64062,88,90,73,50,38,51,38,38,41,48,25,42,9,NaN
201808,60505,91,109,78,52,60,50,46,35,37,34,42,33,29,NaN
201809,70672,98,119,54,60,44,45,38,45,31,34,25,32,30,NaN
201810,78261,132,187,76,62,42,56,38,31,35,34,45,48,23,NaN
201811,76447,109,131,79,56,45,51,34,32,26,47,47,55,22,NaN
201812,54610,112,91,80,66,61,39,45,32,41,34,51,36,24,NaN
201901,70944,94,97,60,34,46,45,27,45,41,37,37,37,22,19516
201902,70573,87,104,66,56,52,28,38,46,43,38,46,32,20,19335
201903,74188,76,92,46,55,45,35,43,51,30,48,41,32,18,21604
201904,64951,95,81,63,47,38,39,40,27,41,35,29,24,12,17857
201905,69910,82,77,47,65,48,33,39,34,31,29,20,22,21,20851
201906,64550,84,98,65,49,47,38,36,20,24,15,16,25,20,20826
201907,61972,106,79,58,54,37,39,33,27,19,28,22,21,12,20431
201908,63885,78,116,69,39,48,46,33,25,23,22,29,25,16,19966
201909,74479,102,121,75,66,51,37,29,37,31,26,31,28,14,23857
201910,86884,94,111,75,51,31,29,26,35,31,21,33,40,15,82718
201911,84158,108,90,58,62,14,30,27,35,32,24,33,32,22,83440
201912,62124,83,95,56,15,27,25,35,25,32,31,41,30,18,59684
202001,72056,69,105,39,52,29,32,30,19,34,40,18,25,11,74930
202002,66691,78,53,47,45,38,26,23,26,46,18,38,25,11,69962
202003,63953,66,59,40,35,37,31,35,21,24,29,18,21,6,73663
202004,35342,57,76,52,27,31,17,30,19,32,23,18,22,10,30599
202005,44069,62,75,44,41,47,42,24,28,24,24,23,21,9,38587
202006,72141,79,81,52,44,42,32,22,24,33,25,19,19,7,57680
202007,65724,73,95,58,44,29,26,32,22,23,19,18,25,12,69728
202008,62422,92,102,55,44,36,50,32,28,29,15,21,18,8,70773
202009,80803,77,115,65,43,38,32,38,31,22,26,16,20,6,75624
202010,80316,112,128,72,52,51,36,28,34,37,25,27,28,17,81251
202011,80652,102,93,80,62,41,33,31,30,18,27,21,21,9,86384
202012,50995,78,95,55,40,31,27,30,21,25,24,24,25,11,60216
202101,61595,63,90,62,41,31,14,19,28,16,19,23,18,13,62300
202102,59323,79,103,40,49,39,27,28,31,23,30,26,30,15,69349
202103,63221,70,87,55,38,28,28,31,23,28,19,14,26,11,70014
202104,63856,75,83,64,34,35,26,28,30,19,16,20,14,5,66723
202105,62108,73,95,53,51,39,45,23,25,28,29,18,13,13,68621
202106,63289,106,95,51,53,28,35,27,21,18,11,23,17,10,68881
202107,49692,46,86,66,39,37,24,26,22,16,12,11,15,7,52026
202108,41700,77,81,59,38,32,22,21,19,12,15,13,13,7,48864
202109,52837,80,82,44,39,34,25,18,21,20,12,13,13,6,57215
202110,53236,60,80,56,44,29,22,30,26,17,20,17,17,21,56023
202111,64959,85,102,47,49,26,24,25,17,18,25,35,25,9,56773
202112,43304,65,72,52,42,27,19,18,17,21,16,18,23,11,34591
202201,48901,76,73,52,36,23,21,19,23,19,16,23,26,12,48045
202202,48094,73,70,49,22,25,25,26,26,25,23,22,27,12,46104
202203,53575,47,61,29,19,31,24,20,27,15,23,14,31,3,47407
202204,42337,82,70,35,35,36,27,27,25,19,16,20,8,8,44356
202205,46017,67,49,31,31,32,32,14,17,22,21,17,5,5,45248
202206,38110,45,63,39,22,29,23,32,25,24,16,18,13,5,40550
202207,31790,49,60,29,25,30,39,24,20,15,8,11,10,8,37017
202208,34751,58,67,44,24,28,25,17,20,25,20,11,14,8,33986
202209,40174,45,59,36,31,24,25,13,14,13,7,14,10,7,41238
202210,43919,54,54,38,22,39,26,16,22,15,8,15,12,0,47046
202211,45245,49,54,45,28,21,16,9,7,10,15,14,0,0,43558
202212,25431,57,52,30,22,13,15,9,11,17,15,0,0,0,31192
202301,36802,48,61,24,30,24,11,3,9,12,0,0,0,0,37304
202302,41264,47,40,22,21,17,14,13,13,0,0,0,0,0,35628
202303,40486,43,37,26,25,23,15,18,0,0,0,0,0,0,43167
202304,34965,28,51,22,17,14,22,0,0,0,0,0,0,0,34881
202305,32109,39,46,33,19,14,0,0,0,0,0,0,0,0,31262
202306,30875,30,29,21,27,0,0,0,0,0,0,0,0,0,31883
202307,25015,40,43,27,0,0,0,0,0,0,0,0,0,0,28642
202308,31095,48,47,0,0,0,0,0,0,0,0,0,0,0,27366
202309,32199,44,0,0,0,0,0,0,0,0,0,0,0,0,34673
202310,38352,0,0,0,0,0,0,0,0,0,0,0,0,0,35615
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35165
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28036
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30591
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30393
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31758
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30252
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29764
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29923
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29754
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27515
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36103
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39833
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39110
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26193
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30861
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28080
