period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,1693,18,17,13,6,8,2,5,2,6,4,4,6,1,NaN
201502,1909,26,17,7,8,5,8,5,3,5,3,3,4,4,NaN
201503,1235,21,6,10,2,5,9,4,10,1,4,8,3,3,NaN
201504,1026,17,13,3,6,7,10,5,2,6,7,1,4,3,NaN
201505,774,18,10,8,6,4,10,7,3,4,2,2,0,0,NaN
201506,875,15,5,7,6,6,7,3,4,2,5,2,0,2,NaN
201507,702,5,3,6,3,2,2,1,5,0,1,0,2,0,NaN
201508,46,8,8,5,4,5,0,3,2,3,1,1,2,1,NaN
201509,682,14,11,3,3,3,4,2,3,2,0,3,0,0,NaN
201510,474,5,6,6,6,2,3,5,1,2,0,2,0,2,NaN
201511,474,9,5,1,9,3,6,1,0,1,2,0,1,1,NaN
201512,377,7,6,3,1,3,2,0,0,1,2,1,0,0,NaN
201601,364,10,6,4,1,2,0,1,2,3,1,1,0,1,NaN
201602,517,13,6,1,4,0,2,0,1,1,0,3,1,1,NaN
201603,405,5,4,3,2,3,2,0,2,1,0,0,0,0,NaN
201604,538,2,4,3,4,3,1,0,0,0,0,0,1,2,NaN
201605,450,8,3,2,3,2,3,2,1,0,0,1,1,0,NaN
201606,356,4,8,1,5,1,1,0,2,1,1,1,0,0,NaN
201607,406,5,5,4,3,0,2,0,0,0,2,1,0,0,NaN
201608,40,5,0,3,1,4,0,0,1,2,0,0,0,0,NaN
201609,496,5,4,4,2,2,0,2,1,0,1,0,1,2,NaN
201610,332,6,5,3,4,1,1,2,0,0,2,3,2,0,NaN
201611,361,3,3,2,3,1,0,1,2,1,0,0,0,0,NaN
201612,339,10,7,3,2,4,1,1,0,2,0,0,0,0,NaN
201701,315,4,3,2,1,2,0,0,0,1,1,0,0,2,NaN
201702,386,10,2,5,1,1,0,0,0,0,1,1,2,0,NaN
201703,318,2,3,2,1,3,1,1,2,1,0,0,0,1,NaN
201704,307,3,5,1,0,1,0,0,1,1,3,0,1,0,NaN
201705,280,5,1,2,1,1,1,0,0,2,1,1,0,0,NaN
