period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,139670,413,468,296,239,186,182,145,172,162,162,149,144,95,NaN
201502,142638,507,439,301,259,235,173,212,199,175,140,143,181,77,NaN
201503,156188,453,474,348,255,188,226,241,162,187,154,171,160,66,NaN
201504,158482,431,580,395,271,270,233,218,170,156,172,150,163,78,NaN
201505,145492,531,624,364,348,304,287,244,188,183,166,171,177,110,NaN
201506,161211,666,622,467,412,316,295,216,228,213,186,184,194,89,NaN
201507,156548,514,685,451,335,265,233,222,199,149,172,152,154,83,NaN
201508,141461,509,692,424,338,291,247,234,192,180,147,169,171,90,NaN
201509,164786,560,788,514,390,344,279,261,192,192,170,198,213,83,NaN
201510,192480,643,777,510,401,349,286,242,228,221,207,215,219,123,NaN
201511,177768,610,720,537,444,337,251,305,247,209,208,229,235,119,NaN
201512,136339,484,626,437,347,292,276,234,230,201,190,200,181,94,NaN
201601,154954,528,602,383,324,295,231,234,230,197,211,162,184,85,NaN
201602,162234,509,544,376,395,310,272,250,206,217,211,175,155,119,NaN
201603,173471,491,588,391,285,321,269,249,226,211,150,129,181,67,NaN
201604,152157,444,536,396,348,270,231,217,191,172,134,152,139,61,NaN
201605,151924,478,537,430,353,286,279,251,201,156,170,112,172,63,NaN
201606,167625,423,532,424,324,284,229,196,179,183,127,152,129,66,NaN
201607,136716,443,483,337,293,219,178,151,144,113,141,117,119,71,NaN
201608,145026,487,510,349,284,230,181,195,139,136,137,112,146,68,NaN
201609,180076,424,581,339,263,218,227,144,133,132,128,152,140,83,NaN
201610,180834,539,575,316,279,255,149,172,156,155,158,140,181,90,NaN
201611,189618,572,549,364,326,236,197,170,156,156,170,186,204,105,NaN
201612,142426,431,434,337,227,210,167,141,140,135,150,146,149,86,NaN
201701,149361,431,493,246,248,183,154,137,162,130,138,129,162,71,NaN
201702,151816,525,411,337,222,164,184,182,170,188,134,151,154,86,NaN
201703,179603,352,483,326,205,169,160,197,168,131,156,129,128,69,NaN
201704,150305,436,435,295,268,198,219,209,176,195,151,136,131,73,NaN
201705,180517,406,423,325,236,256,220,175,201,165,148,138,137,68,NaN
201706,164238,377,439,331,259,251,200,226,206,175,180,180,161,73,NaN
201707,152626,381,386,354,316,203,267,254,221,179,165,170,179,102,NaN
201708,149609,383,481,392,255,306,299,229,226,191,220,218,206,92,NaN
201709,179187,392,575,359,329,264,261,238,242,186,188,164,168,132,NaN
201710,192325,471,504,393,291,288,235,230,251,195,213,215,223,122,NaN
201711,227614,452,573,404,322,216,220,205,201,163,181,239,221,83,NaN
201712,148011,428,469,375,263,217,208,147,169,159,203,184,168,105,NaN
201801,184384,415,433,282,237,202,184,157,169,197,151,133,178,92,NaN
201802,181296,444,406,308,247,224,208,206,222,209,144,173,162,66,NaN
201803,184362,373,449,338,276,269,251,269,215,199,198,160,164,82,NaN
201804,181449,365,433,370,311,334,343,273,176,204,163,155,156,69,NaN
201805,186643,318,473,463,471,427,336,241,237,182,171,163,165,86,NaN
201806,191986,383,554,587,513,393,275,233,204,178,152,173,173,97,NaN
201807,175956,471,680,571,389,264,239,192,178,152,188,131,178,80,NaN
201808,156816,542,788,502,313,283,198,197,157,173,144,172,170,108,NaN
201809,189711,719,740,396,346,249,212,175,220,179,183,171,202,119,NaN
201810,219153,707,679,472,341,247,231,190,197,211,185,227,244,115,NaN
201811,231053,526,635,376,294,245,222,183,197,185,230,254,234,107,NaN
201812,155384,533,419,349,246,246,195,200,151,191,201,198,159,88,NaN
201901,188847,398,411,270,232,190,183,175,178,175,151,143,180,77,48173
201902,189276,425,432,313,234,211,158,178,183,182,180,153,146,66,48626
201903,199930,396,442,266,261,224,216,188,200,171,170,147,135,63,51529
201904,181756,446,391,321,254,257,216,186,140,196,152,119,98,59,46102
201905,190588,324,402,290,288,271,217,196,197,170,121,102,127,76,51005
201906,185566,395,468,336,267,224,193,201,182,132,93,118,124,73,53027
201907,175867,448,396,317,278,185,182,176,125,96,109,112,127,81,49468
201908,168292,370,448,286,227,205,184,127,110,115,129,151,162,70,44586
201909,211383,449,459,304,271,225,167,118,143,153,134,160,156,93,61546
201910,239452,441,444,370,241,171,141,155,140,157,140,185,212,129,235857
201911,246481,430,481,317,236,128,170,164,156,177,156,167,163,101,253954
201912,171870,357,388,221,154,152,156,188,168,146,163,195,146,76,169856
202001,191836,366,350,193,186,172,150,193,167,165,192,165,141,89,204787
202002,190871,285,230,211,193,176,183,150,171,165,151,163,158,89,200825
202003,176329,221,265,189,183,179,150,157,142,138,136,115,126,62,214030
202004,91230,223,261,219,157,163,165,167,124,127,119,130,114,52,92664
202005,129004,218,316,240,224,202,195,152,139,141,140,129,111,60,119894
202006,200918,284,397,302,274,231,175,145,168,152,134,125,125,89,174786
202007,209412,333,455,311,249,243,197,163,148,130,118,123,137,70,212237
202008,189793,339,496,336,274,228,206,180,177,127,157,153,128,83,215225
202009,221049,402,553,371,277,229,210,195,171,132,204,149,138,76,230841
202010,242034,440,559,398,345,289,259,183,178,203,151,159,150,103,253572
202011,244528,424,493,400,362,254,224,221,238,172,163,180,162,81,288542
202012,171903,383,450,349,260,197,178,207,167,135,154,131,127,68,201475
202101,183805,349,425,341,230,200,200,153,141,122,131,147,123,71,199883
202102,201388,397,429,268,259,261,167,181,156,154,147,154,153,86,228768
202103,205599,370,415,273,269,201,192,176,179,163,127,150,144,84,239748
202104,202108,341,389,364,233,218,203,188,170,132,133,138,106,73,230800
202105,199500,365,541,291,260,245,216,156,152,181,144,142,121,72,230425
202106,205508,465,401,324,254,229,190,182,139,150,113,137,120,61,225662
202107,179966,251,400,311,258,202,173,165,123,123,108,115,104,64,203141
202108,153740,318,402,319,210,197,183,178,135,119,121,109,108,73,192648
202109,202587,320,430,289,261,225,182,155,142,124,126,119,151,57,223090
202110,215656,301,415,330,264,225,193,176,158,134,142,154,139,112,241527
202111,250600,394,493,311,284,198,195,172,156,150,154,160,171,95,244940
202112,178960,306,405,339,230,188,152,161,141,152,156,185,178,81,169162
202201,185113,269,376,287,221,149,157,149,149,142,136,147,144,70,205304
202202,193462,338,335,270,194,192,165,197,153,188,147,144,147,85,213952
202203,220847,320,376,258,213,199,200,181,187,156,167,134,176,48,215370
