period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,2942,87,55,24,19,17,15,13,16,26,18,19,15,8,NaN
201502,2359,78,39,23,17,11,22,6,11,13,12,14,17,8,NaN
201503,2347,57,39,26,10,10,17,14,20,16,10,16,17,1,NaN
201504,2320,52,50,23,20,16,10,10,15,13,12,13,17,4,NaN
201505,2238,65,24,22,18,17,12,13,12,9,9,9,5,1,NaN
201506,2105,49,30,17,15,17,14,11,12,16,17,6,9,8,NaN
201507,2291,53,37,34,21,9,17,16,15,14,9,15,5,5,NaN
201508,2749,61,40,29,20,10,14,19,8,9,11,3,14,8,NaN
201509,3421,96,70,25,14,20,25,21,11,18,14,6,16,7,NaN
201510,3191,85,66,44,25,20,17,17,17,16,17,16,19,14,NaN
201511,4782,105,56,39,32,24,20,18,12,13,14,25,27,9,NaN
201512,3704,81,54,40,24,21,20,20,19,21,24,23,13,8,NaN
201601,3287,81,46,32,25,20,17,14,13,11,8,14,15,10,NaN
201602,4119,74,48,29,14,12,12,21,20,15,17,14,11,4,NaN
201603,4528,77,43,24,14,15,17,16,13,21,11,10,13,4,NaN
201604,3150,59,44,16,20,10,14,8,7,15,13,19,5,2,NaN
201605,2376,40,33,11,15,17,13,5,5,12,7,7,7,2,NaN
201606,3071,50,41,33,21,16,12,11,8,7,7,8,8,1,NaN
201607,2890,56,42,27,19,21,18,11,6,7,9,8,14,3,NaN
201608,4125,73,44,13,25,22,18,15,9,16,11,5,11,7,NaN
201609,4250,67,56,25,18,13,15,11,13,16,10,9,9,13,NaN
201610,5294,74,58,29,32,26,12,16,10,9,17,12,13,5,NaN
201611,6587,90,74,25,26,18,12,15,8,9,16,16,17,12,NaN
201612,5259,93,81,26,16,21,17,9,10,14,14,19,20,14,NaN
201701,5105,93,77,18,22,13,7,14,11,12,11,16,10,5,NaN
201702,4245,105,37,20,22,14,9,18,19,15,12,10,6,3,NaN
201703,3798,50,49,21,15,17,16,15,11,8,10,7,6,7,NaN
201704,3042,53,27,12,14,18,13,12,8,8,10,16,5,5,NaN
201705,3813,47,49,23,18,7,12,9,8,11,6,7,6,4,NaN
201706,4245,44,26,18,14,11,12,16,14,5,5,6,9,5,NaN
201707,3576,52,43,24,12,19,14,14,6,8,13,6,10,6,NaN
201708,4280,55,44,19,24,10,16,11,10,7,13,4,12,6,NaN
201709,4088,59,48,27,20,17,9,17,12,8,8,14,8,4,NaN
201710,4631,62,48,41,24,12,12,18,11,6,11,17,17,10,NaN
201711,6288,85,79,35,26,13,8,17,16,10,11,15,16,6,NaN
