period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,12696,98,79,48,32,30,14,17,20,27,25,28,19,11,NaN
201502,12507,120,62,31,22,21,16,29,17,16,21,25,25,7,NaN
201503,14615,117,61,34,21,16,25,29,24,21,22,23,21,8,NaN
201504,12359,88,49,33,19,26,18,21,25,19,29,20,19,9,NaN
201505,13051,95,52,20,26,30,21,23,18,18,27,28,13,8,NaN
201506,14542,82,58,24,32,26,15,12,21,16,13,16,12,6,NaN
201507,12507,91,70,30,28,24,20,28,18,9,13,8,22,10,NaN
201508,14686,100,89,32,21,22,24,20,22,17,16,10,15,9,NaN
201509,15825,127,71,39,37,34,24,32,19,20,14,20,27,12,NaN
201510,18128,133,92,40,40,31,23,33,17,23,22,24,20,11,NaN
201511,17871,175,98,61,45,35,31,26,17,20,29,19,28,12,NaN
201512,14884,84,91,43,40,22,20,21,13,19,19,22,31,11,NaN
201601,16391,110,67,43,29,25,23,14,22,24,23,15,23,7,NaN
201602,19235,114,65,36,24,9,19,25,22,26,27,18,13,8,NaN
201603,18150,102,78,30,22,26,20,21,16,26,21,24,23,7,NaN
201604,17132,109,54,34,25,27,22,21,26,19,17,17,16,8,NaN
201605,16350,83,68,33,32,17,34,28,18,15,16,20,22,8,NaN
201606,17195,83,68,39,19,32,15,18,15,17,18,12,15,6,NaN
201607,14665,83,74,42,19,29,19,14,19,22,17,19,13,13,NaN
201608,18725,93,67,52,33,23,24,18,17,13,14,8,12,6,NaN
201609,18822,108,82,52,28,30,19,16,15,17,12,10,22,8,NaN
201610,22202,115,94,47,19,41,16,21,16,13,14,15,18,11,NaN
201611,26775,163,104,45,34,25,35,16,19,18,20,18,30,20,NaN
201612,20999,115,68,42,30,16,22,7,10,30,19,17,21,13,NaN
201701,19896,104,96,33,27,12,19,17,20,17,26,23,24,4,NaN
201702,20621,118,67,40,19,16,31,22,21,23,14,25,14,10,NaN
201703,19995,84,61,30,20,24,17,16,21,17,12,15,16,5,NaN
201704,17103,99,57,36,16,19,18,26,16,24,15,16,16,7,NaN
201705,21954,82,57,35,24,25,22,20,18,22,18,24,14,8,NaN
201706,24124,86,76,48,35,31,22,23,21,20,22,13,6,10,NaN
201707,17788,77,69,45,28,21,29,25,21,12,12,14,16,9,NaN
201708,20557,123,94,59,36,30,24,22,15,18,18,10,13,6,NaN
201709,22755,120,86,57,23,35,30,26,17,16,17,14,24,12,NaN
201710,23846,136,113,56,44,37,27,23,24,25,23,26,37,19,NaN
201711,30524,146,145,60,44,35,31,22,24,23,23,34,34,17,NaN
201712,23006,128,117,61,34,26,28,26,23,29,31,23,23,17,NaN
201801,28904,124,74,49,34,20,18,17,24,22,28,24,42,9,NaN
201802,22658,137,115,55,29,33,17,30,27,30,22,20,26,19,NaN
201803,22390,118,91,60,33,22,28,27,23,16,38,24,17,11,NaN
201804,22238,114,75,50,35,35,34,26,26,20,27,17,14,13,NaN
201805,22048,110,88,39,35,46,29,31,31,21,16,24,14,8,NaN
201806,21621,91,88,43,40,38,22,25,26,23,19,22,12,6,NaN
201807,19208,120,90,59,42,25,47,27,16,12,16,12,12,13,NaN
201808,21702,111,99,53,30,34,16,21,14,19,19,16,15,7,NaN
201809,22350,170,99,52,43,32,24,17,23,14,21,19,23,12,NaN
201810,27550,149,103,83,44,51,24,44,23,32,22,29,35,11,NaN
201811,29409,145,137,57,46,38,39,32,26,23,29,28,31,17,NaN
201812,23785,143,90,63,29,28,26,15,17,25,27,14,21,20,NaN
201901,31914,125,85,31,39,21,26,17,20,27,29,18,26,4,1102
201902,22968,149,84,58,30,23,33,22,20,26,27,24,25,15,224
201903,23035,106,56,39,30,22,21,29,8,20,14,14,23,3,816
201904,18427,138,66,28,22,31,30,25,25,20,17,19,18,11,NaN
201905,22254,86,78,33,29,21,17,21,24,21,20,10,18,2,374
201906,19175,91,70,39,36,29,18,18,15,15,10,15,25,7,306
201907,18486,79,73,33,29,19,26,24,18,10,14,19,18,5,796
201908,18302,118,69,42,36,31,17,18,17,13,14,19,15,8,1856
201909,22044,114,81,47,32,34,19,8,20,24,21,23,16,11,326
201910,22698,114,86,55,31,34,15,27,21,17,13,24,22,11,26957
201911,26348,123,115,55,39,34,21,30,20,25,23,31,27,14,28159
201912,22746,127,109,53,25,24,20,26,15,31,31,22,32,10,21426
202001,22330,103,87,33,26,18,21,18,23,20,21,21,13,10,23815
202002,20628,93,53,35,21,19,19,22,8,18,20,17,17,18,19855
202003,18798,67,54,38,21,14,22,11,18,17,12,15,21,12,22895
202004,13894,80,65,22,21,20,24,23,17,12,17,17,13,1,14663
202005,18143,125,62,36,30,33,15,10,28,27,27,18,21,6,17372
202006,21653,96,71,48,42,29,25,13,26,21,21,16,21,3,18774
202007,19002,95,81,42,37,21,25,16,24,16,14,15,16,6,18644
202008,19451,132,97,56,45,22,27,31,28,19,13,17,16,9,23065
202009,24128,182,110,54,40,29,34,23,27,24,22,27,33,6,28149
202010,26070,152,145,59,38,48,31,30,30,15,14,28,15,20,27902
202011,27056,167,130,69,62,37,33,25,22,23,35,24,30,14,30920
202012,20802,141,101,57,25,22,27,15,23,26,25,24,19,7,23596
202101,19584,134,101,61,21,24,19,19,15,21,17,21,22,16,26983
202102,23717,221,119,51,26,18,23,25,18,27,17,22,22,16,27064
202103,22208,118,76,35,28,28,23,25,23,23,23,15,24,11,26805
202104,22615,122,78,38,29,16,22,14,19,23,18,17,12,14,28953
202105,28144,119,77,35,37,25,21,13,26,18,23,15,17,7,28589
202106,24438,109,82,47,31,27,22,27,18,15,18,15,9,6,25741
202107,18383,116,75,36,32,19,23,16,21,20,10,11,12,9,22332
202108,18946,119,74,54,29,28,28,16,20,13,14,9,24,5,25585
202109,25708,120,76,42,40,32,27,22,17,23,11,17,8,8,26066
202110,27481,125,105,62,40,42,30,22,23,18,22,22,17,17,28028
202111,35786,157,122,58,62,38,32,25,22,26,22,22,32,14,31268
202112,25159,138,106,54,37,27,27,14,18,27,20,20,24,11,24224
202201,20055,125,97,27,23,19,15,26,20,17,21,20,19,12,21708
202202,24095,135,58,36,24,14,27,17,17,24,27,20,22,10,24780
202203,25993,85,66,21,10,24,18,26,15,21,21,10,32,4,24683
202204,16488,111,52,28,24,26,23,26,16,18,18,13,13,9,17072
202205,16571,81,36,31,30,20,19,16,24,16,20,17,18,7,21429
202206,15415,64,51,15,29,22,14,24,16,11,9,13,14,4,16207
202207,15340,73,52,25,37,12,17,16,15,16,7,13,8,11,15266
202208,16088,71,49,28,20,26,14,9,12,13,10,11,26,5,16875
202209,20328,78,59,37,25,18,14,16,14,11,10,13,17,7,18621
202210,20760,91,64,54,24,31,14,21,15,10,4,22,23,0,22673
202211,24564,77,84,51,33,20,23,14,19,20,15,22,0,0,22413
202212,17068,72,71,41,31,23,17,9,10,11,15,0,0,0,16210
202301,17729,71,65,19,15,14,7,20,15,19,0,0,0,0,19889
202302,19818,89,47,18,18,11,11,9,15,0,0,0,0,0,20169
202303,19947,48,60,23,11,6,16,14,0,0,0,0,0,0,22442
202304,15964,67,39,16,16,14,17,0,0,0,0,0,0,0,18409
202305,14946,61,24,25,24,18,0,0,0,0,0,0,0,0,15229
202306,12991,50,44,24,13,0,0,0,0,0,0,0,0,0,14701
202307,13447,57,35,25,0,0,0,0,0,0,0,0,0,0,14193
202308,15112,59,46,0,0,0,0,0,0,0,0,0,0,0,16126
202309,17823,56,0,0,0,0,0,0,0,0,0,0,0,0,16747
202310,12770,0,0,0,0,0,0,0,0,0,0,0,0,0,18768
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19639
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15962
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15692
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16199
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17264
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13944
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16424
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14445
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13424
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15360
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16931
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19030
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20728
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14861
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13997
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14719
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15711
202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12343
202505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,892
