period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,4199,17,13,6,6,7,3,3,1,3,2,5,4,2,NaN
201502,4168,30,37,5,5,10,3,5,4,3,5,3,4,0,NaN
201503,4666,18,11,6,2,3,6,2,3,0,1,6,4,2,NaN
201504,4358,12,8,4,3,7,5,3,5,5,1,2,4,2,NaN
201505,4069,21,9,5,6,5,4,4,4,2,5,3,2,1,NaN
201506,4598,20,13,7,6,3,3,1,6,2,2,1,3,0,NaN
201507,3913,19,11,9,7,10,4,2,0,2,0,2,2,1,NaN
201508,4657,21,20,8,4,3,4,1,3,5,7,3,5,2,NaN
201509,5039,26,23,17,1,6,8,7,6,1,5,1,3,2,NaN
201510,5575,30,19,2,9,4,2,3,1,1,1,0,3,1,NaN
201511,5477,34,6,9,9,7,6,7,2,2,3,2,4,0,NaN
201512,5011,23,14,11,7,8,4,4,4,0,4,3,8,0,NaN
201601,4184,27,10,5,3,8,6,4,0,4,6,1,4,2,NaN
201602,4939,19,18,4,4,3,5,1,3,3,5,2,2,1,NaN
201603,4898,22,13,5,2,1,2,4,8,4,2,3,5,2,NaN
201604,5110,8,15,2,4,4,1,5,5,6,3,4,2,0,NaN
201605,4319,12,10,8,6,2,6,3,4,1,3,2,4,1,NaN
201606,4297,14,6,7,6,4,4,4,2,3,4,2,2,0,NaN
201607,3524,15,16,12,6,4,2,2,5,2,4,2,4,0,NaN
201608,5091,19,19,11,6,7,4,2,2,2,2,3,5,1,NaN
201609,5274,23,12,9,7,4,3,3,1,5,1,2,3,0,NaN
201610,5044,13,15,6,3,5,1,4,3,1,0,0,3,0,NaN
201611,5557,19,20,6,2,4,4,4,1,4,3,2,1,1,NaN
201612,5133,21,14,8,4,3,1,4,1,0,4,2,2,2,NaN
201701,4489,14,11,4,5,4,3,2,3,3,1,3,1,1,NaN
201702,4396,21,14,3,2,5,2,5,1,5,5,0,3,2,NaN
201703,5049,14,11,7,2,4,5,7,2,7,4,2,4,2,NaN
201704,3981,21,10,6,3,2,4,4,1,2,3,1,2,1,NaN
201705,4318,24,10,6,5,4,2,2,6,4,5,3,3,0,NaN
201706,4656,25,4,7,4,4,7,1,3,3,2,1,3,0,NaN
201707,4042,11,12,3,6,4,3,2,5,1,2,4,1,1,NaN
201708,4265,15,5,8,3,2,3,4,2,4,2,3,4,3,NaN
201709,4707,21,10,13,3,2,3,3,2,2,3,2,0,1,NaN
201710,5003,18,12,5,5,6,4,1,1,6,2,3,3,2,NaN
201711,5632,22,22,7,4,1,6,3,3,2,2,0,4,3,NaN
201712,4624,29,13,1,5,2,3,5,5,2,5,1,2,2,NaN
201801,3967,16,12,4,6,1,2,1,1,6,5,1,5,3,NaN
201802,4413,24,6,6,4,2,1,5,5,4,7,7,4,0,NaN
201803,4362,11,7,5,2,5,1,3,2,4,3,3,0,1,NaN
201804,4227,15,12,7,6,5,3,4,1,4,3,2,3,1,NaN
201805,4238,13,12,6,5,6,7,3,5,2,4,2,1,1,NaN
201806,3642,16,14,4,5,3,6,3,7,4,3,2,1,0,NaN
201807,3759,14,20,7,1,3,6,6,5,2,1,4,3,1,NaN
201808,4396,16,16,9,3,4,2,3,5,2,4,5,5,2,NaN
201809,4538,23,10,11,3,6,4,5,2,3,1,2,4,1,NaN
201810,5224,19,11,6,12,4,4,2,2,1,0,3,2,1,NaN
201811,5058,11,11,6,6,5,3,5,2,3,3,4,3,0,NaN
201812,4084,14,8,5,2,4,2,2,2,3,0,5,1,4,NaN
201901,4099,16,15,4,3,1,2,1,2,1,3,3,1,0,155
201902,3857,14,0,5,3,4,2,1,2,1,1,2,4,0,321
201903,3312,7,7,2,2,6,0,2,3,2,2,6,1,1,102
201904,1998,12,1,2,2,1,1,1,1,1,0,2,0,0,204
201905,2799,5,4,1,3,2,5,4,2,2,0,0,1,0,68
201906,3213,3,8,2,3,5,1,3,1,0,1,1,0,0,510
201907,2890,10,7,4,0,1,0,0,2,0,1,0,1,0,1428
201908,3040,8,8,3,1,4,1,1,0,3,0,3,1,1,1666
201909,3453,11,12,8,6,3,9,5,0,5,2,1,3,1,699
201910,3451,16,10,9,4,1,7,2,2,1,0,0,0,1,4285
201911,3213,16,5,5,2,5,3,0,2,3,2,1,5,2,4247
201912,2745,18,11,5,1,1,0,2,1,3,0,4,0,2,4089
202001,2910,11,6,0,3,4,2,0,1,2,0,1,0,0,3885
202002,2804,10,7,1,4,2,4,1,0,4,2,0,2,1,3566
202003,3250,9,1,3,3,3,5,1,1,1,0,1,1,0,4079
202004,2105,4,4,4,1,2,2,2,4,1,1,1,3,0,2753
202005,2800,7,4,1,2,3,3,0,1,2,2,0,2,0,3525
202006,3110,6,6,7,1,4,2,1,1,1,1,0,1,1,3256
202007,2244,11,7,0,1,0,1,0,3,0,2,0,0,0,3535
202008,2732,5,2,1,4,2,2,0,1,1,1,1,3,0,3257
202009,3332,13,1,1,5,2,3,2,1,1,2,2,2,0,3459
202010,3289,6,9,2,3,5,2,2,1,1,1,2,1,0,3920
202011,2372,12,3,6,2,1,1,0,0,0,2,1,1,0,4249
202012,1875,5,5,2,1,1,1,0,2,1,2,0,1,1,3513
202101,2028,6,4,4,1,0,0,0,0,0,1,0,0,1,2588
202102,2164,6,6,2,0,0,0,2,0,1,0,3,0,0,3065
202103,1758,1,4,3,2,2,0,1,1,0,0,0,0,3,3300
202104,2430,6,7,0,0,0,2,2,0,0,0,1,0,1,3244
202105,2489,6,7,1,4,0,0,0,0,0,2,0,1,0,3197
202106,2634,5,4,3,4,0,2,2,2,1,0,0,0,0,3072
202107,1809,4,6,3,2,1,1,1,1,0,4,1,2,0,2804
202108,2121,6,6,4,2,0,2,2,1,1,1,0,0,0,3242
202109,2744,4,5,2,2,3,0,0,1,1,0,1,0,2,3076
202110,2165,5,5,0,1,1,1,3,0,2,1,1,1,0,3396
202111,2268,7,2,0,1,1,2,0,1,1,0,0,1,0,2691
202112,1854,3,2,2,0,1,2,1,1,0,1,0,0,1,2588
202201,1487,8,5,1,1,0,1,0,0,1,1,1,1,1,2180
202202,1607,5,1,3,0,2,0,1,1,0,0,1,1,0,2186
202203,2080,5,4,0,0,0,0,0,0,0,0,1,1,0,1923
202204,1221,3,4,2,0,1,1,2,2,0,0,2,0,1,1625
202205,938,0,3,0,1,0,2,1,1,1,0,0,0,0,2461
202206,1122,2,0,2,0,3,0,0,1,0,0,2,0,0,2007
202207,1014,2,2,2,1,3,0,0,1,1,1,0,1,0,2115
202208,949,5,4,0,2,0,0,1,0,2,0,2,0,0,1916
202209,1171,3,1,1,0,0,0,0,0,0,0,0,0,0,1562
202210,888,0,0,0,1,0,0,0,1,0,0,0,0,0,1992
202211,1015,4,2,1,0,0,1,0,1,1,0,1,0,0,1482
202212,888,2,2,1,1,0,0,0,0,0,0,0,0,0,1203
202301,509,1,4,1,0,0,0,0,0,0,0,0,0,0,1618
202302,593,3,1,1,1,1,3,0,0,0,0,0,0,0,1778
202303,755,1,0,0,0,0,1,1,0,0,0,0,0,0,1061
202304,650,1,0,0,0,0,0,0,0,0,0,0,0,0,1465
202305,513,0,1,0,0,1,0,0,0,0,0,0,0,0,1551
202306,403,1,0,0,0,0,0,0,0,0,0,0,0,0,1395
202307,416,0,2,1,0,0,0,0,0,0,0,0,0,0,2296
202308,525,3,2,0,0,0,0,0,0,0,0,0,0,0,1668
202309,590,0,0,0,0,0,0,0,0,0,0,0,0,0,1036
202310,479,0,0,0,0,0,0,0,0,0,0,0,0,0,2429
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1149
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115
202401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1567
202402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1316
202403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1472
202404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1333
202405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1376
202406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1346
202407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1482
202408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1391
202409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1349
202410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1477
202411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1473
202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1080
202501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,357
202502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,339
202503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,397
