period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,171,2,4,1,1,0,1,0,0,4,0,1,3,1,NaN
201502,196,2,4,2,1,0,0,0,1,0,0,1,0,1,NaN
201503,110,2,2,2,1,0,2,1,1,1,1,0,1,1,NaN
201504,199,8,6,3,3,0,2,0,0,0,1,0,1,0,NaN
201505,163,3,1,0,1,3,2,0,2,4,2,1,2,1,NaN
201506,115,6,5,4,0,1,1,1,3,0,2,1,2,1,NaN
201507,159,6,5,1,1,2,2,2,2,0,1,1,1,0,NaN
201508,159,5,4,2,4,3,1,1,1,0,1,4,0,0,NaN
201509,140,4,5,3,3,1,3,1,3,1,0,1,1,1,NaN
201510,389,5,10,3,4,5,3,3,2,2,3,2,2,3,NaN
201511,303,16,7,1,1,6,4,1,4,0,2,4,2,0,NaN
201512,289,3,7,1,3,6,2,2,1,1,2,3,6,2,NaN
201601,94,6,13,3,4,5,2,1,0,0,1,2,1,1,NaN
201602,359,7,10,2,3,2,0,2,0,3,3,2,2,3,NaN
201603,186,11,4,5,1,1,1,0,2,2,2,0,4,2,NaN
201604,304,8,5,2,1,3,3,3,1,1,2,2,1,0,NaN
201605,224,7,4,2,0,1,2,0,6,3,0,2,2,0,NaN
201606,147,7,6,4,1,2,3,2,4,1,1,1,0,1,NaN
201607,297,7,10,0,0,2,4,1,2,2,2,0,3,1,NaN
201608,488,15,6,4,2,0,4,2,4,0,0,3,2,1,NaN
201609,271,10,13,1,3,1,3,3,3,1,1,2,4,1,NaN
201610,372,3,3,5,0,2,1,1,3,5,2,1,6,1,NaN
201611,579,9,7,4,1,2,4,2,1,0,2,7,5,3,NaN
201612,416,4,8,3,1,2,1,0,1,1,5,6,2,1,NaN
201701,352,0,4,6,9,1,3,2,0,3,5,5,4,3,NaN
201702,441,8,3,4,2,1,1,3,3,7,2,2,6,3,NaN
201703,662,4,8,4,6,0,2,2,4,5,3,2,1,2,NaN
201704,323,8,6,6,0,2,2,4,3,2,2,3,1,4,NaN
201705,375,4,3,1,2,2,3,1,2,3,2,3,3,1,NaN
201706,345,7,4,0,2,3,3,4,4,2,1,1,3,2,NaN
201707,368,4,8,1,4,2,4,1,2,1,1,1,1,2,NaN
201708,359,1,6,6,0,3,2,2,4,6,3,3,1,2,NaN
201709,472,5,8,6,3,5,2,3,1,1,3,2,2,2,NaN
201710,527,7,7,7,5,5,4,3,6,3,3,3,5,2,NaN
201711,669,11,11,3,4,1,3,3,1,5,3,5,3,3,NaN
201712,621,12,7,3,7,1,3,6,5,2,1,0,4,6,NaN
201801,445,7,8,7,1,4,1,1,1,3,0,2,4,3,NaN
201802,388,3,5,2,0,0,2,1,1,2,0,1,3,2,NaN
201803,374,1,6,1,1,1,1,2,4,3,2,2,6,1,NaN
201804,256,4,5,0,0,2,3,1,1,0,1,5,1,0,NaN
201805,235,6,3,6,3,2,1,3,3,5,2,2,5,1,NaN
201806,328,6,4,3,2,2,3,2,2,4,2,1,3,3,NaN
201807,218,0,7,4,5,3,1,2,4,5,2,2,1,2,NaN
201808,163,2,10,4,2,2,3,4,2,4,1,2,4,2,NaN
201809,219,7,7,1,2,0,0,0,1,1,3,3,2,1,NaN
201810,253,4,3,5,3,2,4,2,3,1,4,1,4,2,NaN
201811,280,5,6,6,5,1,3,4,6,2,3,0,4,2,NaN
201812,467,10,3,4,3,2,7,2,2,4,2,2,1,3,NaN
201901,457,6,5,3,2,1,1,2,0,1,2,3,4,1,NaN
201902,289,4,5,4,4,1,1,2,2,2,4,4,0,0,NaN
201903,187,2,5,1,0,1,0,1,0,1,4,2,1,0,NaN
201904,256,1,1,1,2,0,0,0,1,0,2,0,0,0,NaN
201905,81,3,4,6,1,1,0,0,0,2,0,3,1,0,NaN
201906,147,3,4,2,1,0,1,1,1,2,0,1,0,0,NaN
201907,90,1,1,2,1,1,0,0,2,1,0,1,1,2,NaN
201908,50,2,4,0,0,1,0,1,0,1,1,1,0,2,NaN
201909,105,1,2,1,1,2,1,0,1,2,0,0,1,0,NaN
201910,131,4,4,1,1,2,0,1,0,1,2,1,2,2,129
201911,124,0,8,0,0,0,3,0,1,3,1,2,1,0,304
201912,130,0,1,1,1,1,1,0,0,1,2,3,3,2,219
202001,188,3,6,1,5,4,0,1,2,3,1,3,4,2,164
202002,153,2,1,2,3,1,1,1,0,3,1,1,1,2,204
202003,233,3,5,2,2,4,1,0,3,2,4,2,4,4,189
202004,29,0,1,2,2,1,0,1,3,3,1,3,1,2,64
202005,87,0,1,1,6,2,3,0,1,3,1,1,2,0,44
202006,171,2,0,2,1,1,2,0,2,1,2,3,2,0,116
202007,120,4,5,2,2,3,1,0,2,1,0,0,7,1,117
202008,172,2,7,2,0,2,0,0,2,1,0,1,1,1,135
202009,177,3,10,4,4,1,4,2,1,2,5,2,0,1,236
202010,336,8,8,11,7,6,2,1,4,2,3,0,3,0,446
202011,88,13,6,4,4,3,4,1,3,1,1,2,2,0,470
202012,127,7,6,3,0,1,3,4,0,0,0,1,0,0,297
202101,45,5,2,3,0,3,4,1,0,1,1,1,1,0,665
202102,257,1,1,2,4,3,0,0,0,1,0,0,2,2,293
202103,252,7,4,1,5,1,0,2,1,1,1,3,0,0,356
202104,338,1,5,8,3,2,2,1,0,1,2,2,1,1,377
202105,272,9,11,3,0,1,3,0,1,5,1,5,2,1,252
202106,157,9,2,1,3,2,1,6,2,3,3,0,3,2,189
202107,179,5,2,1,3,2,2,1,1,1,1,0,2,0,240
202108,129,2,2,1,1,1,3,2,2,2,3,0,1,1,170
202109,92,1,2,2,2,3,2,0,1,1,1,1,0,0,164
202110,88,4,5,1,1,3,2,3,3,0,3,0,1,3,176
202111,174,5,3,5,1,4,4,0,1,0,0,1,3,0,318
202112,204,1,6,3,1,2,3,0,1,1,4,1,1,0,252
202201,168,10,3,2,3,2,1,5,1,1,1,0,2,0,161
202202,116,1,0,3,2,1,0,0,1,3,1,1,2,1,131
202203,127,2,3,2,0,0,3,1,1,0,3,1,0,0,173
202204,111,2,3,1,2,2,1,1,2,1,0,3,1,0,150
202205,74,2,3,4,0,3,2,0,0,1,2,2,0,0,140
202206,79,2,2,6,0,2,2,1,1,2,1,0,0,0,132
202207,91,0,2,2,5,0,0,2,1,0,3,0,2,0,117
202208,56,2,1,1,0,0,0,1,0,0,0,0,1,0,119
202209,83,0,0,2,0,1,1,0,1,1,1,0,1,0,87
202210,124,1,2,2,0,2,1,1,0,2,0,0,0,0,168
202211,63,1,0,1,0,0,1,0,2,0,2,1,0,0,156
202212,64,2,2,0,1,0,1,0,2,1,0,0,0,0,109
202301,88,2,1,2,1,0,0,0,1,0,0,0,0,0,82
202302,26,1,0,2,3,0,0,2,2,0,0,0,0,0,95
202303,30,1,2,1,0,0,1,0,0,0,0,0,0,0,92
202304,49,1,1,0,1,0,1,0,0,0,0,0,0,0,94
