period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,1538,28,14,12,6,5,4,3,6,3,3,4,6,4,NaN
201502,1273,16,11,9,3,2,6,5,6,4,2,7,7,2,NaN
201503,1478,19,5,8,5,5,5,6,5,4,1,7,2,3,NaN
201504,1122,15,7,14,6,9,9,5,6,3,9,2,4,0,NaN
201505,1301,13,13,6,11,2,5,0,10,1,1,5,3,1,NaN
201506,1411,20,21,6,3,3,7,4,6,4,0,3,2,4,NaN
201507,1807,16,23,12,11,6,4,3,7,5,5,4,3,3,NaN
201508,1912,25,24,14,7,7,3,8,6,9,11,6,5,4,NaN
201509,2193,38,35,15,9,11,12,6,9,6,5,5,9,4,NaN
201510,2352,33,44,22,18,17,9,12,6,9,4,11,13,9,NaN
201511,2688,51,41,30,19,23,11,11,11,9,15,16,15,10,NaN
201512,2178,46,28,25,11,15,15,14,13,12,8,8,13,5,NaN
201601,1840,47,44,24,14,14,8,10,6,15,10,9,11,2,NaN
201602,2394,40,29,16,19,11,11,13,9,6,10,6,6,7,NaN
201603,1984,42,32,21,17,15,17,12,7,7,10,11,12,4,NaN
201604,1599,27,27,17,12,8,8,14,9,5,5,11,8,2,NaN
201605,1300,25,26,13,11,12,8,10,7,8,10,4,6,3,NaN
201606,1583,24,20,17,15,18,5,7,11,7,7,6,5,2,NaN
201607,1776,36,35,22,4,10,4,10,10,4,5,5,8,4,NaN
201608,2370,34,26,16,10,12,13,9,6,6,11,7,8,3,NaN
201609,2599,39,33,13,15,11,18,5,8,6,8,13,4,4,NaN
201610,2940,48,44,19,18,14,11,11,12,13,11,16,15,7,NaN
201611,3788,62,41,18,30,17,20,11,7,24,14,14,10,8,NaN
201612,3536,56,38,22,15,8,9,8,11,12,10,13,14,11,NaN
201701,2564,46,24,13,15,13,6,10,7,6,11,11,9,7,NaN
201702,2419,54,22,15,13,10,8,11,10,13,8,6,12,6,NaN
201703,2061,32,21,13,14,14,12,8,11,10,7,6,8,4,NaN
201704,1668,36,30,20,15,10,11,12,10,6,6,8,5,4,NaN
201705,2958,27,20,11,10,11,7,14,6,9,4,6,6,3,NaN
201706,2045,20,18,8,13,9,8,7,8,6,2,4,6,6,NaN
201707,1221,25,15,12,9,10,10,4,9,8,4,4,10,4,NaN
201708,1751,33,29,20,12,8,4,8,6,10,5,6,8,4,NaN
201709,1401,32,29,17,10,13,4,11,3,9,7,8,10,2,NaN
201710,2070,36,20,23,9,11,5,10,7,4,7,7,7,3,NaN
201711,1982,25,28,16,14,8,8,6,6,8,7,7,9,3,NaN
201712,1154,20,17,10,10,6,9,1,8,4,14,8,10,7,NaN
201801,1117,13,13,5,7,9,4,8,3,7,11,5,11,6,NaN
201802,1233,16,14,10,9,4,9,6,3,8,11,2,9,5,NaN
201803,1178,23,18,7,6,5,7,7,1,7,7,7,7,5,NaN
201804,715,22,17,3,4,6,9,6,6,7,3,3,4,2,NaN
201805,778,14,15,10,8,4,5,8,11,4,5,4,8,4,NaN
201806,696,12,12,6,9,9,3,2,4,3,5,4,6,2,NaN
