period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,6085,41,42,20,14,9,3,4,7,6,8,7,5,6,NaN
201502,5853,30,32,11,8,3,11,6,6,12,11,4,9,3,NaN
201503,6580,29,22,11,11,3,8,12,3,7,7,11,5,5,NaN
201504,5635,29,23,10,16,12,11,7,5,6,8,9,6,4,NaN
201505,3561,16,19,5,10,7,7,5,5,4,3,2,7,1,NaN
201506,4575,22,24,10,9,9,7,7,4,4,6,4,6,0,NaN
201507,5008,21,20,13,7,10,5,11,7,2,6,5,5,4,NaN
201508,5337,23,24,15,4,9,6,2,6,5,3,0,6,4,NaN
201509,7258,27,39,15,16,6,3,2,4,8,0,8,10,2,NaN
201510,8614,42,26,21,13,6,6,9,6,5,12,6,10,1,NaN
201511,9529,39,36,20,17,13,10,12,8,7,10,12,10,6,NaN
201512,8212,36,42,22,12,8,11,4,9,6,7,10,10,4,NaN
201601,6160,42,27,11,15,10,2,1,2,5,3,10,3,5,NaN
201602,9458,24,27,11,6,8,6,6,2,11,3,5,7,7,NaN
201603,7956,28,36,13,11,15,11,6,9,9,5,6,4,3,NaN
201604,6901,35,35,12,17,8,7,6,8,5,3,6,9,4,NaN
201605,4958,37,18,15,9,6,8,5,11,9,2,5,4,2,NaN
201606,6812,26,21,11,10,7,8,5,6,2,4,5,2,2,NaN
201607,4942,26,32,10,7,7,3,6,2,6,6,7,6,2,NaN
201608,7401,25,26,9,11,8,6,9,1,6,3,3,6,1,NaN
201609,8158,30,29,8,14,9,6,10,7,6,5,3,12,2,NaN
201610,8884,32,45,18,14,17,11,7,10,4,6,5,4,4,NaN
201611,10944,43,45,16,14,7,3,11,9,3,5,9,7,5,NaN
201612,7885,21,27,19,11,7,5,4,4,8,5,7,3,8,NaN
201701,9685,22,24,9,10,8,4,6,4,8,6,5,8,0,NaN
201702,7113,32,26,11,7,5,6,3,9,10,2,3,4,4,NaN
201703,6883,31,29,9,13,8,7,11,7,5,4,10,3,0,NaN
201704,6452,29,30,13,14,8,6,13,3,7,6,4,3,1,NaN
201705,5325,24,28,8,6,9,6,6,7,5,3,2,4,3,NaN
201706,4782,24,33,19,7,14,8,7,9,1,4,8,3,2,NaN
201707,5601,22,37,13,13,7,4,8,8,4,3,5,4,3,NaN
201708,7802,20,66,22,16,7,9,12,7,6,6,5,5,2,NaN
201709,9761,39,52,21,11,6,10,7,8,8,7,10,7,6,NaN
201710,9940,40,60,40,21,16,8,4,6,8,6,13,15,4,NaN
201711,14991,58,64,29,28,14,12,11,7,10,13,12,17,7,NaN
201712,9456,63,29,24,13,6,6,2,9,9,6,13,7,7,NaN
201801,8739,34,42,15,14,8,6,6,9,5,7,10,6,6,NaN
201802,7859,50,48,15,10,3,11,5,14,6,13,9,8,6,NaN
201803,8573,36,27,19,14,13,7,10,11,9,10,4,8,7,NaN
201804,5210,31,31,20,5,5,11,9,1,6,6,8,8,2,NaN
201805,5557,41,30,15,10,5,11,3,9,6,0,6,4,2,NaN
