period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,3090,1,3,3,2,1,0,1,0,3,2,0,3,0,NaN
201502,4701,4,6,1,1,1,1,0,0,0,0,0,3,1,NaN
201503,5252,7,11,4,2,3,1,2,3,2,2,4,1,2,NaN
201504,5019,11,13,6,5,3,3,2,5,1,4,1,4,3,NaN
201505,4187,16,10,9,2,3,1,4,4,0,4,5,2,0,NaN
201506,4453,8,13,6,6,2,2,3,1,3,2,0,3,2,NaN
201507,4588,10,6,8,10,9,5,2,4,2,1,1,1,4,NaN
201508,5336,12,16,6,5,9,5,6,4,7,2,2,2,2,NaN
201509,6920,20,11,7,6,5,3,3,3,4,3,3,1,1,NaN
201510,6894,11,15,8,11,7,5,5,9,1,4,3,8,1,NaN
201511,7449,12,16,10,11,9,9,3,5,3,4,5,7,5,NaN
201512,5680,19,23,14,12,8,1,3,5,6,5,4,4,2,NaN
201601,5306,11,23,12,7,3,3,5,2,2,2,2,1,1,NaN
201602,6775,17,14,12,4,2,7,4,5,4,4,3,3,0,NaN
201603,7135,13,15,4,6,8,7,6,2,7,2,3,1,1,NaN
201604,6867,18,15,11,7,7,2,3,4,4,3,2,2,0,NaN
201605,5928,23,22,9,7,4,6,5,8,4,4,2,0,1,NaN
201606,4772,9,12,7,9,5,4,4,4,3,1,5,5,1,NaN
201607,6083,9,19,6,8,7,5,2,1,1,4,1,0,1,NaN
201608,6818,16,15,12,10,5,7,7,1,1,2,0,2,1,NaN
201609,8105,27,19,13,8,13,8,3,2,1,4,3,2,4,NaN
201610,11512,28,40,16,13,14,8,4,4,6,2,1,8,1,NaN
201611,13751,18,26,19,11,7,5,3,7,6,1,2,9,2,NaN
201612,7939,12,25,17,7,5,4,9,1,3,4,4,5,1,NaN
201701,8373,25,25,13,10,3,3,5,1,3,2,3,2,4,NaN
201702,8571,32,30,5,6,9,4,7,3,6,0,4,9,2,NaN
201703,8669,18,39,12,6,5,5,3,11,2,6,3,6,4,NaN
201704,7928,24,16,9,9,5,3,8,2,5,3,2,5,2,NaN
201705,7614,20,25,10,9,7,6,3,7,4,1,5,5,0,NaN
201706,7073,24,19,14,11,10,8,12,2,4,3,1,3,1,NaN
201707,5880,26,27,12,9,6,14,5,8,4,2,5,3,3,NaN
201708,8056,27,26,16,10,6,8,6,5,6,5,2,3,1,NaN
201709,10548,28,22,4,14,10,8,8,4,8,7,7,4,0,NaN
201710,12197,27,37,19,14,9,9,7,7,3,4,2,8,2,NaN
201711,12788,21,28,21,12,11,2,8,3,4,2,7,3,2,NaN
201712,8566,23,22,9,2,6,8,4,3,5,3,5,6,1,NaN
