period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,3993,58,46,21,24,13,13,12,15,13,13,20,25,11,NaN
201502,3544,67,46,20,12,12,13,14,15,13,11,9,11,7,NaN
201503,4272,51,29,20,15,10,12,16,6,12,10,9,11,8,NaN
201504,2635,35,39,20,15,12,16,11,16,10,16,11,14,6,NaN
201505,3096,47,34,6,21,15,17,12,12,16,9,18,6,2,NaN
201506,3121,31,29,16,13,13,12,14,14,5,10,11,5,2,NaN
201507,2646,25,27,11,13,8,8,7,11,10,5,8,9,3,NaN
201508,2748,38,42,14,11,8,12,20,7,9,4,10,8,8,NaN
201509,2819,49,42,15,15,12,7,12,6,9,12,15,10,6,NaN
201510,1939,43,35,19,16,13,9,8,5,8,11,10,14,6,NaN
201511,3091,45,35,17,15,5,6,7,8,10,5,8,12,10,NaN
201512,4016,36,39,21,10,10,13,10,7,3,9,6,16,7,NaN
201601,2994,34,26,12,9,10,12,7,3,5,3,8,10,6,NaN
201602,3554,32,21,10,11,8,8,3,7,9,10,4,8,4,NaN
201603,3860,20,23,10,6,5,4,6,6,13,4,4,5,1,NaN
201604,3181,25,25,8,7,8,6,3,4,2,6,3,8,5,NaN
201605,2274,13,12,5,5,5,7,6,3,5,2,3,5,2,NaN
201606,2314,18,9,7,7,6,5,2,4,2,4,10,2,2,NaN
201607,2204,14,14,5,7,4,5,3,3,3,4,3,1,3,NaN
201608,2069,19,18,11,10,5,3,4,1,3,0,2,4,3,NaN
201609,2106,22,14,9,8,5,5,1,4,5,2,4,7,3,NaN
201610,2693,9,12,14,8,2,9,13,6,5,5,4,6,3,NaN
201611,3415,37,12,16,9,9,2,2,3,8,5,6,4,3,NaN
201612,2226,22,15,23,5,5,4,2,5,1,4,5,6,2,NaN
201701,2012,16,15,9,4,4,4,3,4,1,4,1,4,0,NaN
201702,2199,15,5,7,2,2,9,4,2,3,2,7,4,0,NaN
201703,1744,14,17,5,4,2,4,7,2,4,1,1,5,3,NaN
201704,1831,11,10,4,3,4,4,8,0,4,3,2,7,4,NaN
201705,1521,8,14,6,7,5,1,2,4,8,0,0,2,1,NaN
201706,1750,17,8,3,2,3,4,5,1,5,4,2,2,2,NaN
201707,1528,8,10,6,4,4,4,2,4,4,1,5,5,1,NaN
201708,1945,12,6,5,3,4,2,5,3,3,2,4,5,0,NaN
201709,1837,14,18,3,3,7,2,3,1,4,6,2,3,2,NaN
201710,2367,9,10,6,10,4,5,3,1,3,2,3,3,1,NaN
201711,2788,11,13,6,8,4,4,3,7,4,3,5,3,2,NaN
201712,1963,8,19,9,8,6,2,6,0,0,3,1,4,0,NaN
201801,2471,4,6,3,3,3,3,1,2,0,2,2,4,2,NaN
201802,1796,15,10,8,2,0,1,1,5,1,2,4,4,3,NaN
201803,1745,9,8,6,5,3,2,4,2,5,3,5,2,2,NaN
201804,1803,11,10,6,3,3,5,3,0,0,3,4,4,2,NaN
201805,1599,10,9,3,0,4,5,3,0,0,1,1,1,2,NaN
201806,1328,19,1,5,5,4,2,3,5,3,3,1,1,0,NaN
201807,1419,13,3,10,2,1,3,1,2,1,5,3,4,1,NaN
201808,1549,7,4,4,6,1,1,2,8,2,3,3,0,3,NaN
201809,1617,11,12,1,3,3,2,1,2,5,0,2,4,0,NaN
201810,1719,12,11,16,4,5,2,3,0,3,4,4,2,1,NaN
201811,1780,7,9,12,3,5,1,1,0,2,0,4,0,3,NaN
201812,207,10,5,3,2,3,3,4,2,2,3,2,1,3,NaN
201901,15,7,4,1,0,2,0,2,0,0,1,2,1,0,NaN
201902,32,8,4,1,0,2,0,1,0,1,0,0,2,1,NaN
201903,-6,4,4,3,0,1,0,0,0,1,1,0,5,1,NaN
201904,6,1,3,0,2,1,0,1,0,0,0,2,0,1,NaN
201905,1,0,2,1,0,1,0,0,1,0,3,1,0,0,NaN
