period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,268,3,2,1,1,0,1,3,1,0,1,3,2,0,NaN
201502,300,5,3,2,1,0,1,0,5,0,3,1,2,2,NaN
201503,289,7,4,2,0,2,0,3,1,2,1,0,2,0,NaN
201504,231,5,0,4,0,2,1,1,1,0,1,0,0,1,NaN
201505,229,4,2,2,1,1,3,1,2,2,0,0,0,1,NaN
201506,297,5,2,1,2,1,0,2,2,0,0,0,0,0,NaN
201507,324,2,4,4,1,0,0,2,0,0,0,0,0,0,NaN
201508,266,7,5,1,1,0,0,1,1,0,0,0,0,0,NaN
201509,287,2,1,3,0,0,0,2,1,0,1,0,0,2,NaN
201510,277,2,4,0,1,0,1,1,0,0,1,0,0,0,NaN
201511,442,7,4,1,2,0,0,0,0,1,0,2,2,0,NaN
201512,194,2,2,0,1,0,1,1,0,0,0,2,1,1,NaN
201601,183,5,2,1,0,2,0,0,0,1,1,0,0,0,NaN
201602,460,4,2,0,0,0,2,0,2,1,0,0,0,0,NaN
201603,365,5,1,1,0,0,2,1,0,0,2,2,0,0,NaN
201604,241,3,1,0,1,5,0,0,0,0,0,0,0,2,NaN
201605,312,4,4,1,0,0,0,1,0,0,1,1,0,1,NaN
201606,207,3,0,2,0,2,1,0,1,1,0,0,1,0,NaN
201607,252,0,3,1,2,2,2,0,1,0,0,0,0,0,NaN
201608,184,3,1,1,0,1,2,0,0,0,0,0,0,0,NaN
201609,329,2,2,0,2,0,0,0,0,0,0,0,1,0,NaN
201610,322,2,4,0,0,0,0,2,1,1,0,0,0,0,NaN
201611,333,1,2,1,1,0,0,0,0,1,1,2,0,0,NaN
201612,205,5,3,1,0,1,0,0,0,0,1,0,0,0,NaN
201701,385,1,1,1,1,0,0,0,0,0,1,0,1,0,NaN
201702,276,5,0,1,1,0,1,2,0,1,1,1,2,0,NaN
201703,283,1,1,2,0,2,1,0,1,0,1,0,0,1,NaN
