period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,293,4,9,1,3,2,1,0,0,1,0,0,0,1,NaN
201502,244,4,1,1,0,1,0,0,1,1,0,0,1,1,NaN
201503,369,1,2,3,1,2,0,1,0,1,1,1,0,1,NaN
201504,345,4,2,0,0,2,1,0,1,0,1,0,0,0,NaN
201505,290,2,1,2,1,1,0,1,0,2,0,0,2,0,NaN
201506,233,1,4,1,1,1,0,1,0,1,0,1,1,0,NaN
201507,456,2,1,1,1,0,0,0,0,0,1,0,0,0,NaN
201508,402,1,0,0,0,1,4,1,0,3,0,0,0,0,NaN
201509,611,4,1,3,0,0,0,0,0,0,0,1,1,0,NaN
201510,528,1,3,0,0,1,0,1,0,0,1,1,0,1,NaN
201511,809,2,1,2,2,0,1,0,0,2,0,2,1,1,NaN
201512,466,1,3,0,2,0,2,0,0,1,2,0,0,0,NaN
201601,293,3,4,3,0,1,0,0,1,2,0,2,0,0,NaN
201602,401,3,1,2,1,0,3,0,0,0,0,0,0,0,NaN
201603,527,2,3,1,2,0,0,0,0,3,1,1,0,0,NaN
201604,535,3,2,1,1,0,0,0,0,0,0,1,0,0,NaN
201605,243,9,1,1,1,1,0,0,0,1,0,1,0,0,NaN
201606,329,0,0,2,1,1,0,0,0,0,0,1,1,0,NaN
201607,395,2,4,0,0,0,1,0,0,1,0,0,0,1,NaN
201608,397,0,0,1,1,0,1,0,2,0,0,0,0,0,NaN
201609,411,3,4,1,0,0,0,1,0,0,0,0,0,0,NaN
201610,296,0,1,0,0,0,0,0,0,0,0,2,0,0,NaN
201611,261,2,2,1,0,2,0,0,1,0,0,0,0,0,NaN
201612,96,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201701,61,1,1,0,0,1,0,0,0,0,1,1,0,0,NaN
201702,28,2,0,1,1,0,0,0,0,0,0,1,1,0,NaN
201703,110,0,1,0,1,0,0,0,1,0,0,2,0,0,NaN
201704,25,1,0,0,0,0,0,0,0,1,0,0,0,0,NaN
201705,49,0,0,0,0,0,0,1,0,0,0,1,1,0,NaN
201706,53,2,0,1,0,0,0,1,0,0,0,1,0,0,NaN
201707,39,0,1,0,4,0,1,0,1,0,1,0,0,0,NaN
201708,60,2,1,2,0,1,0,1,0,0,0,1,0,0,NaN
201709,76,0,0,0,0,1,1,1,0,0,0,0,2,0,NaN
201710,90,0,0,0,2,0,0,0,0,0,1,0,0,1,NaN
201711,41,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201712,3,2,0,0,0,0,0,1,0,0,0,0,0,0,NaN
201801,78,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN
201802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN
201803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201804,0,2,0,0,0,0,0,0,0,0,1,0,0,0,NaN
201805,1,1,0,0,1,1,0,0,0,0,0,0,0,0,NaN
201806,0,0,0,2,1,0,0,0,0,0,0,0,0,0,NaN
201808,0,0,4,1,0,0,0,0,0,0,0,0,0,0,NaN
201809,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN
201810,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
201811,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
201904,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
201905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
201906,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NaN
201908,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN
201909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
201910,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202102,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NaN
202107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
202211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
