period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,45846,492,412,212,176,146,104,100,113,133,110,139,149,86,NaN
201502,41880,479,341,173,118,92,102,95,97,94,97,96,124,51,NaN
201503,48066,426,287,188,130,86,119,130,103,105,90,115,117,55,NaN
201504,40426,378,327,180,142,139,113,91,113,96,115,108,115,61,NaN
201505,37398,378,284,146,146,130,112,104,95,103,94,104,77,46,NaN
201506,42655,326,272,152,133,103,98,92,100,86,86,65,77,40,NaN
201507,41868,341,304,173,142,121,98,108,92,65,72,71,87,60,NaN
201508,47088,410,398,198,111,133,115,114,92,96,87,68,89,76,NaN
201509,54249,525,430,229,169,146,117,141,96,108,91,100,128,71,NaN
201510,60750,541,506,261,212,167,139,138,114,104,131,135,149,93,NaN
201511,66859,711,506,321,228,199,162,148,122,103,142,150,181,119,NaN
201512,56541,472,448,265,193,153,150,125,118,116,128,133,169,90,NaN
201601,50767,516,398,222,170,148,120,97,86,114,102,107,135,71,NaN
201602,59971,465,355,189,160,111,108,101,107,128,122,99,96,71,NaN
201603,59512,458,364,182,143,130,120,117,94,142,98,101,137,48,NaN
201604,54282,413,324,154,145,122,92,102,97,99,79,106,96,47,NaN
201605,45558,357,275,153,120,95,119,97,89,84,73,83,95,43,NaN
201606,48450,316,265,187,122,138,90,84,81,77,72,88,97,31,NaN
201607,43110,337,336,171,119,117,97,75,78,68,77,77,82,51,NaN
201608,56280,414,293,182,148,119,118,95,64,76,74,60,90,44,NaN
201609,59264,416,358,194,153,122,121,78,79,84,72,83,114,68,NaN
201610,70975,432,429,213,148,171,103,127,96,96,98,96,133,65,NaN
201611,83449,555,453,218,185,122,139,114,85,110,102,119,145,89,NaN
201612,65050,470,366,258,137,127,113,83,90,105,115,125,131,96,NaN
201701,61193,411,372,152,135,98,72,91,80,78,111,103,111,45,NaN
201702,57140,505,276,150,120,106,104,101,98,121,67,98,103,49,NaN
201703,57415,326,330,157,110,114,92,90,104,86,72,79,93,46,NaN
201704,50171,382,270,156,134,96,94,134,73,102,85,88,88,61,NaN
201705,53603,314,285,149,128,114,94,82,93,94,63,80,77,39,NaN
201706,54727,312,258,151,132,126,100,116,95,79,64,60,72,44,NaN
201707,44762,293,290,160,126,104,125,90,86,67,66,73,77,40,NaN
201708,55593,366,364,210,135,112,97,99,75,92,80,74,80,39,NaN
201709,63191,401,372,190,150,136,108,116,88,91,85,97,95,57,NaN
201710,70159,447,425,277,188,143,115,116,106,97,102,121,156,75,NaN
201711,90006,500,514,249,200,132,109,117,112,98,102,137,141,70,NaN
201712,64336,476,373,199,167,111,102,111,106,97,115,112,114,87,NaN
201801,66635,383,275,166,123,99,68,74,82,96,108,81,126,53,NaN
201802,54756,408,347,175,99,95,83,87,97,85,94,95,106,66,NaN
201803,59163,367,272,160,115,103,91,108,92,86,116,81,97,54,NaN
201804,49920,337,253,141,114,103,100,105,77,80,83,75,74,49,NaN
201805,49651,310,257,132,110,119,99,77,100,86,73,75,92,31,NaN
201806,48734,307,248,150,127,112,101,93,74,80,84,73,74,34,NaN
201807,47614,340,296,178,138,103,120,82,89,72,75,65,65,53,NaN
201808,53201,330,346,172,87,103,72,87,79,79,62,78,94,36,NaN
201809,57608,489,321,163,148,106,82,88,79,74,72,91,93,42,NaN
201810,71139,459,349,287,159,151,90,126,91,97,99,118,145,49,NaN
201811,75909,427,426,231,161,135,117,104,92,75,103,125,130,84,NaN
201812,56902,434,290,195,111,127,94,75,87,93,97,71,111,77,NaN
201901,64292,353,277,136,133,91,94,76,69,98,82,99,97,34,1317
201902,48637,367,238,148,93,74,84,71,85,68,84,91,85,46,649
201903,47139,281,207,105,87,86,68,88,52,67,61,66,78,16,938
201904,35696,329,178,110,80,76,70,84,72,66,67,59,51,34,204
201905,41300,240,197,114,82,85,71,66,78,63,65,40,58,19,611
201906,43404,236,193,115,99,86,77,76,58,61,39,42,50,25,1542
201907,42350,283,223,118,89,77,81,74,58,40,55,49,54,23,2666
201908,42499,304,210,135,82,97,63,63,44,47,45,69,60,38,4208
201909,50359,329,242,145,121,89,74,33,56,59,61,61,71,39,1625
201910,56189,344,309,182,113,105,55,66,62,63,59,78,62,60,62403
201911,62361,363,356,176,114,86,81,70,70,74,80,89,109,62,68562
201912,52152,370,274,139,76,71,66,86,71,77,87,101,114,55,52882
202001,50654,312,250,90,85,66,70,65,70,73,77,74,73,55,50935
202002,45599,286,146,103,87,71,62,67,56,80,72,65,76,51,47054
202003,39629,177,172,72,70,70,71,45,49,49,67,78,77,39,51156
202004,24945,224,148,84,52,52,63,67,59,53,60,59,72,21,32111
202005,38078,227,170,87,81,76,71,49,77,57,61,49,69,29,35750
202006,45637,232,179,121,97,85,67,53,66,61,72,56,63,30,38721
202007,44417,267,242,118,101,74,71,77,73,81,62,55,80,36,45150
202008,45169,308,265,153,108,84,75,90,71,73,51,62,66,30,48863
202009,56341,380,296,153,116,96,112,92,89,84,85,68,91,33,64298
202010,66214,376,343,182,140,121,114,90,89,81,59,81,80,57,65070
202011,63688,394,318,190,168,115,83,78,76,72,93,72,80,43,75472
202012,45553,340,265,173,110,84,80,80,60,63,69,73,60,43,57982
202101,44717,319,262,159,93,80,67,52,52,54,55,64,57,44,69556
202102,55985,440,275,131,104,67,57,58,58,73,53,71,58,37,69529
202103,55883,342,213,114,109,68,77,80,66,60,65,66,65,40,66710
202104,50469,306,223,123,88,55,75,69,60,66,59,63,59,32,61459
202105,54878,285,253,101,92,71,78,52,68,61,58,48,56,32,58333
202106,47264,307,197,115,103,83,58,74,61,55,57,45,47,21,55776
202107,40977,250,213,96,88,54,64,51,55,54,47,33,44,28,49361
202108,39005,281,214,124,74,68,86,59,52,48,39,29,52,27,51309
202109,52431,258,223,112,102,87,69,61,56,54,38,43,45,37,52470
202110,56880,297,281,173,102,94,72,65,66,49,52,64,57,43,59347
202111,68597,396,286,167,139,97,84,74,53,69,65,57,93,38,63838
202112,51843,344,244,149,94,85,77,39,45,71,60,63,62,33,49799
202201,40475,302,253,98,94,63,55,66,64,60,55,55,60,32,46827
202202,45676,298,189,107,69,48,64,51,40,60,62,50,57,30,50518
202203,47844,209,208,76,49,55,47,60,71,51,56,45,77,18,45743
202204,32696,239,152,74,73,64,64,66,42,54,46,46,28,27,34938
202205,30610,174,127,83,71,63,64,44,65,43,53,35,38,15,40474
202206,30215,167,136,78,74,58,36,56,38,38,27,30,31,12,32585
202207,27598,159,147,77,95,51,53,44,36,34,28,25,34,27,30653
202208,30371,211,150,86,60,66,39,33,35,35,28,36,54,18,33582
202209,37835,300,172,97,81,70,72,39,31,22,29,34,48,31,36320
202210,38846,143,194,139,83,95,52,66,44,37,34,57,55,0,44895
202211,49735,230,204,123,93,57,71,46,44,46,41,60,0,0,43299
202212,31577,192,183,103,75,57,52,36,33,37,42,0,0,0,30017
202301,33472,182,167,75,66,42,32,42,53,41,0,0,0,0,35762
202302,33175,221,130,57,51,37,41,35,48,0,0,0,0,0,37105
202303,35528,153,147,68,37,31,51,41,0,0,0,0,0,0,37833
202304,26862,150,110,51,34,47,49,0,0,0,0,0,0,0,32873
202305,26980,125,80,50,51,39,0,0,0,0,0,0,0,0,29326
202306,23486,118,116,60,35,0,0,0,0,0,0,0,0,0,26688
202307,24957,129,103,71,0,0,0,0,0,0,0,0,0,0,27069
202308,27919,138,124,0,0,0,0,0,0,0,0,0,0,0,28194
202309,32926,144,0,0,0,0,0,0,0,0,0,0,0,0,30639
202310,27068,0,0,0,0,0,0,0,0,0,0,0,0,0,38362
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37709
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28379
