period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201805,1533,5,4,3,1,1,2,1,5,2,1,2,1,0,NaN
201806,3500,4,7,7,4,7,6,1,4,25,1,3,4,1,NaN
201807,3887,6,13,12,9,7,6,6,17,7,7,3,0,4,NaN
201808,5274,14,21,16,11,7,11,8,4,6,4,5,0,3,NaN
201809,5334,19,16,19,14,16,10,11,9,10,6,4,1,5,NaN
201810,7036,18,22,24,20,15,12,13,2,3,9,5,13,2,NaN
201811,7193,13,23,21,16,18,9,9,6,5,7,5,4,1,NaN
201812,5328,13,19,27,12,8,5,6,5,6,5,3,2,2,NaN
201901,6328,21,36,15,13,15,15,6,9,7,8,5,7,1,NaN
201902,7570,10,20,16,9,13,6,6,6,3,4,8,3,6,NaN
201903,7736,15,26,21,15,4,14,8,8,4,11,6,8,1,NaN
201904,8353,29,18,20,10,10,12,6,8,8,13,9,5,2,NaN
201905,7676,19,27,14,14,10,6,9,11,7,11,4,4,4,NaN
201906,7778,22,22,22,8,16,14,6,14,3,3,6,2,4,NaN
201907,7613,29,13,13,8,13,9,7,8,3,5,10,3,2,NaN
201908,7827,22,30,12,10,11,11,3,3,4,5,3,4,4,NaN
201909,9600,26,26,14,10,7,6,3,8,5,8,7,5,5,2334
201910,10864,16,20,20,18,16,6,3,7,9,2,11,8,5,11833
201911,11165,22,25,17,12,9,7,10,11,7,7,4,6,2,12492
201912,6868,21,25,20,8,8,9,10,11,9,8,8,0,3,7779
202001,9052,28,22,12,14,16,10,9,6,6,9,5,10,3,9723
202002,9961,22,14,10,14,10,11,13,12,10,7,13,12,4,10094
202003,10364,8,10,7,16,12,9,12,10,8,4,9,10,2,10888
202004,7923,7,17,22,14,11,8,5,14,5,9,9,8,2,5680
202005,8432,15,20,17,17,7,15,12,13,8,7,5,8,6,7737
202006,10401,21,12,19,19,20,7,5,14,8,9,8,7,3,9067
202007,12315,18,21,24,15,14,9,11,3,11,7,8,4,3,10687
202008,10292,21,21,17,13,17,9,15,11,7,8,10,5,2,10879
202009,13668,19,25,27,24,15,16,10,8,8,13,3,11,4,13195
202010,15135,19,24,14,19,16,16,13,18,13,3,9,5,3,13898
202011,12005,25,21,20,13,9,11,9,10,7,10,7,9,2,13413
202012,9567,28,22,20,19,12,12,11,3,3,4,2,2,0,10860
202101,10124,13,28,14,16,9,11,6,7,6,5,6,4,3,11827
202102,11909,21,32,19,13,6,10,6,11,5,11,5,14,7,12703
202103,12775,14,33,18,13,8,9,7,4,5,7,9,5,6,12608
202104,13104,16,14,18,13,12,5,8,9,7,9,8,6,2,12218
202105,10955,17,16,9,13,14,13,8,6,5,9,5,5,3,10896
202106,11785,17,14,8,16,11,8,13,11,6,11,3,0,1,12397
202107,10208,13,12,11,7,6,6,9,8,13,8,7,2,1,9927
202108,11167,8,12,19,10,13,13,8,6,8,8,12,7,0,11277
202109,12225,20,17,12,11,10,8,11,13,8,5,3,3,2,12313
202110,12708,18,24,13,16,12,17,13,12,5,6,9,3,3,15073
202111,13248,31,23,21,17,13,7,13,7,8,4,7,5,2,13699
202112,14148,15,17,23,10,11,12,9,3,4,11,4,10,3,10709
202201,13959,11,22,13,22,11,7,8,6,10,15,10,17,3,14578
202202,12994,20,28,20,15,10,15,10,4,14,13,14,17,7,15306
202203,16535,19,36,14,11,17,10,9,20,11,14,10,9,3,16417
202204,9175,22,24,22,24,10,9,15,9,12,10,13,7,3,16263
202205,12272,26,23,20,10,11,17,14,13,18,10,18,15,3,17230
202206,16561,29,26,27,9,18,19,19,13,22,12,16,12,4,15504
202207,14155,32,22,23,19,13,14,23,21,15,11,21,10,5,14534
202208,14445,21,36,37,34,27,24,24,13,23,19,14,20,7,12568
202209,19205,45,42,40,36,28,31,32,16,26,21,20,19,8,16857
202210,16802,40,57,34,58,32,23,22,21,25,23,19,20,0,17841
202211,14444,37,39,38,41,28,25,26,14,10,15,13,0,0,15492
202212,11657,27,36,39,41,35,20,20,25,16,18,0,0,0,12385
202301,13941,24,41,30,25,28,23,24,15,16,0,0,0,0,14422
202302,20041,55,46,35,36,17,20,14,22,0,0,0,0,0,15107
202303,17784,32,40,37,15,15,15,15,0,0,0,0,0,0,17883
202304,16143,36,34,30,19,20,14,0,0,0,0,0,0,0,15310
202305,17525,40,48,26,17,19,0,0,0,0,0,0,0,0,17719
202306,16395,45,33,30,28,0,0,0,0,0,0,0,0,0,16592
202307,14534,28,27,35,0,0,0,0,0,0,0,0,0,0,15370
202308,14122,33,63,0,0,0,0,0,0,0,0,0,0,0,15715
202309,18567,48,0,0,0,0,0,0,0,0,0,0,0,0,18965
202310,20581,0,0,0,0,0,0,0,0,0,0,0,0,0,20102
202311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19702
202312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12798
